Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
214,Red,RFID板离线,"先查看报错代码  214 RFID板离线
1、RCS界面先查看
  - 先打开机器人列表页面
  - 选中报错的机器人
  - 鼠标右键，读取硬件信息，如果RFID板离线的情况下，可以在这个页面直观的看到

2、确认硬件离线之后，对硬件检查
   - 将机器人从平台上移开。
   - 按照霍尔板更换视频，对机器人霍尔板位置进行拆机检查
   - 确认连接霍尔板的CAN线两端是否脱落或者松动，如果CAN线连接异常松动或者脱落，恢复连接，重新把车放回平台
 如果问题仍然存在，先尝试更换CAN线，再尝试更换霍尔板（这种情况暂未发生过）","1. 检查连接霍尔板的CAN线两端是否脱落或者松动，尝试重新插拔连接线
  -  机器人放回平台，打开电源，确认是否离线
    -  在线：问题解决
    -  离线：进入步骤2

2. 按照视频指引尝试更换CAN线
  -  机器人放回平台，打开电源，确认是否离线
    -  在线：问题解决
    -  离线：进入步骤2

3. 按照视频指引尝试更换霍尔板
  -  机器人放回平台，打开电源，确认是否离线
    -  在线：问题解决
    -  离线：建议联系专业的售后技术支持人员获得帮助","1.重新插拔连接霍尔板的CAN线
2.按照视频指引更换连接霍尔板的CAN线
3.按照视频指引更换霍尔板"
215,Red,左电机故障,"1. 重新注册电机 
   211表示左电机可能离线。请尝试重新注册左电机，操作指引请访问：[注册操作指南](https://www.abc.com/zcdj.htm)。

2. 硬件检查 
   如果问题仍然存在，请按照以下步骤进行硬件检查：
   - 将机器人从平台上移开。
   - 检查左电机的连接线是否松动，尝试重新插拔连接线。
   - 检查连接线后，观察电机上的状态指示灯。指示灯是否正常亮起？
   - 如果指示灯不亮，电机可能损坏，需要更换左电机。请参考：[更换操作指南](https://www.abc.com/ghzdj.htm)。
   - 如果指示灯亮起，表示电机本身可能正常。请将机器人放回平台，打开电源，并再次查看RCS系统中机器人的硬件信息，确认左电机是否仍显示离线状态。
   - 如果还是离线，建议联系专业的售后技术支持人员获得帮助","1. 按照视频指引重新注册电机
   - 将机器人放回平台，打开电源，观察是否继续报错?
    - 否：问题解决
    - 是：进入步骤2

2. 检查左电机的连接线是否松动，尝试重新插拔连接线
   - 打开电源，观察电机上的状态指示灯
    - 不亮：进入步骤3
    - 亮：进入步骤4

3. 电机可能损坏，尝试按照操作视频更换左电机
   - 将机器人放回平台，打开电源，观察是否继续报错?
     - 是：建议联系专业的售后技术支持人员获得帮助
     - 否：问题解决

4. 将机器人放回平台，打开电源，观察是否继续报错?
    - 是：建议联系专业的售后技术支持人员获得帮助
    - 否：问题解决","1.按照视频指引重新注册电机
2.重新插拔电机连接线
3.更换左电机并重新注册"
216,Red,右电机故障,"1. 重新注册电机  
   212表示右电机可能离线。请尝试重新注册右电机，操作指引请访问：[注册操作指南](https://www.abc.com/zcdj.htm)。

2. 硬件检查  
   如果问题仍然存在，请按照以下步骤进行硬件检查：
   - 将机器人从平台上移开。
   - 检查右电机的连接线是否松动，尝试重新插拔连接线。
   - 检查连接线后，观察电机上的状态指示灯。指示灯是否正常亮起？
   - 如果指示灯不亮，电机可能损坏，需要更换右电机。请参考：[更换操作指南](https://www.abc.com/ghzdj.htm)。
   - 如果指示灯亮起，表示电机本身可能正常。请将机器人放回平台，打开电源，并再次查看RCS系统中机器人的硬件信息，确认右电机是否仍显示离线状态。
   - 如果还是离线，建议联系专业的售后技术支持人员获得帮助。","1. 按照视频指引重新注册电机
   - 将机器人放回平台，打开电源，观察是否继续报错?
    - 否：问题解决
    - 是：进入步骤2

2. 检查右电机的连接线是否松动，尝试重新插拔连接线
   - 打开电源，观察电机上的状态指示灯
    - 不亮：进入步骤3
    - 亮：进入步骤4

3. 电机可能损坏，尝试按照操作视频更换右电机
   - 将机器人放回平台，打开电源，观察是否继续报错?
     - 离线：建议联系专业的售后技术支持人员获得帮助
     - 在线：问题解决

4. 将机器人放回平台，打开电源，观察是否继续报错?
    - 是：建议联系专业的售后技术支持人员获得帮助
    - 否：问题解决 ","1.按照视频指引重新注册电机
2.重新插拔电机连接线
3.更换右电机并重新注册"
217,Red,翻板电机故障,"RCS机器人列表页面读取硬件信息，查看翻板电机是否是离线状态

1、尝试按照视频进行手动翻板测试
 如果手动测试不可以进行翻板动作
   - 重新注册电机
 如果手动测试可以进行翻板动作
  - 尝试将机器人先移除，总电源关机一分钟之后，再开机加回平台测试

2、硬件检查
  如果以上两种方式都不能解决
  - 将机器人从平台上移除进行拆机检查
  - 先排查连接电机的CAN线两端是否有松动，翻板电机的指示灯是否正常闪烁，建议拔掉重新连接，再把机器人放回平台测试
  如果还是不能解决
   - 尝试把CAN线换个插口进行连接（操作完之后需要进行测试，机器人加回平台，查看硬件信息，进行手动翻板测试）
   - 尝试更换CAN线（操作完之后需要进行测试，机器人加回平台，查看硬件信息，进行手动翻板测试）
   - 最后再更换电机 （操作完之后需要进行测试，机器人加回平台，查看硬件信息，进行手动翻板测试）","1. 按照视频指引进行手动翻板测试
   -  确认是否可以进行翻板动作
     -  不能：进入步骤3
     -  能：进入步骤2

2. 将机器人移除平台，关闭总电源一分钟，然后重新开机并放回平台
   -  观察是否继续报错?
     -  否：问题解决
     -  是：进入步骤4

3. 按照视频指引重新注册电机
   - 观察是否继续报错?
     - 否：问题解决
     - 是：进入步骤4

4. 检查连接翻板电机的CAN线两端是否松动，尝试重新插拔连接线
   -  检查翻板电机的指示灯是否正常闪烁
     -  是：进入步骤6
     -  否：进入步骤5

5. 电机可能损坏，按照操作视频更换翻板电机
   -  观察是否继续报错?
     -  否：问题解决
     -  是：进入步骤6

6. 将CAN线连接到另一个插口上
   -  观察是否继续报错?
     -  是：进入步骤7
     -  否：问题解决

7. 更换连接翻板电机的CAN线
   -  观察是否继续报错?
     -  是：建议联系专业的售后技术支持人员获得帮助
     -  否：问题解决","1.按照视频指引进行手动翻板测试
2.按照视频指引重新注册电机
3.重新插拔连接翻板电机的CAN线
4.连接翻板电机的CAN线更换插口
5.更换连接翻板电机的CAN线
6.更换翻板电机并重新注册"
218,Red,CAN总线故障,"1、RCS机器人列表页面读取硬件信息，查看是否有离线的
  如果报错频繁，是否造成了频繁急停

2、如果是 要进行硬件排查
- 先把所有的CAN线更换插口，然后放回平台随机跑
如果还是会出现CAN总线故障的报错
 - 第一步：更换所有电机连接线，然后放回平台继续随机跑
如果还是会出现CAN总线故障的报错
 -  第二步：更换电机（先更换一个电机，进行随机跑测试，如果报错信息还是存在，继续更换另一个电机，逐个更换测试），然后放回平台继续随机跑
如果还是会出现CAN总线故障的报错
  - 第三步：更换电源板
  - 如果还是离线，建议联系专业的售后技术支持人员获得帮助。
","1. 把所有的CAN线更换插口
   - 机器人放回平台随机跑，观察是否继续报错?
     -  否：问题解决
     -  是：进入步骤2

2. 按照视频指引更换左电机并重新注册
   - 机器人放回平台随机跑，观察是否继续报错?
     -  否：问题解决
     -  是：进入步骤3

3. 按照视频指引更换右电机并重新注册
   - 机器人放回平台随机跑，观察是否继续报错?
     -  否：问题解决
     -  是：进入步骤4

4. 按照视频指引更换电源板
   - 机器人放回平台随机跑，观察是否继续报错?
     -  否：问题解决
     -  是：建议联系专业的售后技术支持人员获得帮助",
219,Red,伺服电机其他故障,不会出现,,
21A,Red,电机堵转导致解锁,"发生此错误是由于机器人发生碰撞或者异物卡住机器人导致机器人无法正常行驶，请按照一下步骤进行检查
1.检查发生错误的地毯上是否有异物导致机器人发生碰撞。有则清除异物并把机器人在地毯上摆正。(机器人在地毯上摆正后依次按C键-B键-A键-A键)
2.如果没有发生碰撞发生此错误，需要检查左右轮子是否被异物卡住
3.关机一分钟再开机，如果不行重新注册一下[注册操作指南](https://www.abc.com/zcdj.htm)","1. 检查发生错误的地毯上是否有异物
   -  是：清除异物并把机器人在地毯上摆正，观察是否继续报错?
     - 是：进入步骤2
     - 否：问题解决
   -  否：进入步骤2

2. 检查左右轮子是否被异物卡住
   -  是：清除异物，观察是否继续报错?
      - 是：建议联系专业的售后技术支持人员获得帮助
      - 否：进入步骤3
   -  否：进入步骤3

3. 关机一分钟再开机
   -  观察是否继续报错?
      - 是：进入步骤4
      - 否：问题解决

4. 根据操作指引重新注册电机
   -  观察是否继续报错?
      - 是：建议联系专业的售后技术支持人员获得帮助
      - 否：问题解决",
21B,Red,直行超1米无地毯定位,"先摆正继续运行，如果频繁报错，进行以下排查此错误是由于机器人打滑或者轨道发生偏离导致，请按照一下步骤进行检查
1.检查发生错误地毯有无异物
2.检查发生错误地毯附近是否有轮子摩擦时产生的橡胶块装物，有则需要铲除
3.校准霍尔（机器人不要触碰地毯，电机机器人的C按钮直到BC按钮在闪烁，按两次A按钮灯带三个灯闪三次，然后依次按CBA恢复）
4.校准轮径（将机器人放到地毯正中间，保证机器人前方七个地毯没有其他机器人或者障碍物，按C按钮知道AC按钮闪烁，再按两次A按钮，等待机器人来回运行结束后三个按钮闪烁三次，依次按CBA恢复）
5.检查左右两侧轮子是否在开机的状态下能锁紧，如果锁不紧则重新注册 [注册操作指南](https://www.abc.com/zcdj.htm)，注册还是不行则更换电机后重新注册
6.如果还是反复出现错误联系人工处理","1. 机器人摆正
   -  观察是否继续报错?
     -  是：进入步骤2
     -  否：问题解决

2. 地毯周边是否有异物
   -  是：清理异物，观察是否继续报错?
     -  是：进入步骤3
     -  否：问题解决
   -  否：进入步骤3

3. 按照视频指引校准霍尔
   -  观察是否继续报错?
     -  是：进入步骤4
     -  否：问题解决

4. 按照视频指引校准轮径
   -  观察是否继续报错?
     -  是：进入步骤5
     -  否：问题解决

5. 检查左右两侧轮子在开机的状态下是否能锁紧
   - 能：建议联系专业的售后技术支持人员获得帮助
   - 不能：进入步骤6

6. 按照视频指引重新注册电机
   - 观察是否继续报错?
     -  是：进入步骤7
     -  否：问题解决

7. 按照视频指引更换左电机并重新注册
   - 观察是否继续报错?
     - 是：进入步骤8
    -  否：问题解决

8. 按照视频指引更换右电机并重新注册
   - 观察是否继续报错?
     - 是：建议联系专业的售后技术支持人员获得帮助
    -  否：问题解决",
21C,Red,TOF避障雷达触发急停,"1.查看机器人是否发生碰撞或者小车偏离正常轨道，
    如果发生碰撞或者小车偏离正常轨道则清理障碍物并将机器人放在地毯上摆正后可以恢复正常。
2.如果没有发生碰撞并且小车没有偏离正常轨道，
    先清理障碍物后可以在车服上直接启动。","1. 清理障碍物并将机器人放在地毯上摆正
   -  观察是否继续报错?
     -  是：建议联系专业的售后技术支持人员获得帮助
     -  否：问题解决",
21D,Red,直行偏航角太大,"先摆正继续运行，如果频繁报错，进行以下排查此错误是由于机器人打滑或者轨道发生偏离导致，请按照一下步骤进行检查
1.检查发生错误地毯有无异物
2.检查发生错误地毯附近是否有轮子摩擦时产生的橡胶块装物，有则需要铲除
3.校准霍尔（机器人不要触碰地毯，电机机器人的C按钮直到BC按钮在闪烁，按两次A按钮灯带三个灯闪三次，然后依次按CBA恢复）
4.校准轮径（将机器人放到地毯正中间，保证机器人前方七个地毯没有其他机器人或者障碍物，按C按钮知道AC按钮闪烁，再按两次A按钮，等待机器人来回运行结束后三个按钮闪烁三次，依次按CBA恢复）
5.检查左右两侧轮子是否在开机的状态下能锁紧，如果锁不紧则重新注册 [注册操作指南](https://www.abc.com/zcdj.htm)，注册还是不行则更换电机后重新注册
6.如果还是反复出现错误联系人工处理","1. 机器人摆正
   -  观察是否继续报错?
     -  是：进入步骤2
     -  否：问题解决

2. 地毯周边是否有异物
   -  是：清理异物，观察是否继续报错?
     -  是：进入步骤3
     -  否：问题解决
   -  否：进入步骤3

3. 按照视频指引校准霍尔
   -  观察是否继续报错?
     -  是：进入步骤4
     -  否：问题解决

4. 按照视频指引校准轮径
   -  观察是否继续报错?
     -  是：进入步骤5
     -  否：问题解决

5. 检查左右两侧轮子在开机的状态下是否能锁紧
   - 能：建议联系专业的售后技术支持人员获得帮助
   - 不能：进入步骤6

6. 按照视频指引重新注册电机
   - 观察是否继续报错?
     -  是：进入步骤7
     -  否：问题解决

7. 按照视频指引更换左电机并重新注册
   - 观察是否继续报错?
     - 是：进入步骤8
    -  否：问题解决

8. 按照视频指引更换右电机并重新注册
   - 观察是否继续报错?
     - 是：建议联系专业的售后技术支持人员获得帮助
    -  否：问题解决",
21E,Red,轮超速,"此故障可能是电机的一些错误引起，请按照一下方式进行排查
1.关机一分钟后重新开机，检查是否再次会出现错误
2.检查轮子在开机状态下是否正常锁住，如果锁不住则进场重新注册电机[注册操作指南](https://www.abc.com/zcdj.htm)，如果还是不行检查线路是否正常，最后更换电机并再次注册
3.在第一点锁住的情况下进行校准轮径
4.在第二点轮子锁住然后操作玩第三点的情况下还是无法解决，检查rcs界面的磁条图界面在右下角这个机器人是否有其他报错，如果有左侧或者右侧电机出现异常则需要更换
5.最后无法解决联系人工服务","1. 机器人关机一分钟后重新开机
   -  观察是否继续报错?
     -  是：进入步骤2
     -  否：问题解决

2. 检查左右两侧轮子在开机的状态下是否能锁紧
   -  能：进入步骤5
   -  不能：进入步骤3

3. 按照视频指引重新注册电机
   - 观察是否继续报错?
     -  是：进入步骤4
     -  否：问题解决

4. 检查连接电机的CAN线两端是否松动，尝试重新插拔连接线
   -  观察是否继续报错?
     -  是：进入步骤7
     -  否：问题解决

5. 按照视频指引校准轮径
   -  观察是否继续报错?
     -  否：问题解决
     -  是：进入步骤6

6. 检查RCS界面的磁条图
   - 确认左/右侧电机是否有报错
     -  无：建议联系专业的售后技术支持人员获得帮助
     -  有：进入步骤7

7. 按照视频指引更换左/右侧电机
   -  观察是否继续报错?
     -  是：建议联系专业的售后技术支持人员获得帮助
     -  否：问题解决",
21F,Red,扫描雷达离线,"1.外表观察小车雷达是否损坏。如果损坏需要更换雷达。
2.如果雷达没有损坏，则需要拆机检查雷达线是否松动。
3.如果雷达线没有松动并且连接线也没有问题，尝试更换雷达。","1. 外表观察小车雷达是否损坏
   -  是：进入步骤3
   -  否：进入步骤2

2. 拆开机器人，检查雷达线是否松动，尝试重新插拔
   -  观察是否继续报错?
     -  是：进入步骤3
     -  否：问题解决

3. 尝试更换雷达
   -  观察是否继续报错?
     -  否：问题解决
     -  是：建议联系专业的售后技术支持人员获得帮助",
220,Red,激光雷达数据异常(全为0),,,
221,Red,FLASH配置校验错误 ,不会出现,,
222,Red,24伏输出过电流,"引起这个错误可能存在一下几种情况，请按照一下步骤进行检查
1.查看是否机器人发生碰撞，如果发生碰撞则摆正机器人后可以恢复正常
   当发生碰撞的时候导致机器人轮子解锁可以通过重启恢复
2.如果未发生碰撞检查机器人轮子和翻板电机是否正常锁定和工作
   (1).检查轮子：在机器人开机的状态下左右轮子是否锁住
 （2）检查翻板：手动通过按键是否能打开翻板并恢复（点击C按钮直到BC在闪烁，按一下A确认，再按一下A打开翻板，按B翻板回来，再依次按CBA恢复）
 （3）如果电机状态不对或者轮子锁不住则尝试重新注册   [注册操作指南](https://www.abc.com/zcdj.htm)。
 （4）以上操作还是为解决则需要更换电机或联系人工服务
","1. 确认机器人是否发生过碰撞
   -  是：进入步骤2
   -  否：进入步骤3

2. 尝试重新启动机器人
   -  观察是否继续报错?
     -  是：进入步骤3
     -  否：问题解决

3. 检查左右两侧轮子在开机的状态下是否能锁紧
   -  能：进入步骤4
   -  不能：进入步骤5

4. 按照视频指引进行手动翻板测试
   -  确认是否可以进行翻板动作
     -  是：观察是否继续报错?
       -  是：建议联系专业的售后技术支持人员获得帮助
       -  否：问题解决
     -  否：进入步骤5

5. 按照视频指引重新注册电机
   -  观察是否继续报错?
     -  是：建议联系专业的售后技术支持人员获得帮助
     -  否：问题解决",
233,Red,定位时里程计相关传感器没准备好,"引起这个错误可能存在一下几种情况，请按照一下步骤进行检查
1.检查机器人的24V电压是否正常
2.如果不正常检查电源板连接线和电池线是否松动
3.检查电池电压是否正常
   如果不正常--检查电压是否平衡，不平衡进行电池电压平衡
   —测量电压：使用万用表测量两块电池电压（测量电池正负极）如果相差较大为不平衡
   —拆下电池，找到两根电池线
   —两块电池交叉连接，正对正，负对负
4.以上如果没问题则更换电源板
5.以上操作无法解决则转人工服务","1. 检查机器人的24V电压是否正常
   -  是：进入步骤3
   -  否：进入步骤2

2. 检查电源板连接线和电池线是否松动，尝试重新插拔
   -  观察是否继续报错?
     -  是：进入步骤3
     -  否：问题解决
    
3. 检查电池电压是否正常
   -  是：进入步骤6
   -  否：进入步骤4

4. 根据操作手册检查电压是否平衡
   -  是：进入步骤6
   -  否：进入步骤5

5. 根据操作手册平衡电池电压
   - 观察是否继续报错?
     -  是：进入步骤6
     -  否：问题解决

6. 更换电源板
   - 观察是否继续报错?
     -  是：建议联系专业的售后技术支持人员获得帮助
     -  否：问题解决",
234,Red,目的地无地毯定位,"发生此错误是由于机器人打滑或者轨道发生偏离导致，请按照一下步骤进行检查
1.检查发生错误地毯有无垃圾
2.检查发生错误地毯附近是否有轮子摩擦时产生的橡胶块装物，有则需要铲除
3.校准霍尔（机器人不要触碰地毯，电机机器人的C按钮直到BC按钮在闪烁，按两次A按钮灯带三个灯闪三次，然后依次按CBA恢复）
4.校准轮径（将机器人放到地毯正中间，保证机器人前方七个地毯没有其他机器人或者障碍物，按C按钮知道AC按钮闪烁，再按两次A按钮，等待机器人来回运行结束后三个按钮闪烁三次，依次按CBA恢复）
5.检查左右两侧轮子是否在开机的状态下能锁紧，如果锁不紧则重新注册 [注册操作指南](https://www.abc.com/zcdj.htm)，注册还是不行则更换电机后重新注册
5.如果还是反复出现错误联系人工处理","1. 检查地毯周边是否有异物
   -  是：清理异物，观察是否继续报错?
     -  是：进入步骤2
     -  否：问题解决
   -  否：进入步骤2

2. 按照视频指引校准霍尔
   -  观察是否继续报错?
     -  是：进入步骤3
     -  否：问题解决

3. 按照视频指引校准轮径
   -  观察是否继续报错?
     -  是：进入步骤4
     -  否：问题解决

4. 检查左右两侧轮子在开机的状态下是否能锁紧
   -  能：进入步骤6
   -  不能：进入步骤5

5. 按照视频指引重新注册电机
   -  观察是否继续报错?
     -  是：进入步骤6
     -  否：问题解决

6. 按照视频指引更换左电机并重新注册
   -  观察是否继续报错?
     -  是：进入步骤7
     -  否：问题解决

7. 按照视频指引更换右电机并重新注册
   -  观察是否继续报错?
     -  是：建议联系专业的售后技术支持人员获得帮助
     -  否：问题解决",
235,Red,目的地地毯方向错误,"引起这个错误可能存在一下几种情况，请按照一下步骤进行检查
1.检查发生错误地毯的方向是否正确，是否是统一朝向
2.如果方向正确则把地毯翻过来检查磁条是否脱落或者发生偏移
3.以上操作无法解决则转人工服务","1. 检查发生错误的地毯方向跟其它地毯是否一致
   -  不一致：进入步骤2
   -  一致：进入步骤3

2. 调整地毯方向，确保所有地毯方向一致
   -  观察是否继续报错?
     -  是：进入步骤3
     -  否：问题解决

3. 检查地毯背面的磁条是否安装牢固或偏移，请重新安装到位
   -  观察是否继续报错?
     -  是：建议联系专业的售后技术支持人员获得帮助
     -  否：问题解决",
241,Red,"执行动作时,世界坐标没有准备好","1.检查机器人的24V电压是否正常
2.如果不正常检查电源板连接线和电池线是否松动
3.检查电池电压是否正常
4.以上如果没问题则更换电源板
5.以上操作无法解决则转人工服务","1. 检查机器人的24V电压是否正常
   -  是：进入步骤3
   -  否：进入步骤2

2. 检查电源板连接线和电池线是否松动，尝试重新插拔
   -  观察是否继续报错?
     -  是：进入步骤3
     -  否：问题解决
    
3. 检查电池电压是否正常
   -  是：进入步骤6
   -  否：进入步骤4

4. 根据操作手册检查电压是否平衡
   -  是：进入步骤6
   -  否：进入步骤5

5. 根据操作手册平衡电池电压
   - 观察是否继续报错?
     -  是：进入步骤6
     -  否：问题解决

6. 更换电源板
   - 观察是否继续报错?
     -  是：建议联系专业的售后技术支持人员获得帮助
     -  否：问题解决",
242,Red,"执行动作时,没有到达目标点附近","1.检查机器人的24V电压是否正常
2.如果不正常检查电源板连接线和电池线是否松动
3.检查电池电压是否正常
4.以上如果没问题则更换电源板
5.以上操作无法解决则转人工服务","1. 检查机器人的24V电压是否正常
   -  是：进入步骤3
   -  否：进入步骤2

2. 检查电源板连接线和电池线是否松动，尝试重新插拔
   -  观察是否继续报错?
     -  是：进入步骤3
     -  否：问题解决
    
3. 检查电池电压是否正常
   -  是：进入步骤6
   -  否：进入步骤4

4. 根据操作手册检查电压是否平衡
   -  是：进入步骤6
   -  否：进入步骤5

5. 根据操作手册平衡电池电压
   - 观察是否继续报错?
     -  是：进入步骤6
     -  否：问题解决

6. 更换电源板
   - 观察是否继续报错?
     -  是：建议联系专业的售后技术支持人员获得帮助
     -  否：问题解决",
244,Red,"执行动作时,没有转到目标角度","1.检查机器人的24V电压是否正常
2.如果不正常检查电源板连接线和电池线是否松动
3.检查电池电压是否正常
4.以上如果没问题则更换电源板
5.以上操作无法解决则转人工服务","1. 检查机器人的24V电压是否正常
   -  是：进入步骤3
   -  否：进入步骤2

2. 检查电源板连接线和电池线是否松动，尝试重新插拔
   -  观察是否继续报错?
     -  是：进入步骤3
     -  否：问题解决
    
3. 检查电池电压是否正常
   -  是：进入步骤6
   -  否：进入步骤4

4. 根据操作手册检查电压是否平衡
   -  是：进入步骤6
   -  否：进入步骤5

5. 根据操作手册平衡电池电压
   - 观察是否继续报错?
     -  是：进入步骤6
     -  否：问题解决

6. 更换电源板
   - 观察是否继续报错?
     -  是：建议联系专业的售后技术支持人员获得帮助
     -  否：问题解决",
245,Red,"执行动作时,扫描雷达没有准备好","1.检查机器人的24V电压是否正常
2.如果不正常检查电源板连接线和电池线是否松动
3.检查电池电压是否正常
4.以上如果没问题则更换电源板
5.以上操作无法解决则转人工服务","1. 检查机器人的24V电压是否正常
   -  是：进入步骤3
   -  否：进入步骤2

2. 检查电源板连接线和电池线是否松动，尝试重新插拔
   -  观察是否继续报错?
     -  是：进入步骤3
     -  否：问题解决
    
3. 检查电池电压是否正常
   -  是：进入步骤6
   -  否：进入步骤4

4. 根据操作手册检查电压是否平衡
   -  是：进入步骤6
   -  否：进入步骤5

5. 根据操作手册平衡电池电压
   - 观察是否继续报错?
     -  是：进入步骤6
     -  否：问题解决

6. 更换电源板
   - 观察是否继续报错?
     -  是：建议联系专业的售后技术支持人员获得帮助
     -  否：问题解决",
246,Red,"执行动作时,机器人方向和目标角度方向不一致","1.检查发生错误地毯的方向是否正确，是否是统一朝向
2.如果方向正确则把地毯翻过来检查磁条是否脱落或者发生偏移
3.以上操作无法解决则转人工服务","1. 检查发生错误的地毯方向跟其它地毯是否一致
   -  不一致：进入步骤2
   -  一致：进入步骤3

2. 调整地毯方向，确保所有地毯方向一致
   -  观察是否继续报错?
     -  是：进入步骤3
     -  否：问题解决

3. 检查地毯背面的磁条是否安装牢固或偏移，请重新安装到位
   -  观察是否继续报错?
     -  是：建议联系专业的售后技术支持人员获得帮助
     -  否：问题解决",
