故障类别,软/硬件,部件,标题,描述,原因分析,解决方案,Unnamed: 7
硬件,飞箱,8号电机,106005   8号电机离线,"1、中国时间1：57分106005飞箱报警，值班运维人员检查发现8号电机有问题，随后禁用该飞箱，其它飞箱任务可继续做。
","运维人员通过推拉箱发现8号电机皮带不转动，提出更换8号电机。
","1、其它设备都正常的情况下，插拔8号电机线束是否可以恢复正常。
-是：问题解决
-否：进入步骤2 
2、更换电机。",
硬件,飞箱,主控板,101051定位失效,飞箱在移动的过程中发生拉箱机倾斜，从视频上看似乎受到地面车撞击，检查操作界面发现z轴倾斜，飞箱定位失效,"1.自己推测操作在飞箱z轴倾斜后第一时间将z轴恢复成正常，将飞箱降至地面解锁5号电机直到飞箱平稳落下点击加锁，恢复后由于看见群里需要在操作界面操作主板复位，当时自己理解的问题在飞箱有箱子的情况下操作了主板复位，操作完之后通知客户拿取飞箱上的箱子，点击x自动定位恢复。
2.8：36飞箱报错的原因和9：07的原因一致都需要操作主板复位","1、提供弹窗信息和读取飞箱日志。

2、检查是否因“Z轴卡住”报错导致的定位丢失。
-是：查找Z轴卡住的原因并解决，部分情况可以通过“终止任务”“启动任务”按钮恢复。
-否：进入步骤3

3、检查是否电压过低或充不上电导致的定位丢失。
-是：需要检查电源板和触点是否正常，具体检查方法可以联系售后人员协助。
-否：进入步骤4

4、检查雷达线是否松动，雷达支架是否变形。
-是：插拔雷达线，调整雷达支架。
-否：进入步骤5

5、检查X轴是否有异物卡住轮子。
-是:清理异物。
-否：联系售后人员。",
硬件,飞箱,8号电机,飞箱拉箱失败,飞箱106005出现两次角度倾斜的情况，终止启动无法正常，并且还有拉箱失败的情况,"1.报故障时客户反馈有发生过一次撞车倾斜
2，拉箱失败的时候8号电机的皮带不转动，无法完成拉箱","1、其它设备都正常的情况下，插拔8号电机线束是否可以恢复正常。
-是：问题解决
-否：进入步骤2 
2、更换电机。",
硬件,飞箱,其它,101057飞箱故障，没有电压，定位故障,"用户反馈现场机器人撞击飞箱，导致飞箱异常，现场插拔扁线，电源板复位之恢复正常，处理故障时RCS崩溃2次，打开地面车操作界面和打开货架界面RCS会崩溃
下图为这段时间的报错

228167急停是充电桩里有一个车导致急停了",,"1、检查触点模块线束是否有松动。
-是：重新插拔线束。
-否：进入步骤2

2、检查充电触点与铜线的接触面是否脱落或磨损异常。
-是：更换触点。
-否：进入步骤3

3、用万用表量电源板红色和黑色5芯接插件是否有电。
-是：如果有电则需检查铜线是否脏污或异常磨损。
-否：联系售后人员",
硬件,充电桩,,充电桩异常,美国希音B4第二套上层，（27.1）充电桩充电异常，无法给小车正常充电,充电桩异常或小车无法充电,"1、检查充电嘴与小车极板接触面是否正常。
-是：进入步骤2
-否：更换充电嘴。

2、检查充电桩电源是否正常。
-是：进入步骤3
-否：检查电源线是否插紧，插座是否有电，充电桩开关电源是否有电。

3、检查小车极板是否氧化。
-是：用砂纸打磨极板
-否：进入步骤4

4、检查小车电源板正负极和信号线是否紧固。
-是：联系售后人员解决。
-否：紧固线束",
,,,充电很慢,,,"1、检查充电嘴与小车极板接触面是否正常。
-是：进入步骤2
-否：更换充电嘴。

2、检查充电桩电源是否正常。
-是：进入步骤3
-否：检查电源线是否插紧，插座是否有电，充电桩开关电源是否有电。

3、检查小车极板是否氧化。
-是：用砂纸打磨极板
-否：进入步骤4

4、检查小车电源板正负极和信号线是否紧固。
-是：联系售后人员解决。
-否：紧固线束",
,,,右下角充电波形图异常,,,"1、检查充电嘴与小车极板接触面是否正常。
-是：进入步骤2
-否：更换充电嘴。

2、检查充电桩电源是否正常。
-是：进入步骤3
-否：检查电源线是否插紧，插座是否有电，充电桩开关电源是否有电。

3、检查小车极板是否氧化。
-是：用砂纸打磨极板
-否：进入步骤4

4、检查小车电源板正负极和信号线是否紧固。
-是：联系售后人员解决。
-否：紧固线束",
硬件,飞箱,雷达,101066雷达数据异常导致多次报错,"101066飞箱由于雷达数据异常出现多次定位失败和推拉箱报错
由于RCS画面卡主的问题，有报错都是尽快处理先保证现场使用，并且这个情况出现多次，想等现场不用的时候，让肖侠驹进一步排查
肖侠驹忘记确认是雷达问题还是主板问题，直接做了主板复位，恢复正常，待下次出现再确认
",,"1、提供弹窗信息和读取飞箱日志。

2、检查是否因“Z轴卡住”报错导致的定位丢失。
-是：查找Z轴卡住的原因并解决，部分情况可以通过“终止任务”“启动任务”按钮恢复。
-否：进入步骤3

3、检查是否电压过低或充不上电导致的定位丢失。
-是：需要检查电源板和触点是否正常，具体检查方法可以联系售后人员协助。
-否：进入步骤4

4、检查雷达线是否松动，雷达支架是否变形。
-是：插拔雷达线，调整雷达支架。
-否：进入步骤5

5、检查X轴是否有异物卡住轮子。
-是:清理异物。
-否：联系售后人员。",
硬件,飞箱,触点,飞箱断电,车服上查看101001飞箱是电源关闭状态，无法启动车服，电压显示0V，远程无法正常启动飞箱,1，触点接触不好或者铜线需要打磨一下,"1、检查触点模块线束是否有松动。
-是：重新插拔线束。
-否：进入步骤2

2、检查充电触点与铜线的接触面是否脱落或磨损异常。
-是：更换触点。
-否：进入步骤3

3、用万用表量电源板红色和黑色5芯接插件是否有电。
-是：如果有电则需检查铜线是否脏污或异常磨损。
-否：联系售后人员",
硬件,机器人,其它,155018急停,B4第3套：155018小车多次急停,"1、检查霍尔磁条图，显示正常；
2、查看硬件信息，正常在线，无明显异常；
3、怀疑与轮径有关。","1、查看磁条图确认霍尔板是否正常。
-是：进入步骤2
-否：校准霍尔板后继续观察，还是不行就更换霍尔板。

2、检查万向轮弹簧按压、转动轮子是否顺畅。
-是：进入步骤3
-否：清理轮子异物或更换轮子。

3、开机状态下转动主动轮能否转动。
-能：拆掉轮胎，紧固主动轮底座螺丝。
-否：进入步骤4

4、检查魔毯是否异常磨损，连接处是否平整。
-是：更换魔毯或处理不平整的地方。
-否：联系售后人员

",
硬件,分拣机,读卡器,右读卡器故障,PNT第4套30号机报警右侧读卡器离线，拔插读卡器线后恢复在线，但是不读取货架RFID，分拣机仍然红灯报警，LCD屏显示分拣模式，工具查看读卡器也在线。,"1、重新拔插右侧读卡器连接线无效；
2、更换其他货架也读不出RFID；
3、右侧读卡器故障。",插拔1号读卡器线束，如果还不正常，更换读卡器,
硬件,灯条按钮盒,,按钮盒离线,塞尔维亚第四根手指177格口更换按钮盒，并且177格口之后的所有格口都离线中,"1，更换了177按钮盒，没有重新注册，显示离线，177格口之后所有格口都离线连接先未接好
2，更换新的按钮盒之后177除外其他格口已恢复正常连接","1. 重新插拔灯条/按钮盒连接线
- 观察是否异常
- 是：进入步骤2
- 否：问题解决

2. 更换灯条/按钮盒，并重新注册
- 观察是否异常
- 是：建议联系专业的售后技术支持人员获得帮助
- 否：问题解决",
硬件,机器人,其它,小车无法识别,RCS添加小车112188无法识别，反馈未换过配件，注册电机无效，快速加车也搜不到车号。,已充过电说明不是没电，怀疑是无线模块异常导致无信号。,"1.检查机器人实际是否是开机状态
  -是：进入步骤2
  -否：进入步骤3
2.打开机器人查看无线通讯模块是否松动
  -是：插紧通讯模块
  -否：进入步骤4
3.机器人开机后再次尝试通讯是否成功
  -是：问题解决
  -否：进入步骤4，如无法开机则进入机器人无法开机操作步骤指引
4.更换一台正常机器人上的通讯模块进行交换查看是否正常
  -是：通讯模块损坏，更换通讯模块 
  -否：建议联系专业的售后技术人员处理",
硬件,其它,,网线接触不好,"下层ds001,002发货口扫描包裹没有发车，也没有弹出服务断开连接等报错","1，RCS电脑ping不通扫码台电脑，扫码台也ping不通其他电脑
2，扫码台电脑ip地址和子网掩码无误，防火墙关闭状态
3，扫码台电控箱上交换机网线灯正常
4，扫码台电脑重启没有效果
5，最后插拔扫码台端和电控箱端两头网线恢复","1.重启扫码台
-观察是否解决？
-是：问题解决
-否：进入步骤2

2.使用其他电脑尝试ping扫码台电脑
-是否能ping通？
-是：进入步骤3
-否：检查扫码台电脑的网线和网络配置

3.检查防火墙是否关闭
-是：进入步骤4
-否：关闭防火墙

4.打开电控箱，检查扫码台服务器的网线是否松动，拔插网线，观察是否恢复
-是：问题解决
-否：建议联系专业的售后技术支持人员获取帮助",
硬件,飞箱,主控板,101032雷达离线,101032雷达离线车服无法启动,"1.第一次判断：车服界面显示雷达时而在线时而不在线，考虑这个问题操作24v断电让客户检查雷达线是否接触正常（这个操作没有让客户检查而是操作主板复位）
2.第二次判断：主控板是否重新上电的情况死机，让客户按下主板复位，我在操作界面点击开启24v电源（这里弹出报错定位失效），后续让客户按下24v电源恢复，恢复上电后弹出定位失效，操作界面点击x自动定位","1、提供弹窗信息和读取飞箱日志。

2、检查是否因“Z轴卡住”报错导致的定位丢失。
-是：查找Z轴卡住的原因并解决，部分情况可以通过“终止任务”“启动任务”按钮恢复。
-否：进入步骤3

3、检查是否电压过低或充不上电导致的定位丢失。
-是：需要检查电源板和触点是否正常，具体检查方法可以联系售后人员协助。
-否：进入步骤4

4、检查雷达线是否松动，雷达支架是否变形。
-是：插拔雷达线，调整雷达支架。
-否：进入步骤5

5、检查X轴是否有异物卡住轮子。
-是:清理异物。
-否：联系售后人员。",
硬件,飞箱,触点,101001飞箱无法通讯上,"远程查看飞箱没有电，ping不通

19:00补充101001、101101各出现一次，观察到都是关机再开机出现，左右移动飞箱可以充电，","怀疑充电触点没有接触好，尝试让用户拉动充电触点的杆子，现象不变，
怀疑充电触点损坏，更换充电触点

","1、检查触点模块线束是否有松动。
-是：重新插拔线束。
-否：进入步骤2

2、检查充电触点与铜线的接触面是否脱落或磨损异常。
-是：更换触点。
-否：进入步骤3

3、用万用表量电源板红色和黑色5芯接插件是否有电。
-是：如果有电则需检查铜线是否脏污或异常磨损。
-否：联系售后人员",
硬件,灯条按钮盒,,灯条离线,部分灯条从在线，主不在线，客户描述重新插拔灯条连接线后会恢复正常，但是过段时间还是会离线,"1.判断连接线坏了，更换连接线看是否恢复
2.更换后正常，如果在离线尝试更换灯条","1、检查灯条线束是否松动。
-是：紧固线束
-否：更换灯条",
硬件,分拣机,轴承/滚轮,分拣机报错过载04,分拣机报警过载04，回零时卡顿，不流畅，重启后未恢复，现场检查有一个人本轴承卡主，用3D分拣工具看到3号电机报警0A,"1.3号电机或者联轴器损坏
2.人本轴承损坏
3.Y轴有异物卡主","1.检查Y轴下是否有异物卡住
  -是：清理异物后是否恢复
    -是：问题解决
    -否：进入步骤3
  -否：进入步骤2
2.使用工具查看3号电机是否异常
  -是：检查联轴器是否有异响或损坏
    -是：重新拔插联轴器或更换
    -否进入步骤3
  -否：进入步骤3
3.检查轴承是否损坏
  -是：跟换轴承
  -否：进入步骤4
4.手动使用工具旋转翻板是否能转动
  -是：联系专业的售后技术人员处理
  -否：更换电机",
硬件,分拣机,电梯板,电梯板电容漏液,液晶屏的急停和消音，不显示，5个电机全部解锁 ，液晶屏报警电容电压不平衡，工作电源页面显示电容电压异常，重启后没有恢复,电梯板电容鼓包或者漏液,更换电梯板，并根据更换电梯板后的操作进行指引,
硬件,分拣机,1号电机,14号分拣机报错1号电梯故障,14号分拣机报错1号电梯故障,LCD屏一号电机报错，让客户拍照 电机回零没有到位,"1、检查线束是否松动
  -是：重新扎紧
  -否：进入步骤2
2、更换电机是否恢复
  -是：问题解决
  -否：联系专业的售后技术人员处理",
硬件,分拣机,电梯板,分拣机版本升级更换了电梯板,分拣机版本升级更换了电梯板,更换了电梯板 版本不一致,"当分拣机更换电梯板时需要重新修改ip并升级
1.更换完毕后在分拣机的LED显示屏中点击高级设置，设置当前分拣机的ip地址
2.设置完ip后进行升级电梯板的程序保持和其他分拣机处于同一版本",
硬件,飞箱,配重轮扁线,报错提示：飞箱:101012故障，问题:定位失效,报错提示：飞箱:101012故障，问题:定位失效，飞箱控制界面发现设备离线,检查电源板到拉箱机hub板的扁线，发现扁线磨损,"1、检查配重轮滑动是否顺畅。
2、更换扁线。",
硬件,扫码台相机,,扫描包裹模糊,uniuni下层相机左边第二个扫码台扫描包裹很模糊,相机镜头松动，让客户检查相机镜头，镜头刻度转动了导致模糊,"1.检查调整相机镜头的焦距是否恢复正常
  -是：问题解决
  -否：进入步骤2
2.查看镜头是否有刮花等情况
  -是：更换镜头
  -否：联系专业的售后技术人员处理",
,,,相机模糊,,,"1.检查调整相机镜头的焦距是否恢复正常
  -是：问题解决
  -否：进入步骤2
2.查看镜头是否有刮花等情况
  -是：更换镜头
  -否：联系专业的售后技术人员处理",
硬件,分拣机,X滑块,分拣机X轴运行卡顿,分拣机投递完固定位置会有卡顿,"1.分拣机断电手动推翻板上下不卡顿
2.断电后前后推Y轴，往平台推的时候有卡顿（判断可能是X轴滑块的轴承坏了）
3.尝试摇晃1号电机，可以被晃动（正常应该不能晃动，判断可能是里面的螺丝松了）
4.固定好一号电机的螺丝，李海生判断X轴滑块坏了","1.分拣机断电手动推翻板上下是否卡顿
  -是：检查皮带和电机
  -否：进入步骤2
2.断电后前后推Y轴，往平台推的时候是否卡顿
  -是：检查X轴滑块的轴承可能坏了需要更换，同事进入步骤3检查
  -否：进入步骤3
3.尝试摇晃1号电机，是否可以被晃动
  -是：里面的螺丝松了，固定好一号电机的螺丝。
  -否：如问题为解决则联系专业的售后人员处理，问题解决则关闭",
硬件,分拣机,CAN线,分拣机LCD屏黑屏，电机灯不亮,分拣机LCD屏黑屏，电机灯不亮,"1、查看电机指示灯是否正常
2、查看电梯板指示灯是否正常
3、拔掉扁线查看LCD屏幕是否能亮（亮），扁线插线位置有烧黑的痕迹","1.查看电机指示灯是否正常
  -是：进入步骤2
  -进入步骤3
2.查看电梯板指示灯是否正常
  -是：进入步骤4
  -否：检查电源是否有输出
    -是：更换电梯板并修改ip和升级
    -否：跟换电源线
3.查看输出板是否在线
  -否：重启分拣机或更换输出板
  -是：进入步骤4
4.拔掉扁线查看LCD屏幕是否能亮（亮），是否有烧焦的痕迹
  -是：根据查验看是否是电梯板烧坏还是线烧坏
  -否：联系专业的售后技术人员处理",
硬件,飞箱,其它,飞箱接驳位推箱子到小车上时，会经常报错“检测到小车上有箱”,"CAD图纸上下导轨离地面555毫米，货架层板宽5厘米，飞箱导轨Z轴离地面95毫米，实际层板宽6厘米，飞箱导轨下沿离地面565毫米
运行现状：飞箱在往接驳位上小车推箱子时，会经常报错“检测到小车上有箱子”",联系肖侠驹远程看过该问题后，肖哥远程与我们视频核对了各项飞箱的高度以及尺寸参数后，回复这边的飞箱拉箱机的前后TOF位置和其他项目的位置不一致，导致飞箱自动计算的货架在第一层时候拉箱机传送带没有和货架导轨上边沿齐平，导致飞箱去接驳位推箱子时高度异常,"1、提供弹窗信息和读取飞箱日志。

2、检查TOF是否脏污或螺丝松动。
-是：擦干净TOF/紧固螺丝
-否：进入步骤3

3、查看地面车停的位置是否准确。
-是：进入步骤4
-否：通过操控界面调整地面车位置

4、检查拉箱机是否倾斜。
-是：找到倾斜原因并解决，如未发现明显原因，可以电机回零继续观察
-否：进入步骤5

5、检查接驳位偏移量是否正常，可以和相邻接驳位对比下
-是：联系售后人员解决。
-否：调整偏移量。",
硬件,机器人,其它,机器人运行的时候会出现蛇形走位，电机解锁的情况,机器人运行的时候会出现蛇形走位，电机解锁的情况，注册电机，校准霍尔，校准轮径，检查抱箍，检查轮子外观,"1、注册电机
2、校准霍尔
3、校准轮径
4、检查轮子外观
5、检查抱箍
6、更换霍尔板
还未解决","1、查看磁条图确认霍尔板是否正常。
-是：进入步骤2
-否：校准霍尔板后继续观察，还是不行就更换霍尔板。

2、检查万向轮弹簧按压、转动轮子是否顺畅。
-是：进入步骤3
-否：清理轮子异物或更换轮子。

3、开机状态下转动主动轮能否转动。
-能：拆掉轮胎，紧固主动轮底座螺丝。
-否：进入步骤4

4、检查魔毯是否异常磨损，连接处是否平整。
-是：更换魔毯或处理不平整的地方。
-否：联系售后人员",
