问题提出时间,问题描述,解决过程
2023-12-24 10:24:00,客户询问Tsorter 10是否有人在操作，以及机器是否因此停止。,客服立镖张皓琪确认自己刚刚在远程使用，现已退出，并告知客户机器本身就是停止状态。
2023-12-28 04:33:00,机器人未将包裹投放到袋子里，导致无法手动处理，此问题发生在T-sort 05、06和07号分拣机上，包裹状态显示为“已装箱”或“已接收”但未实际入箱。,客服Shmily告知客户该情况只能手动分拣，并解释可能是因为包裹已被机器人分配，但操作员未将包裹放入机器人，导致机器人空车离开，或者相机扫描了包裹条码但操作员未放入包裹。
2023-12-28 09:12:00,所有分拣机互联网连接异常，只有PDA有网络。RCS未启动。,客服Shmily指导客户检查RCS是否启动，确认所有平台的RCS均未启动，机器人未开机。客服肖肖和立镖张皓琪远程处理，要求客户打开关闭的格口。客户随后确认问题解决，机器人已运行。
2023-12-28 09:38:00,机器人正在运行，但无法关闭袋子。,客服Shmily请求立镖张皓琪检查，立镖张皓琪回复“再试一下”，问题似乎得到解决。
2023-12-28 10:54:00,由于互联网波动，部分格口堵塞。客户列出了Sorter 6、7、3、5、2、1上大量堵塞的格口。同时，Sorter 8、9、10运行非常缓慢。,客服立镖张皓琪逐一检查并处理这些堵塞的格口。陆续确认Sorter 6、7、3、所有格口都已解决。客服询问客户机器不工作的具体时间段，以便修复现场系统的数据库组件。客户解释问题通常发生在互联网中断且操作员关闭格口时。
2023-12-28 14:46:00,再次出现连接问题，Sorter 5的074格口有问题。关闭B标签物品的袋子时遇到问题并报错。,客服周山子寻求邹宝禄和刘帆的协助。客服梅刚建议绑定新箱子时使用状态为未关闭的新大箱。周山子指导客户使用新标签。客服立镖张皓琪表示会检查。
2023-12-28 21:27:00,客户列出BRRC05、BRRC04、BRRC03、BRRC06上多个格口被锁定，请求解锁。客户还提出系统因断网导致PDA仍可绑定但服务器不工作，恢复连接后大量格口堵塞，只能由立镖清理数据，这不合理。,客服立镖张皓琪远程处理并解决格口锁定问题。客服Shmily和Lincoln Araujo讨论了网络断开导致格口堵塞的系统性问题，承认这是网络断开时会发生的问题，并希望现场网络稳定。客户建议思考如何避免网络问题，并提出机器和PDA应同时停止。客服Shmily表示会安排周山子和立镖张皓琪进行沟通。对于后续报告的BRRC08、BRRC09、BRRC10格口堵塞问题，客服立镖张皓琪指导客户使用PDA绑定新容器。对于T-sort 06仍然堵塞的问题，客服立镖张皓琪和周山子进一步排查，并在后续的数据库集群修复中解决。
2023-12-28 23:50:00,T-sort 06号分拣机仍然堵塞。,客服周山子和立镖张皓琪检查绑定容器的提示。客服立镖张皓琪在后续确认，由于前一天数据库集群状态异常，导致很多格口上报有问题，进行了人工补推消息，并正在排查异常原因。最终在客户确认设备最近一次上报记录是12月31日，现场机器都关机的情况下，客服立镖张皓琪确认可以进行数据库集群环境的修复操作，并于2024-01-02确认数据库集群状态已恢复。客服Shmily表示无需客户进行额外验证。
2024-01-03 04:26:00,包裹随机器人返回扫码台，未被正常投落。此问题在T-sort 06和03上也有发生。,客服Shmily指导客户检查包裹底部是否有粘性，并询问机器人编号。客服解释是由于包裹底部有粘性，会粘在机器人上导致无法卸货。客服周山子和Shmily确认这是一种已知情况，可能是包裹背面粘有胶带。指导客户使用PDA查找该包裹所属格口并检查包裹状态。客服周山子和立镖张皓琪继续跟进检查机器人是否存在问题。
2024-01-03 07:06:00,无法在格口RC01-014绑定袋子。,客服Shmily确认RCS系统中该格口显示为关闭状态，但格口本身正常。要求客户打开这些格口，并建议设备维护人员检查RC01-028到RC01-029这两个格口按钮盒之间的连接线，检查时需停止分拣。
2024-01-04 00:37:00,客户列出Sorter 05、04、03、02、01、10、09、08、07、06上大量格口，请求解锁，因为这些格口不再用于自动分拣，需要手动处理。,客服Shmily和立镖张皓琪远程查看，并指导客户尝试使用按钮打开这些格口。但客户澄清，他需要的是“阻止”这些格口被T-sort使用，因为它们用于手动处理，而不是真正意义上的打开或解锁。客服对此表示不理解，双方处于沟通澄清阶段，暂无直接技术解决方案。
2024-01-12 04:35:00,所有分拣设备都出现问题，RC停止工作，似乎没有互联网连接。,客服Shmily询问WES服务器是否被移动，并要求客户检查WES服务器的电源和网络。客户Rani Cudek确认服务器能源和互联网故障。客服Shmily随后确认系统已恢复正常，并强调WES服务器的重要性，要求客户尽量不要移动WES服务器，如需移动必须由现场维护人员操作，确保电源和网络不断开，且设备停止运行。
2024-01-12 05:12:00,出现SKU问题，所有包裹都受影响。客户表示无法打开格口。,客服Shmily指导客户从机器人上取下包裹，并远程操作检查。由于WES服务器移动导致断开连接和重启后出现问题，客服正在检查具体原因，怀疑是WES服务器某个服务未启动。客服立镖张皓琪介入恢复。客服指导客户按下按钮检查格口灯是否熄灭。最终，客服确认现场服务已恢复正常，机器开始运行。
2024-01-12 07:41:00,所有T-sort分拣机再次出现格口堵塞问题，客户表示无法关闭格口。,客服立镖张皓琪远程检查并测试了BRRC03的格口。客服周山子要求客户等待维修，并指示不要进行集包操作。客服立镖张皓琪指导客户重启现场所有设备的RCS软件（上下两层），BRRC03除外（已重启）。客户随后确认所有设备均正常工作。
2024-01-12 11:15:00,所有分拣机互联网信号中断，需要检查所有分拣机状态。,客服周山子和立镖张皓琪检查现场网络和机器状态。客户Renan da Silva随后确认所有分拣机信号恢复，但客服立镖张皓琪表示自己未做任何操作。客服要求客户反馈问题时提供视频、包裹号和机器号。客户提到一些管道（格口）已关闭。
2024-01-12 11:38:00,其他机器也有相同情况，互联网再次停止，系统运行缓慢且波动。,客服周山子要求客户发送所有问题格口信息。客服周山子指示当前状态为装箱中，需要补推数据，并建议客户暂时不要放包裹到机器或PDA集包，等待立镖团队检查。客服立镖张皓琪检查服务状态并确认正常。客户报告部分格口仍然关闭，客服周山子和立镖张皓琪进行远程释放和处理。陆续确认Sorter 2、3、4、5、6、7、8、9所有格口问题已解决，并对需要绑定新容器的格口提供指导。最终客服确认所有机器均正常。
2024-01-14 10:04:00,分拣机9无法进行收集操作，出口关闭，屏幕显示特定消息。,客服接到问题报告后，联系现场人员处理。现场人员远程协助客户进行操作，随后问题得到解决。
2024-01-19 22:56:00,出口RC03-053和RC04-026无法打开，显示为“绑定中”状态。,客服检查了系统上报记录，发现格口存在绑定关系。客服引导客户确认格口状态后，问题解决。
2024-01-24 02:06:00,许多子包裹在GLP B分拣机上无法被3D读取，显示无SKU信息，但PDA可以读取。,客服询问了波次信息。问题在记录中未见明确解决过程。
2024-01-24 04:07:00,RC06-026出口被锁定，需要解锁。,客服表示需要相关人员检查原因后才能解锁，并协调工程师处理。后续该出口的问题与相机故障问题合并处理，客服指示客户尝试操作后，系统恢复正常。
2024-01-24 08:47:00,分拣机1被远程访问后停止工作，但摄像头仍在移动；此外，3号站台的包裹扫描相机不工作。,客服确认分拣机1已恢复正常。针对相机问题，客服建议重启软件或断电重启相机，并进行远程升级。尽管客户表示有人远程使用，无法自行操作，但客服最终确认相机连接已正常，表示机器可正常使用。
2024-01-24 16:06:00,Sorter 9的机器人坐标系统状态异常。,客服尝试远程检查机器人坐标系统状态，但发现机器没有外网连接。客服指导客户检查设备电源和网络状态。此问题可能与后续发现的系统注册数据被清空有关。
2024-01-24 23:03:00,T-sort 09的注册数据被清空，导致所有绑定的盒子数据被清除。,客服发现问题并告知需要重新注册。在客户到达现场后，客服指导客户逐一按下按钮进行重新注册。过程中发现部分按钮连接异常，客户排查并更换了故障部件后，系统恢复正常使用。客服表示无法查到数据丢失的原因。
2024-01-25 14:18:00,客户反馈最近系统问题较多，要求客服反馈问题原因。,客服内部协调，并按照客户提供的模板，将问题原因（包括数据清空可能由现场误操作引起，但具体原因未知）和后续改进措施（增加备份和操作权限控制）进行记录和反馈。
2024-01-25 16:05:00,分拣机1的RC01-035、RC01-036出口和分拣机2的RC02-080、RC02-081出口（M1-00和M1-01管道）自动关闭，尤其是未运行的分拣机。,客服确认了受影响的出口号，并解释这些出口已被用于Channel Destination，建议客户向相关负责人咨询详情。客户表示问题得到解释。
2024-01-27 01:51:00,GLP现场无网络连接，导致客服无法远程检查设备。,客服确认现场网络无法连接。客户更换了相关设备后，客服询问是否需要注册。该问题在记录中未有明确解决，但可能与后续重新绑定等操作相关联。
2024-01-29 20:35:00,客户请求协助处理格口问题，可能为绑定异常。,客服接到请求后，先让客户尝试操作，然后明确告知需要重新绑定盒子以解决问题。
2024-02-01 19:39:00,分拣机10层01的地毯存在问题，机器人经过该地毯时会丢失坐标，且当机器人位于该地毯上时，无法读取RFID，导致分拣机无法启动。客户怀疑地毯被更换过。,客服通过远程检查和照片确认地毯配置和外观正常，但仍建议更换。客户更换新地毯后，客服进行配置更新，问题解决，系统恢复正常。
2024-02-01 20:43:00,分拣机9的按钮孔出现问题：在程序中手动关闭时按钮不激活；激活传感器时指示灯正常亮起，但程序中对应格口保持开放，包裹继续下落；激活一侧按钮，另一侧按钮却关闭。,客服尝试重启按钮控制程序。随后，客服指导客户在现场重新注册所有按钮。在客户的配合下，问题得到解决，系统恢复正常工作。
2024-02-06 09:12:00,分拣机无法进行分拣操作。,客服告知将进行系统更新。更新完成后，分拣机和传感器恢复正常使用。
2024-02-06 20:20:00,T-Sort A仓进货口03无法读取包裹。,客服检查后确认上下层分拣正常，问题解决。
2024-02-06 20:49:00,T-Sort A仓进货口03无法读取包裹的问题再次出现。,客服要求提供更多问题信息。客户随后表示因与技术人员沟通失误，问题已自行解决。
2024-02-07 01:14:00,T-sort 04的故障电池已更换，询问是否需要进行配置。,客服指导客户按下按钮进行注册，完成配置后问题解决。
2024-02-08 01:44:00,客户希望更改系统逻辑，实现在使用“E-STOP”急停按钮停止分拣流程后，机器人能够自动关闭或休眠，而非导致机器人放电。,客服解释了常规停止后的行为，客户澄清E-STOP的特殊性。客服反问使用E-Stop的原因。此问题在记录中未有明确的功能实现确认或解决。
2024-02-19 18:55:00,停电后，所有T-sort平台的按钮程序不工作，部分按钮开启后无法关闭，且尝试打开程序时报错。,客服诊断为网络连接异常和加密狗未识别。客户在现场检查并连接好电缆后，程序恢复工作，所有平台的按钮功能也逐渐恢复正常。
2024-02-19 20:43:00,T-sort 9下层出现问题，客服无法连接远程协助。随后发现有机器人无法正常工作，有多个机器人存在相同问题（例如启动时会旋转，表明车轮马达可能锁定）。,客服尝试远程连接失败，指导客户重启系统。客户重启后，客服远程指导客户将故障机器人（包括170191和173074等）放到地面、翻转，并进行重新放置和随机运行测试。针对机器人旋转问题，客服判断可能为车轮马达解锁。经过一系列现场操作和远程协助，所有问题机器人恢复正常。
2024-02-20 02:29:00,B仓分拣机01上层的扫描器应用不工作。,客服询问具体扫码台信息。此问题在记录中未有明确的解决过程。
2024-02-21 03:30:00,T-sort 04的RC04-054出口被锁定，导致无法绑定新的袋子，需要解锁。,客服询问了格口状态并要求提供视频。客服检查后，让客户再次尝试，问题可能得到解决。
2024-02-25 22:59:00,客户询问地毯是否需要更换，可能暗示存在与之前类似的地毯问题导致机器人无法正常工作。,客服确认网络连接状态后，要求客户标记问题地毯位置并进行机器人放置测试。经过一系列现场指导和测试，客服最终确认需要更换两块地毯。
2024-02-26 03:05:00,3D System 程序不在电脑上，需要帮助。,客户自行检查并解决了问题，最终在群里回复“Resolvido”（已解决）。
2024-02-27 03:57:00,T-sort 05 DHL位置的机器人（地毯021处）失去参考。,客服Yvemip9介入检查，初步反馈“看上去正常，有问题吗？”。客户Filipe随后确认问题已解决并表示感谢。
2024-02-28 22:27:00,T-sort 05 上层进货口02，地毯被移除清洗后，顺序错乱，导致机器人发生碰撞。,客服Shmily指出地毯拆卸后必须原位放回。客户Filipe确认是6块地毯位置错乱。客服Wang指导客户手动将除一台发货口机器人外的其他机器人搬到平台另一侧，并询问所有地毯的箭头方向是否一致，客户确认一致。客服Wang随后告知已完成操作。客服Shmily再次提醒客户注意地毯归位。
2024-03-03 00:50:00,T-sort 1 下层设备的数据恢复离线（Data recovery: offline）。,客服Yvemip9介入表示将进行检查。客户Técnico Sorter DHL随后表示“Thank you very much”，暗示问题已解决。
2024-03-05 01:32:00,分拣机5号的所有出口无法解绑包裹袋（rcbags），出口没有包裹导致无法使用PDA关闭。原因是正在更改出口配置。,客服周山子要求客户提供无法解绑的出口列表并指定格式。客户Joao Vitor按指定格式提供了RC05-0XX的详细出口列表。WMS侧的邹宝禄检查后确认除RC05-081外，其他出口均处于已完成或只绑定未装箱状态，建议可以解绑。客户陈浩建议立镖侧与客户侧系统同步解绑。客服Ψθ、检查并同意解绑。双方系统（WMS侧由邹宝禄，立镖侧由Ψθ、）确认已完成所有格口的解绑。客户陈浩和周山子对解决结果表示满意。
2024-03-05 04:01:00,T-sort 9机器人出现问题，曾因系统错误与其它机器人发生碰撞，导致错误持续存在。,客服Wang建议客户关机等待一分钟后再开机。客户执行后问题仍在，客服Wang进一步指导客户拆开查看翻板电机连接线是否松动。客户Técnico Sorter DHL在检查过程中，机器人自行恢复了正常工作，客户表示感谢。
2024-03-05 16:49:00,"WMS向闪电播设备推送强制分播信息时，执行结果返回“System Exception, please Contact Administrator”。",客服Ψθ、经检查发现现场MCS软件被关闭，并已远程重新打开。客服Ψθ、提醒客户方宣导在分拣过程中不要关闭现场MCS软件。
2024-03-05 21:37:00,包裹GC2403020833571842（格口RC04-074）在WMS系统显示为“超期完成”，表明没有落件，但客户认为扫描了就应该发车。,客服Ψθ、检查发现该包裹没有发车，只有请求目的地的记录，并且后续扫描发车被已发车校验阻拦。客服Ψθ、承认发车标记记录与移除逻辑存在缺陷，表示将进行优化，修改记录包裹码标记的时间点为创建任务发车后，以避免仅请求目的地后就无法发车的情况。客户陈浩要求优化后进行充分测试再发布。
2024-03-05 23:47:00,巴西A仓MCS备机电脑关机了。,客服项钱看（犯困版）告知客户电脑关机了，并指导客户只需打开电脑。客户周山子协调现场人员Davi Ribeiro和Filipe进行检查和操作。客户Filipe最终确认“Machine on!”（机器已开机），问题解决。
2024-03-06 06:33:00,T-sort 05 分拣机出现问题。,客服Ψθ、介入，解释因之前已对第五套格口进行了箱子解绑操作，现在需要重新绑定新的箱子才能正常使用。客户周山子确认已经重新绑定，并询问是否已正常工作。
2024-03-06 19:40:00,分拣机5号出现问题。,客服项钱看（犯困版）告知客户第五套平台的RCS已关闭。客户Enzo Ferreira确认两个工作站都已开启，并尝试再次投放包裹，但仍报错。客服Ψθ、介入检查，并建议客户在第五套设备进行扫码测试。客户Enzo Ferreira最终确认“Now its working”（现在工作正常）。
2024-03-07 03:02:00,第四套设备的摄像头扫描没有声音，具体为右侧扫码台一直没有声音，左侧有声音。,客服Wang询问声音是突然消失还是一直没有，以及旁边扫码台是否有声音。客户周山子回复是一直没有，且右侧扫码台没有，左侧有。客服汪昌春确认设备套数，并询问何时设备不使用以便检查。客服汪昌春进一步询问声音来源是扫码软件还是电控箱。后续未在日志中明确体现解决步骤和问题解决的确认。
2024-03-10 01:17:00,T-sort 02仓库D设备的一个波次被锁定了。,客户周山子询问客户Filipe是否想关闭这个波次，得到肯定答复后，引导客户联系CEVA团队的主管，因为他们有在WMS-LA操作的权限。客户Filipe表示感谢。
2024-03-16 10:49:00,T-sort 009 下层设备在坐标30.11处出现故障，以及T-sort 005下层和上层也出现坐标故障，这些故障提示是15日的。,客服安稳解释这是异常充电提示，偶尔出现但不影响充电。并建议客户使用砂纸打磨充电头的接触点，表示这可以缓解问题。客户Técnico Sorter DHL表示感谢。
2024-03-17 10:01:00,BR04第四套设备无法更换箱子。,客服LB-Louis-陈振林和Ψθ、介入，远程查看并定位到服务器磁盘空间已满。客服Ψθ、清理了部分日志，并要求客户使用PDA再次扫描尝试。客户Enzo Ferreira初步反馈问题解决。客服Ψθ、后续补充说明，由于磁盘已满，部分数据未写入，导致部分格口仍无法正常更换容器，已处理了排查到的几个，并请客户继续报告绑定容器失败的情况。客户Enzo Ferreira再次报告“Same problem”和“timeout”，表明问题未完全解决或复发。
2024-03-20 20:04:00,T-sort 3 上层设备的机器人无法识别地毯的RFID。,客服Yvemip9介入检查，初步反馈未发现问题，但在客户Técnico Sorter DHL澄清问题发生在机器人停在地毯上时，客服Shmily询问是所有机器人还是特定机器人。客户确认是所有机器人。客服Yvemip9最终建议更换魔毯。客户Técnico Sorter DHL确认执行了更换，问题得到解决并表示感谢。
2024-03-21 19:24:00,机器人下方的一个电机脱机（5号电机脱机）。,客服健仔又瘦了🤠告知客户具体是黄色翻板下5号标签电机脱机。客户Filipe检查后发现05号电机连接器断开，重新连接后问题解决。客服健仔又瘦了🤠对客户的解决表示赞扬。
2024-03-21 20:10:00,机器人重新工作后，3D-sort 仓库A的30号出口不投放包裹/不接受包裹，且操作人员可能随意更改模式导致任务无法交付。,客服健仔又瘦了🤠要求客户提供30号机器位置和状态的图片。客户Filipe提供了相关书架信息。客服健仔又瘦了🤠发现设备处于“Rondon模式”（手动模式），并告知客户有16个包裹需手动处理，随后清除了这些任务。客服Shmily提醒不要随意切换模式。客户Filipe和Lincoln Araujo确认已移除包裹并尝试继续操作，但30号货架仍有问题。客服健仔又瘦了🤠进行调试后，客户Rani Cudek确认问题解决，机器人开始正常工作。健仔又瘦了🤠确认问题已解决，并表示已修改配置。客服健仔又瘦了🤠进一步解释问题原因包括：电机脱机、现场人员在不了解情况下切换分拣模式、30号机器参数缺失。客服Shmily表示已在修改系统配置，将只保留分拣模式。客户Lincoln Araujo提出：将急停后自动关机时间缩短到5分钟；工作站5分钟内无扫描自动关闭；禁用随机和手动模式（已针对3D分拣机完成）；考虑安装扬声器进行提示。客服倪里特和Shmily解释了急停后机器人放电和自动关机机制（默认20分钟，可配置），并确认了操作规范（暂离岗位或在RCS上停止）的重要性。客户陈浩建议重新培训操作员并张贴SOP，以标准化工作流程。
2024-03-23 03:17:00,设备功能正常但持续显示错误，警报LED灯常亮红色，导致无法判断是否有包裹通过。,客服Wang建议重启设备，客户表示已尝试但问题依旧。客服Wang又建议将设备放置地面，不关机，然后放回原位，客户操作后问题仍然存在。客服Wang询问设备原位置信息，客户告知原在Tsort-6，且此前已出现此问题，错误码为4462。客服Wang推测可能是灯条问题。随后，客服Wang建议再次关机几分钟后重启。客服Wang提示在更换平台后重启RCS，并表示已远程重启了T-sort 6的RCS。
2024-03-24 02:04:00,在某个出口，即使传感器已激活（表示包裹已满），包裹仍会继续掉落，过一段时间才会停止。客户请求检查配置是否正常。,客服Wang询问其他传感器情况，客户表示其他正常。客服Wang建议客户检查传感器连接线是否松动或感应角度是否改变。客服Wang远程检查配置未发现异常，并请客户继续观察。
2024-03-26 10:56:00,T-sort 006的14号管道在集包系统里无法关闭，导致在关闭集包袋时物料持续掉落。操作面板测试正常，系统状态在线。,客服安稳确认问题现象。客户表示已安排人员再次尝试关闭，未出现故障，正在跟进。客服安稳询问发生时间，客户回复23:29。客户还咨询T-sort 09站台04是否在进行调整，客服安稳表示未远程操作。客户尝试重置HMI后短暂恢复正常，但又再次出现，客服安稳随后确认已关闭。
2024-03-28 19:35:00,咨询T-sort 9站台4的入库感应屏是否在进行调整。,客服Wang回复可能没有进行调整。客户表示感谢。
2024-03-29 02:24:00,包裹错误地掉落在未匹配通道出口，特别是标签为B的子包裹。此问题发生在所有分拣机上，请求系统调整以确保包裹进入正确的出口。,客服Wang建议客户先与技术人员确认。客服陈浩和姜文龙介入检查。客服姜文龙确认包裹是26.27号的数据，之前WMS上新通道与格口的关系未配置导致分拣错误，建议手动分拣这些包裹。客服姜文龙表示已配置新通道，后续不会再有问题。
2024-03-29 09:04:00,RC10-046出现与前述（问题5）相同的包裹错误掉落问题。,聊天记录中未包含此问题的后续解决过程。
2024-04-03 11:11:00,T-sort 05的35号通道卡住，集包器显示错误信息。,客服Ψθ、检查后发现报错信息为“关箱失败：T-SORT关箱与落件并发”，询问是否需要重新推送。客服梅刚要求提供入参并请客服张皓琪重新推送关箱数据。客户报告管道错误持续存在。最终，客服邹宝禄表示已处理好问题，无需再补推。
2024-04-04 10:25:00,Sorter 8的imile和jadlog管道（RC08-087和RC08-084）出现问题。,客服姜文龙询问哪个箱子扫描报错。客户随后表示问题已解决。客服姜文龙确认。
2024-04-09 01:37:00,T-sort 05离线，同时出现所有分拣机无法集包、格口无法关闭、WES系统离线、服务器可能重启导致应用程序服务未启动以及充电器无法启动等一系列网络相关问题。,客户最初报告T-sort 05离线。另一位客户Filipe报告电脑被意外关闭，导致其他T-sort系统出现问题，电脑已重新启动，客服项钱看确认已恢复正常。然而，T-sort 05仍离线，客服项钱看尝试远程连接其RCS IP（192.168.2.46）失败，指示客户检查防火墙、交换机灯光（所有灯亮）。客服指出无法连接到5号平台所有设备，影响了所有格口的操作和上报。客户提供了WES服务器密码供IT人员检查。客服确认服务器与RCS网络不通。客服Ψθ、随后指导客户暂停7号分拣线，并远程重启了上下层RCS。客服项钱看也依次远程重启了1、2、3、4、5、6、7、8号分拣线的RCS。针对RC04-003无法集包上报及4个充电器无法启动的问题，客服项钱看发现并启用了灯条软件。最终，客户确认所有问题已解决。
2024-04-09 12:38:00,客户询问客服是否正在远程访问RC T-sort 09和01，随后指出T-sort 09的入库站台03不工作。,客服汪昌春询问是否有问题，客户明确指出T-sort 09的入库站台03不工作。客服汪昌春确认并表示将在客户停止工作后检查。随后，客服汪昌春远程检查并告知客户该站台已恢复正常。客户确认问题解决并表示感谢。
2024-04-12 01:42:00,T-sort 5下层机器人连接充电器后保持白色（未正常充电/变为绿色），并在通过地毯时出现程序错误。同时，大量机器人电池电量低，客户认为在运行状态下不正常。,客服项钱看首先要求提供地毯图片和机器人通过视频。随后客服表示机器人程序错误已恢复正常。客户接着提出机器人电量低的问题。客服项钱看解释称长时间排队或停机可能导致电量消耗，持续运行后会逐渐恢复，并表示目前是正常现象。尽管如此，客服项钱看指出充电速度不快，建议客户检查充电桩位置是否正确，并用砂纸打磨充电头，或打开充电桩盖板检查线路，并承诺提供图片指导。
2024-04-14 13:02:00,Sorter 5的088号管道出现问题。,客服安稳检查发现管道处于关闭状态，询问客户是否需要打开，客户确认后客服安稳将其打开。客户随后再次报告088管道仍有问题，客服安稳询问格口是否已绑箱，客户回复“否”。客服安稳指示客户需要进行绑箱操作。
2024-04-16 17:01:00,Sorter 7的入库感应屏03出现问题，未通电。,聊天记录中未包含此问题的后续解决过程。
2024-04-18 00:49:00,T-sort 4下层有大量机器人正在放电（电池电量低），怀疑有充电器故障，并指出T-sort 4和5常有大量机器人放电。,客服项钱看要求客户取下充电站盖板并拍摄特写照片，以便检查线路（疑似有锡焊痕迹）。客服项钱看表示会向公司汇报此情况并于次日回复。客户询问更换备用充电器的可行性，客服表示不确定。同时，客户询问已更换烧坏主板的机器人何时可以配置，客服项钱看立即指导客户将机器人放在T-sort 10下层进行配置，通过开机、点击A按钮、放地面、再放回的操作，完成了三台机器人（187-137、189-033、188-113）的配置。主充电器问题仍在待公司反馈中。
2024-04-18 02:53:00,一个机器人未在地毯上正确放置。,客服项钱看指示客户将机器人从地毯上移开，然后放回。客户操作后，客服确认机器人已正常。客户表示感谢。
2024-04-18 11:41:00,Sorter 1的078号管道出现问题。,客服Ψθ、指示客户再次尝试。客户随后表示感谢，暗示问题已通过简单的重试解决。
2024-04-19 09:38:00,T-sort 05的088号管道出现问题，当员工尝试打开或关闭管道时出现故障，并且目前无法在系统中绑定新的集包袋。,客服安稳和Ψθ、介入检查，发现系统未记录该格口绑定信息，但尝试绑定时提示格口已绑定至RCBAGS0022819。客服梅刚确认该绑定发生在1月30日，并由己方系统进行解绑操作。解绑后，客户再次尝试绑定，错误仍旧。客服Ψθ、和梅刚发现客户使用了错误的容器号，扫描的是大箱号。客服梅刚和姜文龙反复向客户强调，RC05-088是丢件异常格口，需要扫描并绑定“转运上架周转箱”容器，而不是大箱号，但客户表示未理解，问题仍未解决。
2024-04-20 15:02:00,"Sorter 06, 034的通道（canalização）出现问题，通道被卡住（travada）。",客服Wang询问问题详情。客户确认通道卡住。客服进行检查，并询问是否已解决。客户表示将进行测试，随后确认问题已解决。
2024-04-23 20:10:00,电源板已更换，需要进行配置。此机器人（编号178033）此前更换过电源板和BMSP板，需要修改机器人ID，但客户不清楚操作流程。,客服LB-Louis-陈振林和tuokylau确认电源板和BMSP板已更换，并告知更换BMSP板后需要修改机器人ID。客户确认不知道如何操作，客服确认机器人ID为178033。客服指示客户将机器人开机并按下A键。客户操作后，客服发现电机和霍尔未在线，要求检查电机连接线，并建议将机器人移出现场（不开机）。客户确认已操作。客服确认完成后，客户表示问题解决。
2024-04-24 00:23:00,机器人167-210出现错误，客户认为需要配置。,客服LB-Louis-陈振林询问是否刚更换电路板，客户否认。客服尝试远程查看，要求客户将机器人关机一分钟后再开机。客户操作后，客服仍无法检测到机器人，建议客户拆开检查电源板或BMSP可能存在问题。客户表示将检查内部。客户反馈机器人已打开但未发现问题。客服项钱看（犯困版）要求提供开机视频以便查看内部电机灯光，并怀疑霍尔板损坏。客户表示引擎被锁定，但车牌灯正常亮起。客服建议更换电源板进行测试，如果无效再更换BMSP。客户确认更换了电源板和BMSP，并表示只有更换这两块板后引擎灯才亮起。客服指示客户开机并点击A键。客户操作后引擎被锁定。客服确认机器人现在正常。
