序号,现象,排查指引,备注
15.0,机器人主动轮晃动,"1. 检查驱动轮是否有松动或损坏，尝试重新安装或更换
- 观察是否有问题?
- 否：问题解决
- 是：进入步骤2

2. 检查底盘是否有异常，尝试重新安装或更换
- 观察是否有问题?
- 否：问题解决
- 是：建议联系专业的售后技术支持人员获得帮助

",
16.0,机器人刹车时会抖动,"拆机检查万向轮是否存在异常（如：支架断裂、轮子移位、异物缠绕等），如有请清理或更换后再观察。

",
17.0,机器人按键指示灯不亮,"拆机检查按键板指示灯是否损坏，如有请更换后再观察。

",
18.0,机器人按键无反应,"拆机检查按键板和BMSP板是否损坏，尝试更换按键板和BMSP板再观察。

",
19.0,机器人向格口反方向卸货,"检查RCS配置文件中皮带机的卸货方向是否正常，如果不正确请修改后再观察。

",
20.0,轮子电机锁不紧,"1. 检查轮子螺丝是否松动
- 未松动：进入步骤2
- 松动：拧紧螺丝

2. 打开轮子手动转动抱箍是否可以转动
- 是：进入步骤3
- 否：重新拆装抱箍

3. 拔插电机线是否恢复
- 是：问题解决
- 否：进入步骤4

4. 更换电机并重新注册
- 是否解决问题
- 是：问题解决
- 否：建议联系专业的售后技术支持人员获得帮助
",
21.0,机器人更换BMSP板之后无法添加到RCS中,更换BMSP板后需要修改机器人ID，建议联系专业的售后技术支持人员获取帮助,
22.0,机器人移动无力,"1. 检查轮子是否有松动或损坏，尝试重新安装或更换
   - 观察是否还有问题?
     - 否：问题解决
     - 是：进入步骤2

2. 检查电机是否正常，尝试重新安装或更换
   - 观察是否还有问题?
     - 否：问题解决
     - 是：进入步骤3

3. 按照视频指引校准霍尔
   - 观察是否还有问题?
     - 否：问题解决
     - 是：进入步骤4

4. 检查霍尔板是否有损坏，尝试重新安装或更换
   - 观察是否还有问题?
     - 否：问题解决
     - 是：进入步骤5

5. 确认是否可以读取到地毯的RFID值
   - 否：进入步骤6
   - 是：建议联系专业的售后技术支持人员获得帮助

6. 更换地毯，并重新修改码文件中此坐标位置的RFID值
   - 观察是否还有问题?
     - 是：建议联系专业的售后技术支持人员获得帮助
     - 否：问题解决",
23.0,机器人原地转动,"1.机器人在开机的状态下检查左右主动轮是否能转动
   -是：（1）检查轮子是否松动，松动则紧固一下，没有进入第二小步（2）打开轮子转动抱箍是否能转动，能则重新安装一下抱箍，不能则进行第三小步。（3）重新注册电机。以上三小步若未解决则进入步骤3
   -否：进入步骤2
2.检查万向轮是否有异物缠绕
  -是：清理异物
  -否：进入步骤3
3.建议联系专业的售后技术支持人员获得帮助",
24.0,机器人卸货动作无力,"1.检查在手动模式下翻板电机状态是否正常
2.进行重新注册（不成功联系专业售后技术支持人员获得帮助 ）",
25.0,小车翻板电机声音过大,更换翻板电机并重新注册,
26.0,电池传感器板子接头连接片断掉,更换传感器板子,
27.0,皮带小车的转动量不对,"确认json文件中""DefaultTrayCrossbeltValue"":的值？",
28.0,翻板没有完整合上,"1.关机一分钟后再开启
2.重新注册",
29.0,机器人撞车导致急停,现场RCS电脑打开了时间同步，机器人的行走调度严重依赖系统时间，如果时间变化太大，会打乱RCS的调度，关闭时间同步后恢复,
30.0,机器人频繁急停,根据机器人跑偏操作流程进行指引,
31.0,机器人车轮打滑,"1. 检查地毯上是否有异物，如有请清理异物，地毯是否平整，如不平整请整理地毯，地毯是否磨损严重，如磨损严重更换地毯（注意地毯方向，更换之后需要修改地图码文件）
- 观察是否继续报错?
- 否：问题解决
- 是：进入步骤2

2. 检查轮子是否有松动或损坏，尝试重新安装或更换
- 观察是否继续报错?
- 否：问题解决
- 是：进入步骤3

3. 按照视频指引校准轮径
- 观察是否继续报错?
- 否：问题解决
- 是：建议联系专业的售后技术支持人员获得帮助",
32.0,机器人翻板无法降落,"1.RCS界面查看机器人硬件信息，确认电机是否离线
-是：拆机检查电机状态和电机连接线的状态
-否：进入步骤2

2.按照视频指引翻板翻过
-是否恢复
-是：问题解决
-否：进入步骤3

3.按照视频指引注册电机
-是否恢复
-是：问题解决
-否：建议联系专业的售后技术支持人员获得帮助
",
33.0,机器人大范围低电量,"1.检查充电桩是否有电源接通
-是：检查充电桩电源
-否：检查车服模式（是否在手动模式）

2.确认是否支持切换紧急充电模式
-是：切换为紧急充电模式
-否：建议联系专业的售后技术支持人员获得帮助",
34.0,机器人不卸货,1.建议联系专业的售后技术支持人员获得帮助,
35.0,场地机器人与RCS不符,"1.RCS显示数量少于实际数量
-是：开启随即跑，未显示的机器人会与正常行驶机器人产生碰撞，以此筛选出未添加到RCS的机器人
-否：点击全部开机，机器人列表勾选异常，显示未开机车辆即为多出的车辆.
",
36.0,产品等待投放但机器人不来发货口,"1.确认RCS上面发货口是否打开
-是：建议联系专业的售后技术支持人员获得帮助
-否：打开发货口，问题解决，如果还未恢复建议联系专业的售后技术支持人员获得帮助",
37.0,RCS离线（无法远程，WCS状态栏中显示RCS离线）,"1.确认RCS服务器是否正常开机
-是：进入步骤2
-否：开机并启动RCS程序

2.检查扫码台防火墙是否打开
-是：关闭防火墙
-否：建议联系专业的售后技术支持人员获得帮助",
38.0,机器人到达格口后不卸货、机器人一直在格口附近徘徊,"1.确认分拣机是否被禁用
-是：根据实际情况判断是否可以解除禁用
-否：进入步骤2

2.确认格口是否被关闭
-是：打开格口
-否：进入步骤3
3.RCS软件日志选项查看此机器人编号是否有翻版报错，或手动翻版是否成功
-是：机器人翻版电机问题，建议暂时删除，等待后续维修
-否:   建议联系专业的售后技术支持人员获得帮助",
39.0,机器人亏电无法充电,请参考机器人“小车低电压激活”视频，对亏电车辆进行激活,
40.0,分拣小车的翻板在操作时会碰到部分格口																				,建议将下层分拣小车翻板角度从55度调整至50度，以解决翻板碰到格口的问题,
41.0,机器人无法识别地毯的RFID																			,"1.检查机器人的霍尔是否正常（可以通过查看机器人的硬件信息来确认）
-是：进入步骤5
-否：进入步骤2

2. 按照视频指引校准霍尔
   - 观察是否还有问题?
     - 否：问题解决
     - 是：进入步骤3

3. 检查霍尔板是否有损坏，尝试重新安装或更换
   - 观察是否还有问题?
     - 否：问题解决
     - 是：进入步骤4

4. 确认是否可以读取到地毯的RFID值
   - 否：进入步骤5
   - 是：问题解决

5. 更换地毯，并重新修改码文件中此坐标位置的RFID值
   - 观察是否还有问题?
     - 是：建议联系专业的售后技术支持人员获得帮助
     - 否：问题解决
",
,																		,,
