问题提出时间,问题描述,解决过程
2024-11-11 06:27:16,灯条软件打开后，感应器被遮挡，但按钮盒的灯不亮，手动按按钮盒也没有反应。,客服要求客户多次尝试并确认操作的具体按钮和感应器。客户反馈问题持续存在。客服观察到有反馈但灯不亮，怀疑可能是其他问题。有客服建议检查和更换连接线或重新插拔。客户确认已尝试重新插拔，但所有按钮盒均无反应。客服表示将延后处理，并查询具体原因。
2024-11-11 09:12:28,远程协助软件（TeamViewer）退出，导致客服无法远程访问客户电脑进行问题排查。,客服询问客户网络连接和TeamViewer软件是否正常运行。客户确认TeamViewer已退出。客服询问客户电脑是否持续连接互联网，并决定安装公司的专属远程软件LibiaoDesk。安装完成后，客服确认已重新建立远程连接，并且按钮盒功能也恢复正常。
2024-11-11 10:41:28,按钮盒的按钮逻辑不符预期：按一下亮红灯代表锁格，但再按一下变成闪灯，无法灭灯。,客服解释了正确的按钮逻辑：按一下亮灯锁格，再按一下灭灯打开格口。客户确认现场实际表现不一致后，客服禁用了相关接口并要求客户再次测试。客户反馈问题仍存在，再次按压仍是闪灯。客服观察到系统持续触发满包，并查看日志排查。客服与客户确认了格口关闭时塔灯是否需要亮起，客户确认需要。问题被记录，但客户已不在现场，约定次日早上继续测试。
2024-11-11 10:55:18,塔灯出现问题：没有满包的情况下，塔灯不灭。,客服与客户确认了塔灯闪烁的含义（代表满包）。客服询问客户在关闭格口前是否会先触发满包，客户表示有时不满包也会更换笼车。客服查看日志进行排查。由于客户已离开现场，问题被记录，并约定次日早上客户到场后再进行测试。
2024-11-11 22:10:01,按钮盒软件的桌面快捷方式丢失。,客服远程连接客户电脑进行查看。客服检查发现快捷方式指向不正确，并纠正了路径至httpbox。客服将该软件配置为随车服自启动，解决了快捷方式缺失的问题。
2024-11-11 22:55:44,格口155连接的塔灯一直不亮，即使对应按钮盒感应到满包后灯会闪烁。客户已更换连接线和塔灯，问题依旧。,客服确认按钮盒功能正常但塔灯不亮，询问客户是否尝试过其他格口，客户确认仅此一段塔灯有问题。客服远程查看配置，但未能找出问题原因。客服表示将在次日上班后向另一位专家（勇哥）请教该问题。
2024-11-11 23:24:26,所有按钮盒在手动锁格时，塔灯不亮。客户希望增加此功能，使手动锁格时塔灯也能亮起。,客服将此功能需求记录下来，并表示将在次日与专家（勇哥）一并讨论解决方案。
2024-11-11 23:26:48,客户计划进行实件试投，需要确认上下层WMS（仓库管理系统）是否已与RCS（机器人控制系统）正常联通。,客服告知目前处于仿真模式，并询问接口是否已调试好。客户确认上层WMS显示在线。客服表示WMS显示在线即可进行试投。
2024-11-12 00:00:33,下层第二个上件台右侧的相机没有图像显示。客户随后补充，下层第三个上件台的左右两个相机也有同样问题。,客服指导客户通过在相机前晃动进行测试。客户确认无图像并提供了相机IP。客服检查后发现是DS004相机IP配置错误。客服修正了IP配置，客户确认相机图像已恢复正常。客户自行检查后确认上层相机无问题。
2024-11-12 04:57:57,投件扫描条码后，分拣小车没有反馈。,客服确认小车已收到订单，但上游WMS未返回应去的分拣口信息，怀疑是通讯问题。客户反馈WMS表示请求发到了内部IP而非他们接收的地址。客服尝试修改发送请求的URL地址，最初尝试失败。在客户与高层技术人员介入后，确认问题是URL中`GetBinIdData`的`I`被错误地写成了小写`l`导致请求失败。客服修改了URL的大小写错误，下层系统问题解决。客户又询问上报接口地址，客服配置后测试发现返回400错误，经沟通决定暂时关闭上报接口，待客户后端调整后再开启。关于上层系统问题，经排查发现上层服务器无法直接访问外网，客户调整了网络连接方式（将外网通过交换机接入到上下两台服务器），解决了上层系统无法通讯的问题。
2024-11-12 10:39:23,特定位置的塔灯（格口155）仍不亮，尽管对应按钮盒满包灯已闪烁。塔灯和连接线已更换。此外，手动锁格时塔灯不亮的需求仍待实现。,客服要求客户重现问题并拷贝日志进行分析。针对塔灯不亮问题，客服建议客户尝试更换按钮盒的控制盒子，并表示更换后会有客服人员协助重新注册。对于手动锁格时塔灯亮起的需求，客服表示将研究如何进行系统修改以实现此功能。
2024-11-13 00:33:04,155格口按钮盒更换新的后需要重新注册，同时塔灯也连接此格口。,客服远程协助，客户按动按钮盒后，客服进行注册操作，确认塔灯恢复正常。
2024-11-13 00:43:03,114格口（后更正为154格口）按钮盒在满包时灯不亮，怀疑需要重新注册或存在硬件故障。,客户和客服远程协作排查：客服要求客户挡住格口检查状态，发现系统未收到状态，怀疑线没接好或传感器问题。客户尝试更换传感器，问题未解决。客户将114传感器接到113按钮盒上可正常亮灯，确认传感器正常。客服建议更换按钮盒。客户更换154（原114）按钮盒，客服重新注册。按钮盒灯亮，但塔灯在满包时仍不亮。客服查看日志发现有亮灯指示，怀疑连接线问题。后续客户反映154、164按钮盒灯亮但塔灯不亮，114按钮盒和塔灯满包时都不亮。客服排查传感器开关方向和连接线问题。客户怀疑是盒子问题，客服建议重新注册这三个盒子。注册164时，因客户误操作按到163按钮，导致数据冲突，格口映射出现混乱。客户提出整体一排格口（151-164）都存在错位问题，例如按151显示153满格，且114未注册。客服确认存在数据冲突。最终，客服删除所有按钮注册信息，由客户逐一重新按动380个格口的按钮盒进行全面注册。注册完成后，所有按钮盒和塔灯功能恢复正常，确认了之前的问题是由于注册串位导致。
2024-11-14 05:29:49,小车翻板角度过陡，希望调整翻板角度。,客服最初建议将翻板角度从60°改为55°，先在下层测试。客户反馈55°不行。另一客户（Devin）建议直接改为与多伦多现场一致的45°。客服确认后将上下层翻板角度均调整为45°。
2024-11-16 02:18:10,TPLink摄像头需要配置，用于扫码台电脑查看监控。,客服确认需求为每个上件台两个监控，共20个，在扫码台电脑查看。客服远程检测到19台监控，客户现场检查后发现有一个监控电源有问题并修复。客服随后成功添加了所有20台监控。客服要求客户根据画面内容将监控命名，以便后续快速定位（如按发货口名称或手指编号）。客户按发货口命名并完成所有命名。客服随后排查模糊画面问题，发现是光线不足导致，并完成了相关设置。
2024-11-18 23:26:25,客户希望将现场负责人拉入微信群，以便后续问题反馈。,客户代表（伴玖见人心、）应Devin要求，在群里@现场相关人员加入群聊，作为后续现场使用问题反馈的渠道。
2024-11-19 02:40:48,上下层的TV（远程工具）断开连接，需要重新连接。,客服确认可以通过远程方式连接。客服远程操作后成功重新连接TV。
2024-11-19 04:13:12,上层最后一个上件台位置在RCS地图上向左偏移了一格，导致实际格口与地图显示不符。,客服表示修改地图对应路线复杂，担心引起堵车。客户表示暂时禁用该格口，并会后续再确认。Devin接手此问题，要求客服拷贝上层地图，并告知客户在不作业时通知以便进行地图切换。后续在2024-11-19 23:24:23，客户通知客服导入上层新地图，客服导入完成。此问题在2024-11-20 04:56:43再次被提及，扫右边出左边，扫左边没反应。客服确认是地图发货口错位导致，需要重启车服才能生效，表示将在不分拣时处理。最终在2024-11-20 23:45:48，客户再次反映更改上件口配置后问题重现。客服确认是地图发货口ID与车服ID不匹配导致，随后进行调整并修复，客户测试后确认正常。
2024-11-19 08:09:04,一台机器人（211050）出现问题无法运行，在线机器人数量减少（只有148个）。,客服建议重启，客户表示已重启无效。客服解释机器人呈灰色是手动暂停状态，告知按C-B-A-A键即可恢复。客户确认机器人已恢复正常运行。客服进一步说明是两台机器人手动暂停，一台手动暂停后关机导致。
2024-11-19 09:03:22,需要更改异常口逻辑，将服务器返回-1的包裹送至一个异常口（718），将格口满包或超时丢弃的包裹送至另一个异常口。,客服确认718作为返回-1的异常口。对于格口满包、超时丢弃包裹，客户（高维明）建议找一个与718间隔几个指头且位置相似的格口。客服（茜茜）最终确定918作为格口满包去异常的格口。客服表示已完成配置，并告知客户第二天观察验证。
2024-11-19 23:29:10,请求获取小黄人（机器人）翻板翻过头的操作视频。,客服确认收到视频请求，无后续具体视频发送过程记录。
2024-11-20 04:22:08,格口已满包但仍有包裹落件的情况（如661格口，以及其他格口）。,客服远程查看后确认格口上下灯亮不同步，所有满包都没有生效，怀疑需要高级技术支持。另一客服（WY）接手，在不影响现场作业的情况下进行了操作，并告知客户已开启下层满包配置，需要重启RCS才能生效。客户表示将在当天作业结束后重启。
2024-11-20 11:52:01,二层机器人多次出现自动关机（显示黄色）现象，需要重新开机才能继续使用，且在投件过程中突然停止。,客户建议下次遇到联系客服WY。客服Jacky排查后怀疑是小车电量不足未充电。客户（Junyu）表示约10分钟停一次。Jacky请求远程查看RCS。Jacky登录后发现很多机器人电量低，要求暂停作业进行紧急充电约半小时。客户希望再坚持40分钟，但Jacky表示无法坚持。经协商，客户同意暂停上层作业，使用下层。上层机器人进入充电模式。Jacky指导客户手动处理无法开机的机器人（211060）进行充电，并挪动堵塞的机器人。充电完成后，Jacky告知客户可以重新分拣，并处理小车上未分拣的包裹（确认可以二次投递）。客服WY随后更新程序以同步双层格口状态，并发现路径报错，要求客户检查地图。
2024-11-20 14:12:10,客户询问是否有方式可以远程查看或操作机器主机。,客服（茜茜）建议使用TeamViewer或Todesk等远程工具。客户询问如何连接，茜茜详细指导客户如何从主机上获取远程号码和密码，并在客户电脑上输入连接。客户表示了解。
2024-11-21 05:39:14,TeamViewer版本不匹配，导致无法远程连接到主机屏幕。,客服（LB-Louis-陈振林）询问具体情况，并告知自己使用的是最新版本，建议客户尝试使用同一版本。客户表示将尝试解决。
2024-11-21 08:10:38,机器识别到非公司内部的条形码，并错误地将包裹送至718异常口。需要配置条形码白名单，只识别符合特定正则规则的条形码。,客服确认718是异常口。客户（Kyle）解释了包裹存在两个条形码，机器错误识别了非本公司的条形码。客户提供了8个示例条形码，并提供了初步的正则表达式。客服（LB-Louis-陈振林）建议先配置一个扫码台进行测试。客户指定下层左边第一个（后更正为右边）扫码台进行测试。客服配置后，客户测试发现正常包裹也无法识别。客服启动停止的车服后，正常包裹可以识别，但异常包裹仍有问题。客户提供了更正后的正则表达式。客服再次配置并测试，客户反馈正常包裹和异常包裹处理均无问题。客户请求将此配置应用于所有扫码台，客服表示将寻找更便捷的批量配置方式。研发人员（WY）询问扫码软件批量配置白名单工具的使用方法。客户要求客服协助启动下层机器。客服启动。客户在测试中发现正则表达式仍需优化，提供第三版更宽松的正则表达式。客服（Yvemip9）询问是否可以暂停作业进行修改，客户表示将在当天作业结束后再改。客服（WY）表示已拷贝日志，不影响使用。作业结束后，客户通知可以更新。客服（Wang）开始更新，并确认将首先更新上层两个扫码台和下层右侧一个扫码台，同时将所有扫码台的时区从北京时间改为当地时区。客服确认白名单已添加至指定三个扫码台，其他未动。
2024-11-22 04:50:49,客户询问“请问白名单更改到每一个扫描口需要全部机器停止吗？”并咨询具体操作步骤和顺序（如先弄哪个，上层左数第三个到第五个）。,客服LB-Louis-陈振林告知无需全部停止，只需停止对应修改的扫码台1-2分钟。客户确认只需扫描台停止，并提议从“上层左数第三个到左数第五个”开始。客服LB-Louis-陈振林确认了四个表达式，并询问是否今日测试。客户确认测试无问题。客服LB-Louis-陈振林远程进行配置。客户告知机器已停上层左数第三个，并询问何时停第四个。客服LB-Louis-陈振林表示正在配置，暂时不用停。客服LB-Louis-陈振林提出明日更新会覆盖今日配置。客户询问更新内容，得知是扫码台软件更新。客户建议先修改下层左数第一第二，因其较重要。客服LB-Louis-陈振林同意。客户询问明日更新后是否都能修改。客服LB-Louis-陈振林确认。客户再次请求先改下层左数1-2。客服LB-Louis-陈振林表示这两个和上层最后一个同事已改过。客户提出疑问，认为昨天改的是上层一二和下层最后一个。客服LB-Louis-陈振林检查后确认已改，并告知客户重启软件即可。Kyle客户继续询问重启扫描台还是分拣机，客服LB-Louis-陈振林澄清是“重启扫码台软件，就是识别条码那个软件”。随后客户伴玖见人心报告“下层第一第二个上件台重启了之后无法扫码了”，客服LB-Louis-陈振林远程查看，发现是“大括号有一个复制过去是中文的字符”，修改后问题解决。Kyle客户在2024-11-22 13:33:03再次请求“分拣机已经停止运作了 麻烦帮我们把十个扫描台 都更新一下白名单谢谢”，并再次提供表达式。客服Wang接手处理，并向Kyle确认“上层最左侧两个扫码台使用没问题”，得到客户肯定回复。客服Wang表示会更新剩下的扫码台，并告知以后将支持批量更新白名单。客户Allyson. M💛在2024-11-29 00:18:13请求“下层有人在远程操作，可以先帮我们下层点一下开始吗”，客服Wang回复“好的，等我更新下白名单，马上就好”，并提醒下层不要投件，上层可以投。客服Wang在00:26:49告知“抱歉久等了，可以用了”，“都更新了”。客户Allyson. M💛在00:31:59反馈“下层2-5号扫描口都不能扫包裹”，客服Wang询问下层1是否可以，客户回复可以。随后客户确认“2，3可以了”，客服Wang确认“都好了应该”。客户最终确认“都可以了”。LB-Louis-陈振林询问是否“加白名单”，Wang客服回复“刚加完了”。最终客服Wang在2024-11-29 00:34:58确认白名单已添加完毕。
2024-11-22 05:44:38,客户伴玖见人心咨询“上层，20.57这个格子能临时禁用吗？现场漏雨漏在这个位置”。,客服LB-Louis-陈振林回复“可以禁用的，但如果禁用，小车发货，发现禁用会堆积堵车的”。客户伴玖见人心请求“先禁用看看，如果堵车再解了”。客服LB-Louis-陈振林询问“20.57这个是坐标还是编号”，客户回复“坐标，鼠标的这个位置”。客服LB-Louis-陈振林解释“那是路线，禁用不了”，“那是普通地毯，无法禁用的”。客户表示“了解了”。此问题无法解决。
2024-11-22 06:04:39,客服LB-Louis-陈振林在查看急停现象时，提醒客户“急停的时候你们注意一下有没有出现相同的小车”，并建议“出现相同的你们可以校准一下霍尔试试有效果吗，把小车搬到地面上按照视频试试”。,客户伴玖见人心指出“这种是有些货掉到平台上了”，客服LB-Louis-陈振林表示“那种情况就排除掉”。此问题提供了排查和解决建议，但无明确的解决确认。
2024-11-22 15:43:15,客户茜茜Caelyn提出“作业结束上层rcs可以关闭重启一下，有个配置今天修改了一下，以解决“格口满了上层还会落件”的问题。”,客服Wang表示“我看是关闭过了的”。客户茜茜Caelyn确认“哦哦，那就剩明天验证下就行”。客服WY询问Wang是否关闭过，Wang确认是现场下班时关的。Kyle客户也确认“对 我结束的时候上下的RCS都关闭了，因为我们改了一版隔口规划，明天需要用上”。问题转为待验证，无实际操作解决过程。
2024-11-24 09:53:27,客户Junyu反馈“我们换了铁筐，但是持续显示满筐。手动点掉还是持续出现这个问题”。,客服安稳询问“拍按钮不能解除满包吗”，客户回复“可以解除，但是这个隔口持续出现识别不对”。客服安稳建议“把筐拿掉看一下呢”，客户回复“拿掉就没问题了”。客户猜测“这样是不是得把检测器调整一下”。客服安稳表示“那就是铁筐放的位置触发到了”，客户Devin建议“传感器位置要再确认下”。客户Junyu补充“这个位置就已经显示满筐”。客户伴玖见人心询问“左侧5排后面安排人调了没？ewr那个区域的”，客户Junyu回复“昨天调的是另外的区域”，并表示“明天把这边再全部调一下吧，只是这个传感器不太稳定”。伴玖见人心表示“这个我明天过来看下”，并指示具体位置。问题转为线下查看和调整。
2024-11-24 11:21:52,客户C报告“有个机器人灰色offline了”，“有电，显示manul paused”。,客服安稳介入查看。客户C随后自行通知“搞定了，谢谢”。原因和具体解决步骤未在聊天记录中明确说明，只知客户自行解决了。
2024-11-25 00:40:43,客户伴玖见人心请求“上层211128麻烦调下轮径”。,客服LB-Louis-陈振林提供视频并指导“你按照这个视频调整一下就可以了”，“前方地毯不要有车”。客户伴玖见人心回复“ok，调好了”。问题解决。
2024-11-26 05:29:08,客户Junyu反馈“这个昨天操作回来了，但是进不了系统，又给翻回来了。 就操作不了了”。Kyle确认是“同一辆小车”。,客服LB-Louis-陈振林指导“你们先按上面视频恢复一下，然后把这个小车左右两边的电机连接线拔掉，然后按视频手动把翻板翻起来，再添加上车服上我们来置零一下”，“上面的操作前提是你们按照昨天的视频先把翻板恢复”。Kyle客户询问“这个电机连接线在哪呀”，客服LB-Louis-陈振林指导“拆开这个小车的外壳，左右电机的连接线拔掉不连接”。客服LB-Louis-陈振林还提供替代方案“或者你们先把小车添加上车服，然后在维修区操作”。Kyle表示“好 晚点我们再试试”。后续无明确解决反馈，但提供了详细解决步骤。
2024-11-28 12:57:44,客户Junyu请求“机器停了，麻烦改一下白名单”。,客服Jacky确认收到。后续白名单更新可能涵盖此请求，但此处无具体解决过程。
2024-11-30 04:09:30,客户Kyle提问“请问上下层机器都没停 这个红灯为啥常亮啊”，“只有个写着PC interface offline”，“这个远处的机器上的红灯”，“之前是机器停了才会亮的”。,客服LB-Louis-陈振林询问是哪里的红灯，并解释“这个红灯和机器人没关系”，询问是否还在闪。客户回复“还是常亮的红灯”。客服LB-Louis-陈振林询问是否所有手指都常亮，并建议“帮满包的清理一下试试”，解释“这个是满包才会亮的灯塔”。Kyle客户指出“亮的是红灯 满包我看的亮的是黄灯”，并确认“大部分都亮的”。客服LB-Louis-陈振林建议“连接线插拔一下试试”，并表示“我找不到问题所在，明天我问问吧”，“红灯信号我刚刚在日志里没有找到，你报红灯的时候灯条软件没有开起来的，现在开起来还是红灯，也不是满包状态”。客户伴玖见人心建议“重启下灯条软件看看呢？”，客服LB-Louis-陈振林回复“我重启过，现在又重启一次”。问题未明确解决，转为待后续排查。
2024-12-01 23:55:59,客户Junyu请求“请问能帮忙远程重启一下rcs 吗，改了隔口信息”。,客服Wang确认，并询问上层还是下层。客户回复“都需要”。客服Wang告知“好了”。客户表示感谢。问题解决。
2024-12-02 04:47:25,客户伴玖见人心表示“另一个场地需要配置下”，并请求添加联系方式。,客服Wang确认收到。问题转为线下解决。
2024-12-11 09:28:28,客户Junyu反馈“我们下2扫描口，扫描频率和灵敏度有点问题”，并指出是“下层第2个扫描台，左边的哪个”。,客服LB-Louis-陈振林确认具体发货口，并询问是否能停分拣，表示“画面应该没有传过来”。客户Junyu回复“我们数据上没问题，我们晚上停了后告诉你们，再调一下可以吗”，客服LB-Louis-陈振林同意，并强调“相机上现在没有画面，能分拣，你晚上在群里说一声”。Ava客户在2024-12-11 13:56:03通知“你好，我们机器停了哈”。客服安稳查看后表示“远程连接不到”，并建议“相机断电重启一下试试看”，“一直显示连接中”。Ava客户回复“我们重启一下”，但后续反馈“还是无法连接”，再次被建议“先尝试相机断电重启”。Ava客户告知“分拣可能已经离开了，明天工作人员到位我们再尝试一次”。Kyle客户在2024-12-12 04:34:15提到“昨天这个问题还是存在 需要今晚结束分拣机重启一下是嘛”，Devin客服建议“可以这样尝试下”，并指导Kyle在分拣结束后“把上面配电箱打开，按照上图把左边相机的电源线重新插拔下”。Kyle表示“好的谢谢 晚上我们试一下”。Allyson. M💛客户在2024-12-24 05:52:32再次反馈“下二左边的摄像头识别还是有问题”。Wang客服建议“这个扫码软件可以重启下看”。客户Allyson. M💛指出“之前我们有重启但是还是识别不了”，“放上包裹没有显示，会出滴滴滴的声音”。Wang客服表示“这个没画面的重启下扫码软件就好了”，并表示“至于这里没有画面的原因，等我们这边开发的同事上班后再帮忙调查一下看”。问题转为待后续调查。
2024-12-12 06:33:26,客户Kyle提问“请问这个车一直亮红光有问题吗”。,客服Wang查看，询问“是不是掉货了刚刚”，“有记下车号吗”。客户Kyle表示“分拣刚刚有取下来重启，但是还是红光”。客服Wang询问车号，客户回复“得等他再到扫描台附近 我们把它取下来”。客服Wang表示“没看到有报红的车”。Kyle告知是下层的车。问题未明确解决，转为待后续观察。
2024-12-12 10:45:46,客户Kyle询问“请问小黄人的移动速度可以加快吗”。,客服Jacky回复“您好，速度不能随便调整噢。当时规划设计的速度是多少，我们就需要按照这个速度进行分拣，不然会影响魔毯的使用情况”。客户表示“了解 谢谢”。问题得到解释。
2024-12-13 01:44:05,客户Kyle询问“请问分拣机目前运行情况 还建议再加小黄人吗 目前上下都是160个”，指出“是的 目前的设置会有人等小黄人的情况”。,客服Wang回复“要加可以加的”。客户Kyle表示“了解 我们再改一下隔口设置如果还是人等机器 我们就加几个机器人，有上限吗？或者比较高效的建议数量”。客服Wang回复“这个要规划看，后面我问下看”。问题转为待后续评估。
2024-12-13 09:37:51,客户茜茜Caelyn指出“这个AP是不是没配全？应该还有3个没配置”。,客服Jacky确认“是没有配全。160台车，6个AP肯定是不够的，小车的通信会有问题。我现在把其它没有配置的AP加上去”。LB-Louis-陈振林确认“是的，这里没看到也写了ap，就配了电控箱里的”。客服Jacky告知“上下两层都已经配置好了，要重启程序才能生效。等不分拣的时候，你们自己重启程序或者联系我们重启程序”。茜茜Caelyn确认“👌”，并提醒“有空关机重启一下吧，改过一些参数了”。Kyle客户表示“我们还在分拣哈”，Devin客服告知“等你们不分拣，把RCS重新启动下”。问题转为待重启生效。
2024-12-13 10:13:45,客服LB-Louis-陈振林指出客户现场“这三个充电充电桩所有小车过来都无法充电”。,客户Kyle确认“嗯 应该是插座问题”，“这三个共用一个插座”。高维明客户推测“可能跳闸了。找一下对应的空开”。Kyle客户表示“嗯 我让分拣去找一下结束以后”。C客户在2024-12-15 12:30:20反馈“这个机器人没法动，可以远程操作一下吗”，客服安稳介入查看。C客户随后自行解决“好了，是跳闸了”。安稳客服确认“已经在正常运行了”。问题解决，原因为充电桩插座跳闸。
2024-12-17 11:29:08,客户茜茜Caelyn询问“能给看看是不是有车没有校准轮径么？我看一会儿停3回了”。,客服安稳和Serendipity介入查看。Serendipity询问是下层哪辆车。茜茜Caelyn要求查看“下层日志里的急停”。Serendipity回复“日志里面记录的没有固定车号和固定位置”。茜茜Caelyn猜测“我记得应该之前150台，现在160，是不是后面的10台没有校准过？目前这个急停也是蛮频繁的，所以想找下原因来着”。安稳客服建议“现场先别点开始”，“我检查一下急停这台车的轮径”。Serendipity建议“让现场先分拣吧，等现场结束之后我们让小车随机跑，我们再看下这个问题”。茜茜Caelyn确认“现场应该结束了，看看能瞅瞅不”。Serendipity告知“有一台车位置找不到了 需要现场帮忙看下”。问题未明确解决，转为待后续排查。
