序号,现象,排查指引
11,9号电机短路0X108,"该问题就是推拉箱失败导致的，按以下方法处理：
1、提供弹窗信息和读取飞箱日志

2、检查TOF是否脏污。
-是：用干净的布擦TOF
-否：进入步骤3

3、检查箱子是否在正确箱位。
-是：进入步骤4.
-否：箱子摆放到正确位置。

4、检查物品是否超出箱子。
-是：整理箱子里面的物品
-否：进入步骤5

5、检查拉箱机是否有故障
-是：解决相应的故障
-否：进入步骤6

6、检查飞箱是否垂直。
-是：进入步骤7
-否：调整飞箱倾角。

7、货架偏移量是否准确。
-是：联系售后人员解决
-否：调整或重新校准偏移量"
12,拉箱机拉箱失败，抓钩总成后拉100mm拉不出来,"1、提供弹窗信息和读取飞箱日志

2、检查TOF是否脏污。
-是：用干净的布擦TOF
-否：进入步骤3

3、检查箱子是否在正确箱位。
-是：进入步骤4.
-否：箱子摆放到正确位置。

4、检查物品是否超出箱子。
-是：整理箱子里面的物品
-否：进入步骤5

5、检查拉箱机是否有故障
-是：解决相应的故障
-否：进入步骤6

6、检查飞箱是否垂直。
-是：进入步骤7
-否：调整飞箱倾角。

7、货架偏移量是否准确。
-是：联系售后人员解决
-否：调整或重新校准偏移量"
13,读码器没有读到箱号,"1、检查箱子是否有箱号。
2、检查偏移量是否正常。
3、检查拉箱机位置是否准确。"
14,No running position:9 目标:2.0实际:42.4,"该问题就是推拉箱失败导致的，按以下方法处理：
1、提供弹窗信息和读取飞箱日志

2、检查TOF是否脏污。
-是：用干净的布擦TOF
-否：进入步骤3

3、检查箱子是否在正确箱位。
-是：进入步骤4.
-否：箱子摆放到正确位置。

4、检查物品是否超出箱子。
-是：整理箱子里面的物品
-否：进入步骤5

5、检查拉箱机是否有故障
-是：解决相应的故障
-否：进入步骤6

6、检查飞箱是否垂直。
-是：进入步骤7
-否：调整飞箱倾角。

7、货架偏移量是否准确。
-是：联系售后人员解决
-否：调整或重新校准偏移量"
15,到达接驳位超时,"1、通过RCS界面查找要去接驳位这台车的状态。
2、查看该路线是否有飞箱因故障挡住小车路线。"
16,"调整位置的次数超过10次,调整拉箱位置失败","1、检查TOF是否脏污、松动。
2、检查X轴是否有异物卡住轮子。
3、检查倾角是否正常。"
17,接驳位多次修正失败,"1、检查TOF是否脏污、松动。
2、检查X轴是否有异物卡住轮子。
3、检查倾角是否正常。"
18,"XZ移动错误:不在预备位置或载箱位置Y=435.000000,R=41.500000.","1、检查TOF是否脏污、松动。
2、检查X轴是否有异物卡住轮子。
3、检查倾角是否正常。"
19,"推箱失败,箱子重新拉回拉箱机,请人工检查箱内物品是否超高","1、提供弹窗信息和读取飞箱日志

2、检查TOF是否脏污。
-是：用干净的布擦TOF
-否：进入步骤3

3、检查箱子是否在正确箱位。
-是：进入步骤4.
-否：箱子摆放到正确位置。

4、检查物品是否超出箱子。
-是：整理箱子里面的物品
-否：进入步骤5

5、检查拉箱机是否有故障
-是：解决相应的故障
-否：进入步骤6

6、检查飞箱是否垂直。
-是：进入步骤7
-否：调整飞箱倾角。

7、货架偏移量是否准确。
-是：联系售后人员解决
-否：调整或重新校准偏移量"
20,拉箱失败:beltin没到位(223.6).(10),"1、提供弹窗信息和读取飞箱日志

2、检查TOF是否脏污。
-是：用干净的布擦TOF
-否：进入步骤3

3、检查箱子是否在正确箱位。
-是：进入步骤4.
-否：箱子摆放到正确位置。

4、检查物品是否超出箱子。
-是：整理箱子里面的物品
-否：进入步骤5

5、检查拉箱机是否有故障
-是：解决相应的故障
-否：进入步骤6

6、检查飞箱是否垂直。
-是：进入步骤7
-否：调整飞箱倾角。

7、货架偏移量是否准确。
-是：联系售后人员解决
-否：调整或重新校准偏移量"
21,地面车拉箱失败，箱子脱钩,"1、提供弹窗信息和读取飞箱日志。

2、检查TOF是否脏污或螺丝松动。
-是：擦干净TOF/紧固螺丝
-否：进入步骤3

3、查看地面车停的位置是否准确。
-是：进入步骤4
-否：通过操控界面调整地面车位置

4、检查拉箱机是否倾斜。
-是：找到倾斜原因并解决，如未发现明显原因，可以电机回零继续观察
-否：进入步骤5

5、检查接驳位偏移量是否正常，可以和相邻接驳位对比下
-是：联系售后人员解决。
-否：调整偏移量。"
22,补推3次后，地面车箱传感器检测不到,"1、查看箱子是否推偏。
-是：摆正箱子，查看TOF是否脏污。
-否：进入步骤2
2、检查地面车微动开关是否损坏或线束脱落。（可通过手动按压，在RCS界面观察是否会变动）
-是：更换微动开关或插紧线路。
-否：联系售后人员"
23,行走时触点没有弹开,"1、检查触点上VH2接插件有无松动。（蓝色线）
-是：插紧VH2插头。
-否：更换触点。"
24,拉箱距离> 255 mm,"该问题就是推拉箱失败导致的，按以下方法处理：
1、提供弹窗信息和读取飞箱日志

2、检查TOF是否脏污。
-是：用干净的布擦TOF
-否：进入步骤3

3、检查箱子是否在正确箱位。
-是：进入步骤4.
-否：箱子摆放到正确位置。

4、检查物品是否超出箱子。
-是：整理箱子里面的物品
-否：进入步骤5

5、检查拉箱机是否有故障
-是：解决相应的故障
-否：进入步骤6

6、检查飞箱是否垂直。
-是：进入步骤7
-否：调整飞箱倾角。

7、货架偏移量是否准确。
-是：联系售后人员解决
-否：调整或重新校准偏移量"
25,9#电机执行位移失败,"该问题就是推拉箱失败导致的，按以下方法处理：
1、提供弹窗信息和读取飞箱日志

2、检查TOF是否脏污。
-是：用干净的布擦TOF
-否：进入步骤3

3、检查箱子是否在正确箱位。
-是：进入步骤4.
-否：箱子摆放到正确位置。

4、检查物品是否超出箱子。
-是：整理箱子里面的物品
-否：进入步骤5

5、检查拉箱机是否有故障
-是：解决相应的故障
-否：进入步骤6

6、检查飞箱是否垂直。
-是：进入步骤7
-否：调整飞箱倾角。

7、货架偏移量是否准确。
-是：联系售后人员解决
-否：调整或重新校准偏移量"
26,9号电机过温度0X105,"该问题就是推拉箱失败导致的，按以下方法处理：
1、提供弹窗信息和读取飞箱日志

2、检查TOF是否脏污。
-是：用干净的布擦TOF
-否：进入步骤3

3、检查箱子是否在正确箱位。
-是：进入步骤4.
-否：箱子摆放到正确位置。

4、检查物品是否超出箱子。
-是：整理箱子里面的物品
-否：进入步骤5

5、检查拉箱机是否有故障
-是：解决相应的故障
-否：进入步骤6

6、检查飞箱是否垂直。
-是：进入步骤7
-否：调整飞箱倾角。

7、货架偏移量是否准确。
-是：联系售后人员解决
-否：调整或重新校准偏移量"
27,推箱时拉箱机上没有箱子,"1、箱子掉了。
2、手动把箱推过了。"
28,货架上看不到箱子,"1、确认飞箱是否在正确位置。
2、检查TOF是否脏污、线束松动。
3、是否手动移动过该箱位。"
29,10号电机过温度0X105,"1、推拉箱时是否推偏卡住。
2、用手转动检查减速器是否卡顿。"
30,接驳位多次修正失败,"1、提供弹窗信息和读取飞箱日志。

2、检查TOF是否脏污或螺丝松动。
-是：擦干净TOF/紧固螺丝
-否：进入步骤3

3、查看地面车停的位置是否准确。
-是：进入步骤4
-否：通过操控界面调整地面车位置

4、检查拉箱机是否倾斜。
-是：找到倾斜原因并解决，如未发现明显原因，可以电机回零继续观察
-否：进入步骤5

5、检查接驳位偏移量是否正常，可以和相邻接驳位对比下
-是：联系售后人员解决。
-否：调整偏移量。"
31,Please Resolve:飞箱:106002 故障。问题跳出Z轴动态平衡请恢复飞箱后点击已解决,"1、“终止任务”“启动任务”恢复。
2、频繁出现联系售后人员解决。"
32,"	Please Resolve:Pull bin<- FloorbotAirRob:106008 Floorbot:219160单节电池电压过高,bms充电开关损坏4213",频繁出现的话更换电容板。
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
