序号,现象,排查指引,备注
19.0,AGV如何进入暂停模式,按下B键机器人进入暂停模式，指示灯变成灰色。再按下A键解除。,
20.0,WCS软件界面重启后截图显示的“移动货架未释放”信息是否有影响,将亮蓝灯报警的分拣机上的货架拉开30S即可解决该提示，不影响系统,
21.0,消息回传有问题，请求重新补推,联系专业售后技术人员，执行消息重推操作，并由客户确认数据已正常,
22.0,客户请求删除已完成分拣的波次，并释放被该波次占用的墙壁,删除波次，并指导客户通过物理拔出播种墙并等待5分钟的方式来释放和重新使用播种墙,
23.0,分拣机线缆损坏，客户询问是否可以转移该墙格到其他分拣机,可以将货架转移到其他分拣机继续分拣，分拣机线缆损坏导致故障，由现场维修团队进行线缆更换，从而恢复分拣机正常运行,
24.0,无法登录TeamViewer,关闭重启TeamViewer,
25.0,平台静电,"1.场地是否比较干燥
-是：检查场地设备地线是否接好（包括平台及每一台分拣机）
-是：机器人喷涂放静电液体，及购买负离子吹风机预防
-否：场地潮湿情况静电不太容易产生",
26.0,波次无法关闭，系统提示仍有物品待分拣，但实际已无物品,"1.确认系统中是否有正在分拣的货物
-是：等待货物分拣完成
-否：从后台强制关闭波次，密码为波次号后六位（建议联系专业的售后技术支持人员获得帮助）",
27.0,电脑远程离线,"1.检查电脑是否可以正常开机
-是：重启远程软件
-否：检查电脑供电，恢复供电之后如果问题依然存在建议联系专业的售后技术支持人员获得帮助",
28.0,所有机器人都前往同一侧发货口,"1.检查RCS界面，发货口是否被打开
-是：进入步骤2
-否：打开发货口

2.检查赶车点设置是否合理（回流是就近原则）
-是：建议联系专业的售后技术支持人员获得帮助
-否：修改赶车点
",
29.0,无法打包,1.建议联系专业的售后技术支持人员获得帮助,
,,,
31.0,波次无法启动,建议联系专业的售后技术支持人员获得帮助,
32.0,意外关闭完成度为0%波次,可手动释放播种墙，联系WMS系统修改波次编号并重新推送该波次,
33.0,提示重复绑定，但实际可打开料箱,WMS团队解绑指定格口，现场通过PDA重新绑定格口,
34.0,整条线离线,"1.检查防火墙是否打开
-是:关闭防火墙
-否：进行步骤2
2.检查网络是否有异常（PING上游IP地址）
-是：检查网络，网线，IP,网关，子网掩码
-否：建议联系专业的售后技术支持人员获得帮助",
35.0,小黄车出现全体自动关机，几分钟后又自动开,"1.确认RCS电脑防火墙是否处于打开状态
-是：关闭防火墙
-否：进入步骤2
2.确认RCS软件是否出现AC断开弹窗
-是：检查AP状态（包括AP硬件电源是否接通，网线是否松开）
-否:   建议联系专业的售后技术支持人员获得帮助",
36.0,误删波次,对于误删的订单，系统无法恢复，建议客户手动分拣；,
37.0,注册货架，无法下载PDA软件,"1.查看pda网络是否连接正确，pda需要连接到立镖和上游系统通讯的网络里
-是：进入第2步
-否：连接正确的网络重试并询问是否解决
-是：问题解决
-否进入第二步
2.连续点击屏幕空开的地方7次调用出设置界面，查看ip和端口是否配置正确，可参考其他正常pda的ip和端口。
-是：联系专业的售后技术人员处理
-否：配置正确的ip和端口，并再次扫描，如问题为解决联系专业的售后技术人员处理 ",
38.0,PDA无法登录使用,"1.查看pda网络是否连接正确，pda需要连接到立镖和上游系统通讯的网络里
-是：进入第2步
-否：连接正确的网络重试并询问是否解决
-是：问题解决
-否：进入第二步

2.连续点击屏幕空开的地方7次调用出设置界面，查看ip和端口是否配置正确，可参考其他正常pda的ip和端口--是：联系专业的售后技术人员处理
-否：配置正确的ip和端口，并再次扫描，如问题为解决联系专业的售后技术人员处理 ",
