问题提出时间,问题描述,解决过程,解决过程.1
2023-09-06 09:56:00,客户报告双电机AGV 91222在C7次电机重新注册时发出异常声音，希望测试新版本。,客服肖肖远程连接，要求客户尝试再注册一次，客户反馈无变化。客服肖肖要求客户关机重启机器人。客户完成。客服肖肖再次请求注册，并告知研发正在检查代码。客服肖肖再次要求客户注册。最终，客户确认机器人已正常。,"1.注册电机
观察是否恢复正常？
-是：问题解决
-否：建议联系专业的售后技术支持人员获得帮助"
2023-09-08 10:10:00,客户更换了100030 AGV的BMSP后，电机注册无法正常进行。客户后续尝试按下A按钮添加AGV，但无反应。,客服肖肖远程查看。客服询问是否无法通过快速加车搜索到。客服确认机器人类型（不带减速机的翻板车）。客服建议重新注册。客户反馈已正常注册。客户请求将AGV ID从254254更改为100030。客服确认并完成更改。客户请求将版本更改为4B5。客服确认并完成更改。客户感谢。,"1.尝试快速加车是否可以搜索到
-是：问题解决
-否：进入步骤2

2.按照视频指引注册电机
观察是否恢复正常？
-是：问题解决
-否：建议联系专业的售后技术支持人员获得帮助"
2023-09-11 15:08:00,客户在现场进行机器人走行架台的重新定位作业时，地图出现错误，请求客服查看。,"客服肖肖确认会查看。客户后续自行发现并解决了问题：无法射向23,1位置的问题，原因是未设置射向23,1。客服建议客户再次测试，如果仍有问题再联系。","1.检查机器人的霍尔是否正常（可以通过查看机器人的硬件信息来确认）
-是：进入步骤5
-否：进入步骤2

2. 按照视频指引校准霍尔
   - 观察是否还有问题?
     - 否：问题解决
     - 是：进入步骤3

3. 检查霍尔板是否有损坏，尝试重新安装或更换
   - 观察是否还有问题?
     - 否：问题解决
     - 是：进入步骤4

4. 确认是否可以读取到地毯的RFID值
   - 否：进入步骤5
   - 是：问题解决

5. 更换地毯，并重新修改码文件中此坐标位置的RFID值
   - 观察是否还有问题?
     - 是：建议联系专业的售后技术支持人员获得帮助
     - 否：问题解决"
2023-09-13 08:49:00,客户在新站点无法开始地图绘制，机器人无法开机，请求查看原因。,客服Yvemip9表示AP离线，需要检查AP。客服要求检查电源箱里的黑色盒子，查看上面的IP。客户确认AP离线但不知原因。客服请求拍摄IP。客服项钱看（犯困版）询问网线那边的交换机是否是POE供电。客户确认是。客服Yvemip9表示IP未设置，询问服务器IP应设置为哪个。客户后续反馈问题已解决，AP离线是线路连接问题。客服Yvemip9确认。,"1.确认AP是否在线
-是：进入步骤2
-否：检查AP离线原因，如果无法恢复建议联系专业的售后技术支持人员获得帮助"
2023-09-13 10:31:00,机器人146214在PVC板中心也出现位置偏移。客户询问是否需要更换部件。客户后续请求客服申请新的霍尔板，因为146214仍在保修期内。,客服肖肖确认会查看。客户提供TV远程连接信息。客服肖肖建议更换霍尔板。客户确认会用备用件更换。客服确认。客户反馈已完成更换。客服肖肖查看日志，表示已无报错。客户确认。客服肖肖确认，请求客户提供机器人型号和更换下的霍尔板照片。客户提供板子照片，请求申请。客服肖肖再次询问机器人型号（带减速机的翻板小车？）。客户确认是146214。客服确认。,"1. 检查地毯上是否有异物，如有请清理异物
- 观察是否继续报错?
- 否：问题解决
- 是：进入步骤2

2. 检查轮子是否有松动或损坏，尝试重新安装或更换
- 观察是否继续报错?
- 否：问题解决
- 是：进入步骤3

3. 按照视频指引校准霍尔
- 观察是否继续报错?
- 否：问题解决
- 是：进入步骤4

4. 按照视频指引更换霍尔板
- 观察是否继续报错?
- 否：问题解决
- 是：进入步骤5

5. 按照视频指引校准轮径
- 观察是否继续报错?
- 否：问题解决
- 是：建议联系专业的售后技术支持人员获得帮助"
2023-09-14 16:21:00,客户询问明天日本时间早上9点是否可以在DHL柏进行远程桌面故障排除。具体问题是152021（小型车）复位和电机注册正常，但进行轮径注册时AGV不动，功能按钮闪烁。另外，152021还发生了托盘错误（9/5发生）。客户请求判断托盘电机等是否需要更换。,客服肖肖询问具体遇到了什么问题。客户描述了AGV不动和托盘错误。客服肖肖确认。客服肖肖询问现在开机是否仍有电机离线提示。客户表示现在托盘正常运行，无再现性。客服肖肖确认。客户询问DHL柏昭南的连接方法。客服肖肖表示不知道。客户告知先连接TV: 1893819780。客户询问是否已连接。客服肖肖确认可以连接。客户感谢，并告知明天连接TV后请开启VPN。客服肖肖确认。客户告知明天连接此地址。客户告知操作很慢。如果需要9/5的日志，请参考此处。客服肖肖确认。客户告知明天准备好后泰田会联系。客服肖肖确认。泰田确认会联系。客服肖肖告知泰田可以开始了。泰田表示正在等待客户联系。客服肖肖确认。客户浅田告知已可连接，将添加152021，请RCS待机。客服肖肖确认。客服肖肖询问152021是否已在平台上。客户浅田确认已放置。客服肖肖表示机器人霍尔有问题，先放在地面校准。客户浅田确认会放置地面。客服肖肖要求放置地面后告知。客户浅田确认即将放下。客户浅田询问是否可以通过磁力线判断AGV是否已放下。客服肖肖表示无法判断，需要现场人员确认。客户浅田确认并等待。客服肖肖建议将机器人放到地面上，校准霍尔一次，再校准轮径，看是否能校准。客服肖肖要求将机器人放回平台校准轮径。客户浅田确认将再次取下。客户浅田询问是否已复位。客服肖肖确认已校准。客服肖肖建议客户尝试校准轮径。客户浅田确认会请求放回板上。客服肖肖确认放到地毯上。客户Badiane Alioune建议远程进行轮径校准。客服肖肖确认可以远程校准，但需要将机器人放回平台。客户Badiane Alioune确认正在请求客户将AGV放回平台。客户浅田请求稍等。客户浅田确认已放上。客服肖肖请客服尹俊哲查看车子是否在平台上，校准轮径看是否有问题。客服Yvemip9确认校准完成，没有问题。客户浅田感谢，询问是否随机走行。客户浅田询问152021在9/5也发生托盘错误，是否可以确认电机等没有问题。客服Yvemip9确认会查看。客服Yvemip9确认可以随机跑。客服Yvemip9确认硬件状态正常。客户浅田感谢。客户浅田询问托盘电机是否没问题。客服肖肖确认没有问题。客服肖肖解释问题原因：9月5日出现急停后翻板电机报错，机器人关机后报错消失，判断是急停或撞击导致翻板电机电流异常，开关机后恢复，所以硬件应该没问题，建议客户继续观察。客户浅田确认，询问是否可以告知客户，RFID读取复位和轮径注册后情况会改善，让其观察。客服肖肖确认可以让用户使用，有问题再联系。,"1.机器人关机一分钟再重新开机
观察是否恢复？
-是：问题解决
-否：进入步骤2

2. 按照视频指引校准轮径
- 观察是否继续报错?
- 否：问题解决
- 是：进入步骤3

3. 按照视频指引校准霍尔
- 观察是否继续报错?
- 否：问题解决
- 是：进入步骤4

4.按照视频指引注册电机
-是否恢复
-是：问题解决
-否：建议联系专业的售后技术支持人员获得帮助"
2023-10-02 08:13:00,客户佐々木询问PVC材质的RFID卡片如果被水弄湿是否会出故障。,"1. 客户Kei回复：“打滑会出问题，但RFID是防水的。”
2. 客户佐々木追问50度酒精是否可以，客户Kei表示酒精可能会腐蚀PVC，建议尽快擦拭干净，但情况不严重。
3. 客户Kei补充金属支架和滚轮可能会生锈。
4. 客户佐々木总结了清洁方法，客户Kei确认吸水性好的物品都可以。",魔毯被水弄湿会出现打滑的问题，但是魔毯本身是防水的
2023-10-02 14:29:00,客户cube共有(日研)反馈机器人（视频所示）发出异响，询问是否正常。随后询问如何修复。,"1. 客服LB-Leo听后判断是减速机齿轮声音不对。
2. 客户询问是否影响运行，LB-Leo表示不急停就没有问题。
3. 针对如何修复，LB-Leo建议拆开减速机检查是否缺少齿轮油或齿轮间隙过大，根据具体问题处理，实在不行就更换减速机。","1. 观察是哪个部位发出异响
- 减速器：进入步骤2
- 左/右电机：进入步骤3

2. 拆开减速器检查齿轮油和齿轮间隙，尝试更换减速机
- 观察是否还有异响
- 是：建议联系专业的售后技术支持人员获得帮助
- 否：问题解决

3. 拆机检查左/右电机是否损坏，尝试更换左/右电机并重新注册
- 观察是否还有异响
- 是：建议联系专业的售后技术支持人员获得帮助
- 否：问题解决"
2023-10-03 08:47:00,客户浅田反馈满载传感器（满杯传感器）离线，怀疑是部分接线有问题。,"1. 客服安稳询问连接线是否有问题，客户表示现场不清楚，可能连接断开。
2. 客服安稳建议到现场检查接线。
3. 客服安稳建议客户用手挥动灯条，观察颜色变化，如果无变化则表示未通电。
4. 客户Badiane Alioune反馈已修复，问题出在黄色盒子到传感器的接线。","1. 检查电源盒是否损坏，尝试重新插拔电源线
- 确认电源盒是否正常
- 是：进入步骤2
- 否：电源盒可能损坏，尝试更换电源盒，并联系客服修改电源盒IP

2. 确认电源盒的IP是否能ping通
- 是：建议联系专业的售后技术支持人员获得帮助
- 否 ：检查网络和防火墙，通常情况下是防火墙禁止了跟灯条的通讯，请确认并进行放行。

3.检查按钮盒软件是否有断连
-是：检查连接CAN线
-否：进入步骤4

4.检查按钮盒是否正常
-否：更换按钮盒
-是：进入步骤5

5.检查满包传感器是否正常
-否：调整或更换传感器（更换完成之后联系售后人员进行注册  ）
-是：问题解决"
2023-10-10 09:58:00,客户cube共有(日研)反馈有两台AGV在运行时减速机发出异响，已尝试加润滑脂但无变化，询问是否需要更换减速机。,"1. 客服肖肖确认声音来自减速机，建议更换减速机。
2. 客户更换减速机后问题未解决，表示将检查电机。
3. 客服肖肖建议尝试更换电机。
4. 客户更换电机后异响消失，随机运行也无问题。
5. 客户请求为在保修期内的已更换电机的AGV（151009）申请新电机。
6. 客服肖肖要求提供换下电机的照片并同意申请。","1. 观察是哪个部位发出异响
- 减速器：进入步骤2
- 左/右电机：进入步骤3

2. 拆开减速器检查齿轮油和齿轮间隙，尝试更换减速机
- 观察是否还有异响
- 是：建议联系专业的售后技术支持人员获得帮助
- 否：问题解决

3. 拆机检查左/右电机是否损坏，尝试更换左/右电机并重新注册
- 观察是否还有异响
- 是：建议联系专业的售后技术支持人员获得帮助
- 否：问题解决"
2023-10-10 14:19:00,客户cube共有(日研)反馈另一台AGV（ID: 156189）轮胎电机有异响，更换后出现走行不良，并且轮径校准无法完成。,"1. 客服肖肖确认无法完成轮径校准，请求远程查看。
2. 客服肖肖远程检查并指导客户检查主动轮和万向轮。
3. 客户发现轮胎快从电机上脱落并进行了固定。
4. 客服肖肖再次指导客户进行随机运行观察。
5. 客户请求为该AGV（156189）的轮胎电机申请保修，客服肖肖同意申请。
6. 客户反馈在随机运行中多次出现急停（错误），客服肖肖远程查看。
7. 客户说明未发生碰撞，是位置偏差，手动恢复正常。
8. 客服肖肖第二天（10月11日）要求客户更换电源板并测试。","1.检查万向轮是否灵活是否有异物缠绕，尝试清理异物
- 观察是否恢复正常?
-是：问题解决 
-否：进入步骤2

2. 检查驱动轮是否有松动或损坏，尝试重新安装或更换
- 观察是否恢复正常?
- 否：建议联系专业的售后技术支持人员获得帮助
- 是：问题解决

"
2023-10-11 10:49:00,客户浅田询问AGV辅助轮（万向轮）损坏较多，是否有耐用年限或更换标准。,"1. 客服肖肖表示需要询问同事。
2. 客服肖肖回复：万向轮使用寿命是3年，更换标准是轮子转动是否良好，表面橡胶是否呈正常圆弧状，如果转动异常或表面橡胶磨损则需更换，并提供了更换视频。",万向轮使用寿命是3年，更换标准是轮子转动是否良好，表面橡胶是否呈正常圆弧状，如果转动异常或表面橡胶磨损则需更换。
2023-10-16 09:38:00,客户浅田反馈AP出现故障，请求远程连接检查连接问题。客户补充10月12日10:33发生AP断开。,"1. 客服肖肖远程连接。
2. 客服肖肖询问断开时AP是否可ping通，客户未确认。
3. 客服肖肖查看AP目前正常，询问断开时长及如何恢复正常。客户表示约15:00发现断开，随后重启RCS并重新连接LAN线，AP灯变为只有绿灯亮（通常情况不同），之后恢复正常。
4. 客服肖肖询问断开网线前是否只有绿灯亮，客户表示需确认。
5. 客户提供再连接时的视频。客服肖肖判断网络可能已连接但未接收到数据。
6. 客服肖肖询问发生前是否有停电或交换机断电。客户表示稼动中未停电。
7. 客户发现warning日志中10月12日之前也有AP离线记录。
8. 客服肖肖观察到该AP经常出现离线问题，并询问AP下方材质。
9. 客户请求暂时中断连接，因有其他客户现场工作。","1. 在装有RCS的电脑上，对AP的IP进行ping操作，确认是否能ping通
- 是：建议联系专业的售后技术支持人员获得帮助
- 否：进入步骤2

2. 检查AP的网线和电源是否正常，尝试重新插拔网线和电源线
- 观察是否离线?
- 是： 建议联系专业的售后技术支持人员获得帮助
- 否： 问题解决"
2023-10-19 09:56:00,客户cube共有(日研)报告机器人116164即使重置也无法进行轮胎外径注册，请求客服检查。,客服冷肖肖询问机器人是否有过维修记录，并建议客户尝试手动校准。客户随后确认已手动注册成功。,按照视频指引校准轮径
2023-10-24 09:44:00,客户cube共有(日研)报告无法对机器人177207进行重置、重新注册和外径注册。,客服冷肖肖询问机器人是否进行过维修，在得到否定回答后远程查看。由于远程连接卡顿，冷肖肖指导客户拆开机器人检查电机指示灯，发现所有灯未闪烁，建议更换电源板。客户更换后状态未变。冷肖肖再次指导客户打开电源检查，客户报告重新通电后机器人恢复正常。客户询问机器人仍在保修期内是否可以获取电源板，冷肖肖确认会提交申请。,"1.RCS界面查看机器人硬件信息，确认电机是否离线
-是：拆机检查电机状态和电机连接线的状态
-否：建议联系专业的售后技术支持人员获得帮助"
2023-10-26 11:20:00,客户池田（日研）报告AGV 146211再次发生错误。,客服冷肖肖远程连接进行查看，发现146211翻板电机离线，指导客户拆开机器人检查翻板电机指示灯。客户确认指示灯闪烁。客户猜测可能是翻板电机固定件不稳定导致连接器损坏，冷肖肖确认有可能，并询问是否有办法固定。客户表示目前无法固定，需要带回+A基地才能处理。,"1.拆开机器人检查电机连接线是否松动
-是：插紧电机连接线
-否：进入步骤2

2.检查电机指示灯是否闪烁
-是：建议联系专业的售后技术支持人员获得帮助
-否：尝试更换电机连接线或者更换电机"
2023-10-27 15:06:00,灯条之间的连接线断开了，这是盒子的问题还是线路问题？,客服肖肖指导检查并重新连接。客户确认两处线缆都拔出，重新连接后已上线。客服肖肖进一步说明界面显示所有灯都绿色表示连接正常，客户确认已正常。,按照索引格口满包未提示进行排查 
2023-11-02 16:11:00,迷你车充电30%时，运行时会报错。电压低到会报错的程度了吗？,客服安稳回复这是低电压警告，机器人电量最低38%就会出现此警告。客服肖肖补充迷你车充电数值需要修改，38%电量已很低，可能无法运行。客服肖肖指导客户修改配置文件中充电相关的两处参数（将38%改为45%，100%改为85%）。客户确认已修改。,迷你车充电数值不能设置为38%，38%电量已很低，可能无法运行，将38%改为45%。
2023-11-09 10:54:00,大型车（单电机）103155不识别坐标。可以确认一下吗？,客服肖肖要求打开103155电源，并询问机器人是否有过维修（无法控制）。客户回复没有维修过，是客户返修的。客服肖肖建议尝试对机器人进行注册，客户确认重置、电机注册都正常进行，位置与RCS显示一致，但按运行启动按钮后不运行。客服肖肖询问两个主动轮是否正常锁定，客户确认已锁定。客服肖肖要求客户手动校准轮径并录制视频。客户随后告知机器人已能正常运行。客服肖肖回复没有做固件修正，是之前轮径不对，通过手动校准解决了。,"1. 检查轮子是否有松动或损坏，尝试重新安装或更换
- 观察是否继续报错?
- 否：问题解决
- 是：进入步骤2

2. 按照视频指引校准霍尔
- 观察是否继续报错?
- 否：问题解决
- 是：进入步骤3

3. 按照视频指引更换霍尔板
- 观察是否继续报错?
- 否：问题解决
- 是：进入步骤4

4. 按照视频指引校准轮径
- 观察是否继续报错?
- 否：问题解决
- 是：建议联系专业的售后技术支持人员获得帮助"
2023-11-22 10:06:00,客户池田反馈AGV在进行外形注册时出现闪烁错误并持续运行，请求检查。,客服肖肖同意检查，并要求客户提供远程ID、IP和机器人ID（146224）。客服肖肖远程连接后，诊断为霍尔板有问题，需要更换。客户池田确认将带回现场处理。,"1.按照视频指引校准霍尔
-观察是否恢复正常？
-是：问题解决
-否：更换霍尔板"
2023-11-27 15:02:00,客户浅田询问充电器充电口（旧版本3端子和新版本6端子）的更换标准和使用寿命。,充电嘴的卡嘴属于易损件，旧版寿命1年，新版2年。更换标准是弹簧弹性不佳无法正常回弹，或磨损到口子变大和充电极板无法良好接触；旧版接触不良可能导致温度过高融化充电嘴，需及时更换。,充电嘴的卡嘴属于易损件，旧版寿命1年，新版2年。更换标准是弹簧弹性不佳无法正常回弹，或磨损到口子变大和充电极板无法良好接触；旧版接触不良可能导致温度过高融化充电嘴，需及时更换。
2023-11-28 11:11:00,客户池田请求售后立即处理两台AGV的故障：146064翻板电机不工作且无法进行7次再注册；148015在软件上显示红色且无法移动。,客服Yvemip9和LB-Leo远程协助诊断。对于146064，指示检查3号电机连接线，并尝试更换连接线，但问题仍存在。对于148015，指示放地面并更换连接线位置后，观察3号电机灯状态，初步判断问题解决。随后，146064在操作后仍报错，客服LB-Leo指示测量电脑电压，发现电压不稳定，判断主板有问题需要更换。客户池田表示会检查保修期后联系。最后，客户池田更换主板后，问题解决。,"1.拆机检查翻板电机的连接线是否松动
-是：重新插紧翻板电机的连接线
-否：进入步骤2

2.更换电机
观察问题是否解决？
-是：问题解决
-否：建议联系专业的售后技术支持人员获得帮助"
2023-12-05 13:41:00,客户在客户现场导入大型车时，进行随机走行发现AGV发生紧急停止。客服检查发现141100号车轮径有问题。,客服肖肖确认需要对所有机器人（共17台）进行轮径校准。由于现场作业安排，RCS暂时关闭，后续将由客户联系客服继续处理。期间，客服还对地图上的充电桩位置进行了修改，并请客户进行测试和观察。,按照索引机器人急停进行排查
2023-12-06 21:01:00,"由于多台AGV位置偏差，导致随机走行时很快停止，客户询问是否可以在随机走行时对所有333台AGV进行外径注册。在注册过程中，发现坐标104,42处有一个RFID无法读取，导致93091号AGV及其他AGV在该坐标处无法识别RFID。",客服汪昌春确认将保存当前轮径数据并进行批量校准。针对RFID问题，客服汪昌春建议先校准霍尔，并认为需要更换RFID后再进行注册。该问题仍在持续处理中，部分校准工作已进行。,按照索引机器人无法识别地毯的RFID进行排查	
2023-12-11 15:11:00,客户请求逐一检查3台有错误的AGV：148015、145218和148034。其中148015在走行时前方灯光闪烁。,"1. 客服肖肖检查148015后建议更换霍尔板。
2. 客服肖肖要求客户将145218放到地面上进行检查，随后建议更换霍尔板，原因是运行一段时间后会出现干扰。
3. 客服肖肖检查148034后发现情况良好，建议继续随机运行并观察，如发生急停再联系。","1.按照视频指引校准霍尔
-观察是否恢复正常？
-是：问题解决
-否：更换霍尔板"
2023-12-13 15:31:00,客户反映从RCS对所有AGV执行关机操作时，屏幕显示正常关机，但AGV本体仍保持开机状态，指示灯闪烁。客户询问可能的原因。,"1. 客服肖肖检查AP是否在线，客户确认在线。
2. 客服肖肖怀疑机器人可能连接到其他信道或因设备干扰导致信道切换。通过AC界面搜索发现问题机器人(119017)位于23信道，而非预设信道。
3. 客服肖肖建议让客户手动关闭AGV电源，并尝试从RCS中删除该机器人再重新添加。
4. 客户反馈AGV本体未被用户操作过，且现场只有一个平台，没有平台间移动。
5. 客服肖肖确认干扰是导致信道切换的可能原因，并告知同一平台上的其他AGV也可能出现类似问题。建议重新添加后多次测试开关机操作。",按照索引机器人开不了机进行排查
2023-12-18 13:38:00,客户反馈自11月15日起持续出现Redis连接错误，即使周六重启RCS后短暂恢复，今天又再次出现。,客服肖肖远程查看后怀疑Redis安装比正常情况多了一个服务，可能存在干扰。建议在客户分拣作业结束后尝试卸载并重装Redis，再继续观察。,"1.检查 redis服务是否正常运行
-是：建议联系专业的售后技术支持人员获得帮助
-否：启动服务"
2023-12-18 15:57:00,客户在现场进行AGV设置时，发现AGV频繁发生碰撞。尽管磁力线读取正常，但RCS上的坐标与AGV实际位置不符。客户猜测可能是映射有问题，并提到曾有地毯方向被更改。,"1. 客服肖肖初步判断是地毯码文件与实际不一致，询问是否在扫描后更换过地毯。
2. 客户确认在映射期间发现并修正了一处地毯方向。 
3. 客服肖肖远程修改了配置，并进行随机走行测试。
4. 客服肖肖在检查过程中发现至少有4处地毯不一致，建议客户重新扫描地毯。
5. 客户重新扫描并添加所有AGV后，客服确认情况良好，可开始测试。 
6. 客服肖肖解释碰撞原因是地毯扫描不正确或扫描后位置有变动。对于AP的低成功率问题，客服解释开机和关机时正常，并确认AP目前状态良好。",
2023-12-19 10:06:00,"请求将两台正在维护中的双电机大型车辆(141027,14113)升级到4BB版本。",客服确认需求后，立即进行版本升级操作，并通知客户升级完成。,
