问题提出时间,问题描述,解决过程
2024-01-02 21:49:38,客户询问GLP仓库的传感器为何不工作，希望能修复。,客服询问传感器是否有反应以及是否断电。在2024-01-09，客服确认有相关软件未开启，导致按钮盒无法使用。客服开启了该软件后，客户确认传感器（按钮盒）已正常工作，但提到传感器需要校准。
2024-01-03 16:53:35,客户反映无法在001格口绑定新笼箱，且该通道任务错误，请求释放格口。,客服（周雨瑾）指出WMS设置了渠道，并表示即使清空也无法投放，需要WMS处理。另一客服（饶少敏）提供了WMS链接，建议客户解绑旧箱再绑定新箱。客服（Ψθ、）检查后发现是格口关箱没有报成功，且该箱有270件货物，创建上报记录时请求体长度超长，创建失败。客服修改了字段长度，并补报了关箱信息。客户确认格口已可绑定新笼箱。
2024-01-03 20:15:26,客户反馈T-Sort分拣机无法扫描特定类型的二维码标签，尤其是一些德国包裹带有此类二维码，需要尽快解决方案。,客服（李亚彬）确认是无法识别二维码。客服（Yvemip9）指出是客户没有开启二维码扫描功能。客服通知客户需要暂停分拣几分钟以修改配置。客户暂停分拣。客服完成修改，并提示扫描站需要重新登录。客户确认二维码已可正常扫描。
2024-01-03 21:50:08,客户反馈带有双条码的包裹无法扫描，即使尝试遮盖其中一个条码也无效，GLP和PNT仓库都存在此问题。客户指定需要扫描的条码是`4106166581914018`。,该问题经历多次排查和尝试。客服（Yvemip9）初步诊断为相机扫出条码与WMS下发条码在格式上存在差异（WMS无“-”或“%”等字符，而实际条码有）。客服多次要求客户暂停分拣，并在后台进行配置修改，以兼容带“-”和“%”等特殊字符的条码识别。WMS方也曾处理单条数据。最终，在2024-01-18，客户确认经过客服修改配置后，带有“-”和“%”的包裹条码均可正常扫描识别。
2024-01-08 09:41:18,客户报告设备在调用任务下发时报错。,客服（周雨瑾）询问服务器是否启动。客服（Ψθ、）发现`10.46.150.31`机器无法远程连接，其他两台正常。客服（Ψθ、）联系现场人员重启机器后，任务下发恢复正常。客服确认现象是机器死机，但导致死机的原因尚需排查。
2024-01-08 20:08:26,客户询问通过机器添加墙体（墙体解锁）的功能是否已消失，以及PDA上未显示需要更换箱子的信息。,客服（周雨瑾）解释通过机器添加墙体需停止分拣机，并询问客户为何不使用App（客户表示无安卓手机）。对于PDA不显示换箱信息，客服表示该功能目前不可用，当前通过指示灯提示满包，并承诺次日回复。
2024-01-10 19:41:13,客户反馈在断电后，GLP仓库的T-sort系统无法启动。,客服（Yvemip9）进行查看，并指示客户继续分拣，表示应无问题。客户尝试后确认T-sort系统已正常工作。客户提及3D sort也有类似问题，客服表示正在处理。
2024-01-18 16:39:37,客户请求更改GLP仓库分拣系统的旋转设置（可能指图像或界面显示方向）。,客服（Yvemip9）要求客户暂停分拣，并根据客户提供的系统和设备号（SD0201、SD202、101、102及PLGLPB01）进行修改。客户多次反馈修改后无变化，且其中一台MCS PC黑屏无网络连接。最终，客户（Roman Medvid）自行排查并成功解决了问题。
2024-01-19 20:51:56,客户反馈在另一个包裹上再次出现与“%”相关的相同问题，请求检查。,客服Yvemip9询问具体情况，客户表示PNT T-Sort当前未在使用，可以进行修改。客服Yvemip9回复已在昨天进行更改，并询问该包裹是否已在系统中发出。客户承诺周一检查并表示感谢。
2024-01-26 05:03:25,客户反馈T-Sort设备在断电后无法启动，请求帮助解决。,客服Ψθ、回应“正在检查”，随后更新为“正在修复”。当客户询问原因时，客服健仔又瘦了🤠（探索版）表示已了解原因但修复较慢。客服Ψθ、指导客户通过扫码进行测试，客户确认设备已可正常工作。客服解释设备因断电导致电脑重启，部分数据可能出现问题，绑定箱子时可能异常，但可以继续使用。客户表示理解并感谢支持。
2024-01-27 01:58:59,客户反馈其中一个工位失去连接，请求支持。,客服健仔又瘦了🤠（探索版）分享文件，并建议检查下层RCS电脑。客户确认已开启，客服建议检查防火墙。客户告知当前不在现场。该问题在聊天记录中没有明确的闭环解决。
2024-01-28 03:15:37,客户反馈无法关闭料箱，请求尽快支持。,客户在群中@了多位客服人员请求帮助，但聊天记录中没有显示后续的解决过程或明确的解决方案。
2024-01-29 20:08:46,客户反馈所有通道都在两个格口上，但包裹总是只进入其中一个格口，询问是否可以实现50/50的比例分配。,客服Ψθ、解释包裹分配由下发的任务信息决定，若有多个目的地，包裹会被分配到货物较少的目的地。客户进一步询问如果开放四个目的地是否相同，客服未直接回复。
2024-01-30 13:40:44,客户请求释放PNT T-Sort上的料箱PNT01-048，因为无法绑定新箱子。,客服Ψθ、确认问题后表示将进行检查。随后客服通知客户PNT01-048已恢复，并已绑定新的箱号FHPO240130000004。客户表示感谢。
2024-01-30 14:52:59,客户反馈PMNT01-070出现与PNT01-048相同的问题（无法绑定新箱子）。,客服Ψθ、询问该箱中是否有1029件包裹，客户否认并确认箱子目前是空的。客服Ψθ、随后告知内部系统显示该箱有1029件，且因报文过长导致上报失败，并尝试补推但返回错误。客服指导现场需进行关箱、上报、解绑并绑定新箱。在与内部技术人员协调并尝试指定deviceCode后，客服成功进行了补推，客户确认箱子已变为已关箱状态。客服提示现场操作人员一个箱子不应有如此多件包裹。客户表示会去现场再次进行培训。
2024-01-30 19:54:17,客户饶少敏反馈设备分拣时出现系统数量与实物数量不符的情况，请求排查具体原因。,客服Ψθ、解释实物多于系统数量的原因是落件与集包并发，导致集包数据缺失。并提出通过配置在集包时检查当前格口是否正在落件来阻止集包，需在PDA上重新操作。客户询问集包不成功后是否继续落件，客服回复当前正在落件的落下后，后续就不会落件。客服表示将进行修改。修改后发现现场集包受影响，配置被改回。随后，客服周雨瑾查明原因是rcs服务上需同步开启一个配置才能生效，计划下周一更新，并询问了设备非使用时间以进行配置更新。
2024-01-31 09:41:02,客户田陆野询问绑箱时传入的大箱号为何是TSL0010。,客服Ψθ、询问具体格口和仓库信息。通过查看系统日志，客服发现现场人员扫描并传入的`container_id`就是TSL0010，导致后续落件和满箱上报时系统报错“容器号不存在或者有误”。客户田陆野表示明白了问题所在。
2024-01-31 17:40:12,客户请求帮助释放一个料箱，但扫描该料箱时显示为空。,客服Ψθ、表示将进行检查。随后，客服通知客户料箱已和新的箱号FHPO240131000325绑定。客户询问是否可以尝试绑定，后续未有明确是否绑定成功或问题解决的反馈。
2024-02-02 15:38:17,客户反馈新创建的箱子没有只分配到一个通道（DHermes-DPO-PA-BN-Na），反而收集了更多通道的包裹，而实际只需要收集指定通道的包裹。,客服Ψθ、表示不理解客户意图，并指出这是WMS系统层面的问题，其无法处理。客服李亚彬解释称大箱绑定到了异常口，任何不匹配通道的包裹都会流入异常。客户反驳这不是异常，并强调正常格口也有此情况。客服表示将协调修改和现场配合。
2024-02-07 22:33:01,客户询问如何关闭T-Sort格口上的传感器，以进行测试。,客服健仔又瘦了🤠（探索版）询问关闭原因。在澄清客户是想在不使用传感器的情况下进行分拣测试后，客服告知通过关闭下层电脑上的相关软件即可实现传感器不报告数据。客户表示将前往检查。
2024-02-08 03:11:32,客户反馈PNT T-Sort的下层离线，且在第二个处理步骤中，原本可以一扫一篮，现在必须逐个包裹扫描。,客服Yvemip9表示将进行检查。客户确认下层已停止。客服Yvemip9在远程操作中发现客户未打开相关软件，并帮助打开。客户澄清问题发生在PNT而非GLP，并发现有两个下层屏幕，其中一个离线。客服解释其中一个（2.6）是备用机，主机是2.5。在指导客户区分主机和备用机后，客服确认了正确的IP地址。客户随后报告机器人未到达工位，客服表示将解决。客户随后确认问题已解决，并表示会解绑旧笼车并绑定新的继续流程。客服Yvemip9还提示，如果机器人频繁自动关机，需通知修改配置。
2024-03-08 20:25:15,客户反馈包裹分拣任务在分拣前后状态仍为“已发布”，导致预发货区域无法按篮扫描，需逐个包裹扫描。,客服李亚彬询问T-sort包裹状态回传WMS的延迟时间。客服周雨瑾回应没有延迟，并表示会调查现场反馈的WMS状态未更新问题。随后客户提供了T-sort无法识别的包裹号，客服周雨瑾询问场地并确认现场工作正常，数据已下发且包裹显示正常工作。
2024-03-20 18:15:36,客户李亚彬反馈包裹E24032000087237在WMS显示已下发，但在T-sort端未显示为下发状态，且有多个扫码台无法正常工作。,客服Ψθ、确认PNT场地后，查找发现下发数据中存在该任务，但图片显示的条码与系统中的不符。客户Roman Medvid指出所有通道都有此情况。随后Roman Medvid报告SD0101和SD0102扫码台正常，但其他扫码台不工作，怀疑是设置问题。客服LB-尹俊哲进行配置修改，并询问能否暂停分拣。修改完成后，客户Roman Medvid确认所有扫码台已正常工作。
2024-04-04 15:09:16,客户Roman Medvid请求检查PNT的地图配置，因为机器人出现绕圈且工作缓慢。,客户田陆野@了相关客服人员，但聊天记录中没有显示明确的解决过程或问题解决状态。
2024-04-08 20:24:36,"客户田陆野反馈系统报警：“【回传子包裹落件信息】容器号与格口不对应！入参容器号:TSL0289,入参格口号:FIG02-056,查询格口号:FIG02-064”，即容器号已与FIG02-064绑定，但回传时却是FIG02-056。",客服Ψθ、解释该报警是因现场网络问题导致的信息重发。在网络恢复后，自动重试期间，箱号被绑定到其他格口，导致再次上报时箱号不符。客服指出日志中存在大量网络IO异常和域名解析失败。
2024-04-22 18:42:47,客户Roman Medvid询问是否有可能在GLP增加更多T-Sort分拣格口（Box places/Grids）。,客服周雨瑾询问是否仍使用笼车，并表示如果使用笼车，则可能需要扩展平台。客户建议增加几个，例如单侧5个。没有后续明确解决方案。
2024-05-24 15:22:24,客户Roman Medvid反馈扫描器无法识别条码。,客服Ψθ、回复“Another group chat in process”，表示该问题正在其他群聊中处理，此处未提供详细解决过程。
2024-05-31 16:21:41,客户Roman Medvid询问能否稍微加快机器人速度，并请求调整抛件位置。,客服LB-尹俊哲确认当前速度已很快，但表示可以稍微再提高一点。在客户Roman Medvid提供远程连接条件后，客服LB-尹俊哲完成了GLP上下层的速度修改。对于抛件位置，客服表示该修改会增加小车急停和魔毯磨损的风险，且小车和平台位置是固定的，无法修改。客户Roman Medvid表示DC可以接受风险。最后，客服LB-尹俊哲为第二个T-Sort也完成了速度修改。
2024-06-29 13:36:45,客户Kamil Goranowski反馈所有DHL包裹量都落入同一个格口，严重阻塞机器并降低效率，请求原因和帮助。,聊天记录中没有直接的解决过程或明确的问题解决状态。
2024-07-15 14:58:09,客户Roman Medvid请求帮助释放PNT01-036格口。,聊天记录中没有直接的解决过程或明确的问题解决状态。
2024-07-17 15:49:27,客户Roman Medvid反馈T-Sort机器上出现不正确的扫描，影响一个通道，或者提供错误数据。,客服LB-Louis-陈振林询问受影响的平台和条码。客服在内部检查后表示扫描台可以正常分拣，并怀疑可能是条码混乱导致识别乱码。客服建议对于无法识别的条码，可以手动输入或生成新条码。客户表示会尝试寻找条码进行提供。
2024-07-23 20:24:13,客户Roman Medvid请求帮助释放GLPB01-013格口。,客服Yvemip9将问题转给其他客服。客服Ψθ、建议使用PDA释放。在客户确认仓库信息后，客服Ψθ、与内部同事胥凯俊沟通，确认容器被注销导致重推失败。在播种墙重新启用后，客服LB-Louis-陈振林进行了补推，客户胥凯俊确认数据已成功接收。
2024-08-04 00:50:08,客户Kamil Goranowski反馈T-Sort设备没有电源，指示灯不亮，机器也没有信号提示笼车已满，并持续投入包裹，导致工作困难。,客服Wang表示将检查离线情况，并询问是否断电。聊天记录中没有后续的解决过程。
2024-08-19 14:55:31,客户罗健就之前Roman Medvid提到的扫描器识别问题再次提问，指出条码中含有特殊字符，需要进行过滤。,客服确认该问题，并表示条码本身带有特殊字符，需要进行过滤。在客户罗健确认需要只保留数字和字母的过滤规则，并指明所有四套T-Sort都需要修改后，客服Wang表示将进行处理。客服Wang随后反馈GLP第二套T-Sort已修改完成，可立即验证；GLP第一套T-Sort已修改，需重启扫码软件生效；PNT第二套T-Sort已修改完成。在解决过程中，客户罗健反馈新问题：一个标签上有多个条码，扫码台识别出多个，但任务只有一个唯一码。客服Ψθ、和Wang发现是过滤规则导致逗号分隔被去除，导致多条码未被正确分割。客服Wang随后再次调整了过滤规则，通知GLP两套T-Sort已修改完成（一套需重启），PNT第二套也已修改完成。客户Piotr Mazur确认GLP已正常。
2024-08-20 07:49:07,客户Mariusz Maczuga反馈夜班时段，有大量本应从PNT发货的FR和ES包裹却出现在GLP。,客服Piotr Mazur初步判断这是手动波次，可能是人为错误，并建议将包裹移交给PNT，不要使用T-Sort。客户Mariusz Maczuga指出T-Sort已被使用，这表明通道可能在两个仓库都开放。Piotr Mazur表示将进行T-Sort审计并检查设置。
2024-08-27 21:39:54,客户Roman Medvid请求帮助释放格口。,客服Wang回复该问题正在另一个群聊中处理，此处未提供详细解决过程。
2024-09-16 14:09:59,客户Roman Medvid请求提供T-Sort应用程序的APK安装包。,聊天记录中没有直接给出APK安装包或明确的解决。
2024-11-16 09:24:37,客户田陆野请求重新补推两个包裹的任务：E24111500286664和E24111500211456。,客服Ψθ、尝试补推后，反馈其中一个包裹返回错误“播种箱号已经使用过，不能重复使用！”。随后，周旭询问某个波次为何推送关箱状态的播种墙，客服Ψθ、解释该播种墙之前已下发释放，所以可用。在确认业务逻辑后，周旭再次请求补推另外一批包裹。客服Ψθ、稍后确认已完成重推。
2024-11-17 19:39:23,客户周旭反馈在波兰仓调用立镖接口时出现大量超时情况。,客服Ψθ、询问具体仓库和请求入参。在收到客户提供的入参后，客服Ψθ、通过日志确认货架释放的内部处理非常简单，不会因为业务处理而超时，暗示问题可能出在客户侧的网络或其他接口调用方式上。
2024-11-25 21:47:04,客户Jakub Slowik反馈GLPB01-017格口存在问题，WMS显示已绑定无法更改，但PDA应用程序却显示未绑定。,客服Wang要求提供图片，Piotr Nowak随后提供了PDA截图。在确认问题后，客户Jakub Slowik请求客服在系统侧检查并解绑。客服Ψθ、询问客户WMS系统能否解绑，但客户表示该操作已被产品限制。客户Piotr Nowak强调问题影响生产能力，请求立即解锁。在客户方内部协调后，李亚彬请田陆野申请解锁。随后VIKTORIIA MELNYK检查并反馈该位置已可正常关闭和打开。
2024-11-27 21:04:21,客户Jakub Slowik反馈GLPB01-022到GLPB01-026格口都绑定到同一通道，但包裹不使用格口24/25/26，即使其他格口未绑定。,客服Ψθ、表示不理解，并提供了系统中的绑定关系，确认绑定关系正确。李亚彬表示将组织会议，共同查看包裹为何不流入这三个格口，问题未在该聊天记录中得到最终解决。
2024-12-01 22:24:15,客户报告GLP-B的第二个t-sort遇到网格问题，无法解绑手推车，询问是否可以重置。,另一位客户Jakub Slowik提到这可能与上周类似的问题。客户李亚彬检查后回复未找到网格端口和周转箱的绑定关系。
2024-12-17 11:35:50,客户询问t-sort GLP B的密码。,客户罗健提供了密码“60029235”，并指导客户可以使用自己的账号登录以替换Piotr的账号。客户确认已收到并感谢。
2025-03-05 02:19:44,客户请求获取tsort no1 GLPB的链接，以便查看所有经过分拣机的包裹。,客户Jakub Slowik询问该链接是否能提供所需信息。客户Bartosz Zygmunt确认所提供（通过“照片”形式）的信息已足够。
2025-03-31 06:07:54,客户报告GLP-B的tsort设备存在问题，意大利包裹被分拣到AB手推车（格口N46）。,客服LB-Louis-陈振林询问设备类型和远程地点。客户澄清是预分拣T-SORT的格口N46。客服要求TeamViewer远程访问平台电脑。客户尝试连接TeamViewer但报告电脑未连接互联网。客服表示无法在无网络连接的情况下进行远程检查，问题未能远程解决。
2025-04-08 18:00:46,客户报告Big P3 Tsort的5017目的地出现错误。,客服项钱看（犯困版）最初建议手动处理。客户Volodymyr Rybak否认是重量差异，并强调WMS中的包裹信息正确，需要系统解决方案。客服项钱看（犯困版）与内部人员沟通后，发现条码末尾有多余空格导致无法识别。客服项钱看（犯困版）告知客户重新打印无空格条码。客户Volodymyr Rybak指出GLP-B正常读取此类标签，要求在P3上调整设置。客服项钱看（犯困版）表示已进行设置以去除空格并完成更新。
2025-04-11 19:34:02,客户报告BP3的Tsort将旧的美国标签分拣到问题格口，需要正确配置；同时客户报告“格口锁定”问题，即格口通常开放但机器人不会去，扫描后显示锁定。,客户罗健建议自行编辑通道格口配置或联系Jakob。客户Volodymyr Rybak表示无法自行编辑。客户罗健请求客户Jakub Slowik协助。客户Jakub Slowik确认会处理并稍后确认已完成。客户Volodymyr Rybak感谢。
2025-04-15 15:35:50,客户询问T-sort系统是否能增加类似立镖PDA人工播种的功能，即通过PDA扫描已在T-sort扫描的包裹，获取其分配的格口信息，以节省大型物品人工分拣的时间和加快流程。,客服立镖-wes-张皓琪回复T-sort目前没有PDA人工播种功能。客户询问如何获得此功能。客服立镖-wes-张皓琪将需求上报给周雨瑾。周雨瑾询问是否首先在工作站摄像头进行扫描，该功能仍在需求评估和讨论中。
2025-04-17 17:17:46,客户报告T-SORT BP3存在问题，无法关闭格口78、81、110、167。,在提供的聊天记录中，该问题没有后续的解决过程或结果。
2025-04-23 04:45:10,客户报告Big P3区域存在问题，每个波次超过1200个包裹，导致立镖系统无法拉取分配数据并报错。,"客户李亚彬建议暂时将这些箱子放在一处，等待开发人员处理。客户Volodymyr Rybak确认已移除相关波次并等待解决方案。客户Mariusz Maczuga强调了处理2400个订单的紧迫性。客服Terry Chen表示已暂停波次生成，但已生成的波次需等待解决。客服立镖-wes-张皓琪在客户完成当前波次分拣后重启服务，尝试拉取2400波次，但仍报错提示“波次包裹数超过1,200，不能下发”，表明需等待WMS修改。客户方持续催促并讨论波次大小的灵活性。客户罗旋告知系统已更新，正在寻找立镖工程师到现场修复问题波次数据。客服Terry Chen最终确认问题已解决。客户Mariusz Maczuga随后就未来波次处理的灵活性（处理不同大小的波次）与客服进行沟通，客户罗健提出了通过增加一条组线来设置不同波次数量规则的建议。"
