序号,现象,排查指引,备注
17.0,突然断电、频繁断电、频繁重启,"1. 查看电梯板是否故障，尝试更换电梯板，观察是否恢复正常
- 是：问题解决，当分拣机更换电梯板时需要重新修改ip并升级
1.更换完毕后在分拣机的LED显示屏中点击高级设置，设置当前分拣机的ip地址
2.设置完ip后进行升级电梯板的程序保持和其他分拣机处于同一版本
- 否：建议联系专业的售后技术支持人员获取帮助",电梯板故障？
18.0,LCD触屏无反应,"1. 尝试重新插拔LED显示屏，观察是否恢复正常
- 是：问题解决
- 否：进入步骤2

2. 重启分拣机，观察是否恢复正常
- 是：问题解决
- 否：进入步骤3

3. 尝试更换LED显示屏，观察是否恢复正常
- 是：问题解决
- 否：建议联系专业的售后技术支持人员获取帮助",重启？
19.0,彩虹灯不会亮,"1. 检查输出板的指示灯是否正常闪烁
- 否：更换输出板，观察是否恢复正常
- 是：问题解决
- 否：进入步骤2
- 是：进入步骤2

2. 更换彩虹灯，观察是否恢复正常
- 是：问题解决
- 否：建议联系专业的售后技术支持人员获取帮助",输出板故障？
20.0,分拣机重启不了,断开电控箱的开关后重新接通电源，如果还有问题建议联系专业的售后技术支持人员获取帮助,电控箱开关断电再开机
21.0,4号电机旋转不到位,"1. 检查电机是否有异物阻挡旋转、轧带或连接线等，尝试调整位置，观察是否恢复正常
- 是：问题解决
- 否：进入步骤2

2. 尝试更换减速器，观察是否恢复正常
- 是：问题解决
- 否：建议联系专业的售后技术支持人员获取帮助",减速器故障？
22.0,X下轴移动卡顿、异响,"1. 检查皮带是否有问题，尝试检修或更换皮带，观察是否恢复正常
- 是：问题解决
- 否：进入步骤2

2. 检查轴承是否有问题，尝试检修或更换轴承，观察是否恢复正常
- 是：问题解决
- 否：建议联系专业的售后技术支持人员获取帮助",轴承损坏？
23.0,分拣机不动了,"1.检查LED屏幕是否有报错
  -有：电机报错，检查电机和连接线，网络报错：检查网络和交换机，电机过载：检查是否有东西阻止分拣机运动、皮带是否松动等
  -无：进入步骤2
2.检查是否有电源输入
  -有：进入步骤3
  -无：检查电源和电梯板
3.重启分拣机回零是否解决问题
  -是：问题解决
  -否：建议联系专业的售后技术支持人员获取帮助","检查分拣机LCD显示什么报错
检查分拣机是否有电源输入
检查分拣机网络是否断开
如果都正常可以尝试重启操作"
,分拣机不工作了,"1.检查LED屏幕是否有报错
  -有：电机报错，检查电机和连接线，网络报错：检查网络和交换机，电机过载：检查是否有东西阻止分拣机运动、皮带是否松动等
  -无：进入步骤2
2.检查是否有电源输入
  -有：进入步骤3
  -无：检查电源和电梯板
3.重启分拣机回零是否解决问题
  -是：问题解决
  -否：建议联系专业的售后技术支持人员获取帮助",
25.0,分拣机卡顿,"1.分拣机是停止不动过一会动还是运动的时候抖动
  -卡住不动有延迟：进入步骤2
  -抖动：进入步骤3
2.检查分拣机网络是否正常
  -否：检查网络和小交换机接口
  -是进入步骤5
3.移动Y轴查看是否有卡顿
  -有：打开滑块检查或更换、滑轨是否有异常
  -否：进入步骤4
4.检查皮带是否松动
  -是：紧固皮带
  -否进入步骤5
5.重启分拣机尝试
  是否解决问题
  -是：问题解决
  -否：建议联系专业的售后技术支持人员获取帮助","检查滑块是否润滑
或检查线轨的皮带是否松"
26.0,投错框,具体问题具体分析，可能是软件可能是硬件,调整投货角度参数
27.0,分拣机XY轴皮带异常,更换皮带,更换皮带？
28.0,每次卸完货后都会停止并报警,重新拔插翻板传感器的连接线后恢复正常,
29.0,急停按钮拍下无法锁住,更换急停按钮并进行绑定,
30.0,待机模式（交换机板上端口灯都不亮）,"1.检查网络是否正常，交换机板上的网口灯是否正常亮起
   否：如果交换机都不亮则更换交换机板，如果就当前网口不正常尝试更换网口
   是：建议联系专业的售后技术支持人员获取帮助",交换机故障？
31.0,分拣机提示：UNB,"1.查看电梯板是否故障，更换电梯板
  更换后是否解决
  -是：问题解决
  -否：建议联系专业的售后技术支持人员获取帮助",电梯板故障  单元电压不平衡？
32.0,分拣机托盘无法旋转,3D工具手动测试旋转，无法转动，观察重启动作，判断四号电机减速器坏了。更换减速器后恢复正常。,工单：SHD20250521001
33.0,机器人到达格口不卸货,"3D分拣机工具页面显示：左侧读卡器在线，但RFID值全为0。
1.尝试更换rfid，还是无法识别。
2.尝试更换读卡器，恢复正常。",工单：SHD20250524001
34.0,现场发现好几台3D分拣机电控箱的灯插反了，导致左右货架指示灯的状态显示相反,"使用3D工具测试左右指示灯的亮灯情况，由此可以判断出电控箱内灯的插向是否正常
",
35.0,分拣机离线,"1、尝试IP是否可以ping通
-是：进入步骤2
-否：进入步骤3


2.网络重置
-是否恢复？
-是：问题解决
-否：进入步骤2

3.打开电控箱，检查交换机板上的网口灯是否正常亮起
   否：如果交换机都不亮则更换交换机板，如果就当前网口不正常尝试更换网口
   是：建议联系专业的售后技术支持人员获取帮助",
36.0,门磁存在问题，分拣时跳闸导致位置停止,"1.检查门是否关闭
   否：关闭所有门
   是：建议联系专业的售后技术支持人员获取帮助",
37.0,分拣机屏幕显示错误信息,查看分拣机LCD显示屏的具体错误提示信息，根据分拣机故障索引进行排查,
38.0,分拣机的指示灯显示3种颜色,三色灯代表播种墙未注册，需要重新注册播种墙，通过pda扫描货架号和识别rfid进行注册，如无法操作则联系专业的售后技术人员处理,
39.0,货架插回，亮蓝灯,"1.货架未释放
-是：将货架拉出2分钟，插回
-否：建议联系专业的售后技术支持人员获取帮助",
40.0,急停状态下拖动分拣机时，四个滑轮中有三个不动,轮轴卡住了，更换轮子,
41.0,分拣机反复离线,"1.检查电梯板灯闪烁是否正常
-是：更换电梯板
-否：建议联系专业的售后技术支持人员获取帮助",
42.0,分拣机绿灯不亮,"1.检查此货架任务是否完成
-否：完成任务
-是：进入步骤2
2.检查彩虹灯线束 是否松动
-是：插紧线束
-否：进入步骤3
3.检查彩虹灯是否损坏
-是：更换彩虹灯
-否：建议联系专业的售后技术支持人员获取帮助",
43.0,读卡器离线,"1.检查连接CAN线是否紧固
-否：线束重新插拔
-是：进入步骤2
2.检查读卡器指示灯是否正常（闪烁快慢，可与正常读卡器对比）
-是：建议联系专业的售后技术支持人员获取帮助
-否：更换读卡器（注意：读卡器编号，左侧对应标签6，右侧对应标签7）",
44.0,分拣机电机无零位,"1.检查电机是否是新更换电机（新更换电机可能未对零位）
-是：重新更换电机
-否：进入步骤2
2.检查电机线束是否有破损
-是：更换线束
-否:建议联系专业的售后技术支持人员获取帮助",
45.0,分拣机网络频繁断网,建议联系专业的售后技术支持人员获取帮助,
46.0,货架插入后依旧亮白灯,"1.货架RFID失效(可以从LED液晶屏查看是否有数值)
-是：进入步骤2
-否：更换RFID
2感应器损坏或者线束未插紧（会显示感应器离线）
-是：更换感应器或插紧线束
-否：进入步骤3
3.货架号重复
-是.重新注册货架
-否.建议联系专业的售后技术支持人员获取帮助",
47.0,分拣机皮带松动,紧固皮带,参考皮带紧固视频
48.0,分拣机卡到最顶部,联系专业的售后技术支持人员调整分拣机卸货位置,
49.0,分拣机待机模式,"1、尝试IP是否可以ping通
-是：进入步骤2
-否：进入步骤3


2.网络重置
-是否恢复？
-是：问题解决
-否：进入步骤2

3.打开电控箱，检查交换机板上的网口灯是否正常亮起
   否：如果交换机都不亮则更换交换机板，如果就当前网口不正常尝试更换网口
   是：建议联系专业的售后技术支持人员获取帮助",
