dispose_type_name,dispose_content,解决方案,备注
换货,"1：电机CAN线接口处被撞坏，更换电机。
2：126016小车客户反应加车后不动，常规检查后加入正常。
3：5号机，9号分拣机，4号电机频繁离线，CAN线插口松动，卡簧调整后正常。",,
换货,5号机9号分拣机：4号电机多次离线，经检查线束正常、随即跑半小时未发现问题、电机指示灯正常，分拣时出现离线情况，更换4号电机后正常。,,
换货,更换3块BMSP板(5V模块输出电压低，导致小车发生急停故障运行不了 条码：307610、309697、307449)   更换1块电源板（电容脱焊，导致小车充不进电。条码：406447）更换小车底盘已个（小车翻板底部破损及固定立柱断裂）更换电热敏阻2块（检查电压是0伏，导致小车充不进电）,,
换货,更换电池（做电池平衡时，用力过大把连接处拧断了）,,
换货,更换6块电源板（电容脱焊，导致小车充不进电。条码：407558、406763、406806、407401、407652、407515）,,
换货,"1：分拣机坦克链扁线更换。
2：2号分拣机电控箱交换机更换。（绿色指示灯亮着，网口不通。）",,
快速处理,"问题：112156小车故障，99043无法充电
原因：112156小车万向轮支架破损，99043小车电池板故障
处理：112156小车更换万向轮支架，99043小车更换电池",,
快速处理,扫码相机镜头松动，扫不到条码，重新调试紧固。,,
换货,"更换霍尔板2块（小车读不到磁条图）物料编码：20221018181、508115
更换电源板1块（电容脱焊导致小车充不进电）物料编码：406447
更换BMSP板2块（5V模块输出电压低于5伏及损坏）物料编码：307449、309697",,
换货,更换BMSP板（5v模块输出电压低及损坏，导致小车运行不了）条码：301444、3074378、307519、307961、307557、305366、308010、308257、307007,,
换货,"1.3D分拣机更换交换机板。
2.故障：两台监控网络离线
原因：1号由于网络线拉太紧，导致网线接口接触不良，导致离线。2号POE分离器故障，导致不通电
处理结果：1号网线重新调整，联结正常。2号没有配件，待处理。",,
换货,"更换2块霍尔板（霍尔板离线导致小车读不到磁条图，运行不了。条码：505269、508057）                  
更换 1个电机（小车翻板电机损坏，导致小车不会执行翻板动作）                                                         更换1块BMSP板（5V模块输出电压低导致小车运行不了。条码：308168）                                                                                                                                                          更换2块电源板（电源板输出电压低于24伏及电容脱焊。条码：406755、406681）",,
换货,更换4块BMSP板（5V模块输出电压低于5伏，导致小车运行不了。条码：307459、304700、307815、307610）,,
换货,更换2块电池包（电池包测量电压19V，无法正常启动，充不进电，更换新电池包后恢复正常、一台      电池包二极管损坏） 缺件更换1个电源适配器（通电后电源适配器呼吸灯不亮，无法给小车充电（该适配器导致现场空开跳闸））,,
换货,"1.3D分拣机件交换机板更换。
2.故障：6号货架插入红灯，黄灯，绿灯亮
原因：货架更换芯片未注册
处理结果：货架重新注册，货架信息导入wes.",,
换货,"故障：小车无法开机。
原因：电源板充电模块烧坏，BMSP板烧坏
处理结果：更换电源板 ，BMSP板",,
换货,更换5台小车10个3孔车轮（轮胎消耗，轮径低于2500， 导致小车加速及加速转向打滑导致小车经常提示目的地无地毯定位）,,
换货,"1.5口交换机板更换
2.故障：小车跑偏。
原因：万向轮支架断裂。
处理结果：更换新万向轮支架。",,
换货,更换1台小车2车轮（小车114223，车轮轮径小于2500，行驶时加速及加速转向会打滑，导致小车急停提示目的地无地毯定位）,,
快速处理,"故障：扫码台，车服工控机开机出现报错，无法使用。
原因：电脑系统出现问题。
处理结果：开始有运维更换到wcs电脑临时使用，后期我们过去以后开机有可以使用，现场试验反复开关机，没有出现故障，待后期观察。
其他故障检查：检查分拣机右下角支架螺丝有松掉的，所有支架螺丝做紧固，货架螺丝检查，有松掉的进行紧固。",,
快速处理,"1.故障：小车进场急停。
故障原因：平台地毯连接处中间出现鼓包现象，导致小车跑偏现象。
处理结果：鼓包处用双面胶粘贴，下午生产中观察，没有出现小车急停现象。
2.故障：有两台小车维修，89066小车无法充电，82211小车充电同时无法注册。
故障原因：89066车电池板温控线故障导致无法充电。82211电池板温控线故障无法充电，同时左轮电机故障无法注册。
处理结果：89066小车更换电池板温控线充电正常。82211由于没有电机配件，没有电池板温控线，带回公司维修处理。
3.其他问题处理：北京旷世调过来的17台小车做版本升级。对工作人员做故障处理培训以及设备维护要求。",,
换货,更换3个读卡器（6-2-2设备3、7、20号分拣机分拣完成时，灯光模式不会转换，怀疑操作人员撞击读卡器导致传感器受损，待寄送回公司检查原因） 更换3D分拣机翻板1个,,
换货,"1.分拣机交换机板更换。
2.扫码枪支架破损更换新的。
3.平台桌腿掉，用自攻钉重新固定。
4.平台挡边螺丝松掉，重新紧固。
5.分拣机，货架固定螺丝检查，对松掉的螺丝紧固。",,
换货,更换1个USB小音箱（客户反馈：已将音量调至最大，一边有声音，一边没有）更换充电桩适配器1个（通电后电源适配器呼吸灯不亮，无法给小车充电（该适配器导致现场空开跳闸））更换 Y轴滑块滚轮1个（分拣机Y下轴移动时有异响、卡顿的现象，检查发现是因滚轮损坏所致）,,
换货,6-2-3设备16号分拣机更换 X轴滑块轴承1个（分拣机X下轴移动时有异响、卡顿的现象，检查发现是因轴承损坏所致）,,
报废替换,"故障：翻板破损
原因：环境温度太低原因
处理：更换",,
报废替换,"故障：皮带机不动。
原因：减速机轴承损坏。
处理结果：更滑新减速机",,
快速处理,"故障：皮带机不动。
原因：减速机轴承破损。
处理结果：更换新减速机",,
换货,"故障：小车无法开机
原因：电源板故障
处理：更换新电源板",,
换货,"故障：信号灯不亮
原因：BMSP板故障
处理：更换新板",,
换货,"故障：小车急停，跑偏
原因：霍尔板检测故障
处理：更换新霍尔板",,
换货,mini小车72037 运行过程中多次发生急停错误：目的地无地毯定位；更换霍尔板后测试一切正常，怀疑是霍尔板传感器受损。,,
换货,小车100235更换小车底盘： 右电机处底盘破裂导致小车急停运行不了，怀疑是上次更换螺丝时打偏了。       更换货架芯片6个：RFID读卡器读取不到芯片信息，芯片表面有折压痕,,
快速处理,WES电脑频繁重启、死机，更换调试电脑。,,
快速处理,分拣机Y轴卡死，查找原因。（Y轴皮带同步器轴承卡死，待到货后更换。）,,
换货,网络通讯失败,,
换货,"小车号100248、105174右电机处底盘破裂导致小车急停运行不了，怀疑是上次更换螺丝时打偏了。       
4仓库设备巡检发现 4-1-2设备17号分拣翻板破裂及导向块损坏；已更换。现在4仓库设备区域已与人手一分作业的在同一个区域使用",,
快速处理,"6号分拣机经常撞货架。（个别货架变形导致，已整改并培训客户如何处理。）
3号分拣机读卡器读不到。（清洁读卡器中心区域，重启后正常。）
8号分拣机所有电机离线。（检查是输出板问题，由于没带配件，已经和客户沟通好维修时间）",,
快速处理,1号线4号机Y轴皮带同步器轴承损坏，已联系厂家寄配件维修。,,
换货,"8号分拣机3号电机离线，更换电机。
6号分拣机网线更换，安装时线太紧，导致摩擦破损。",,
快速处理,协助研发现场解决格口无法正常打开问题，原因已知，与客户沟通好后更新。,,
快速处理,"故障：分拣出现网络中断
原因：5口交换机板故障
处理：更换新款交换机板",,
快速处理,"1.故障：分拣机断网离线
原因：5口交换机板故障
处理：更换交换机板
2.故障：24号分拣机Y轴底部与地面摩擦。
原因：地面不平整，地面中间有凹起，导致摩擦。
处理：分拣机立柱4脚垫高。",,
换货,故障：小车号：126075运行不了，充不进电；原因： 电源板输出电压低于24V；处理：更换新电源板,,
换货,故障：小车号：126075运行多次急停目的地无地毯定位；原因：霍尔板检测故障；处理：更换新霍尔板,,
换货,故障：6-2-3设备2号、3号、15号3D分拣机分拣完成彩虹灯不会切换灯光模式，一直亮绿灯。原因：读卡器故障。处理：更换新读卡器,,
换货,故障：6-2-2设备12号3D分拣机物品会卡粘在翻板上。 原因：翻板破裂，小物件会偶尔卡粘在裂缝上。 处理：更换新翻板,,
换货,故障：6-2-3设备30号分拣机LCD控制盒黑屏。原因：LCD控制盒损坏。处理：更换新LCD控制盒,,
换货,更换30，留1,,
快速处理,"1、镖普双层：29、30号分拣机X轴滑块异响，更换轴承。
2、3D翻版总成螺丝紧固，做记号。
3、镖普双层：11个3D翻版更换。",,
快速处理,3号线2-30号分拣机网络掉线，精益管脱落导致网线被夹破损，更换网线后正常。,,
换货,行星减速器过紧，导致3号电机运行过载,,
换货,故障：小车号126127开机报警，原因：BMSP板故障，处理：缺件待配件到后更换。（条码309314）         故障：小车号128032运行不了， 原因：BMSP板故障输出电压只有1.5伏，处理：缺件待配件到后更换。（条码309886）,,
快速处理,"故障：小车经常出现急停。
原因：发货口称重平台不平整，导致小车发货口出发后轮径不对，出现急停。
处理：对所有称重台做调整，随机跑两小时，未出现急停。",,
快速处理,塔灯闪烁，颜色不正确，更换35个塔灯。,,
换货,故障：6-2-1设备2号3D分拣机分拣完成彩虹灯不会切换灯光模式，一直亮绿灯。原因：读卡器故障。处理：更换新读卡器,,
换货,故障：小车号101055运行时有异响，原因：翻板电机处的固定架断裂，处理：更换新底盘                                                     故障：小车号113211运行不了，原因：翻板电机处底部破损，处理：更换新底盘,,
换货,小车118155电池平衡线断,,
换货,小车104038电源板电感断,,
换货,小车118137灯条损坏,,
换货,故障：小车号126078、126075、128130霍尔板校正后运行时依然多次急停无的地无地毯定位，原因：霍尔板传感器，处理：更换霍尔板,,
换货,故障：小车号128152运行不了，原因：电源板输出电压低于24V，处理更换电源板,,
换货,故障：小车号128152、125002添加小车失败 ，原因：无线模块故障  处理：缺件待处理更换,,
换货,"故障：小车跑偏
原因:霍尔板故障
处理结果：更换霍尔板",,
换货,"故障：无法通电，无法开机
原因:bmsp板故障
处理结果：bmsp板",,
换货,"故障：无法通电，无法开机
原因:电源板故障
处理结果：更换电源板，电容板",,
换货,"故障：轮子解锁
原因:轮子电机故障
处理结果：更换轮子电机",,
换货,"1、滑块异响，检查发现轴承已经掉落，里面垃圾很多，可能是安装时没拧紧造成。
2、上层车服AP信号弱，小车行走有延迟，更改信道后正常。",,
快速处理,分拣机X上轴导轨皮带同步轮损坏，皮带掉落无法使用，因没有配件，暂时从未用设备拆来恢复正常，厂家配件到货后维修。,,
换货,故障：6-2-2设备11号分拣机移动时有异响、卡顿的现象 ，  原因：检查发现是因滚轮损坏所致，处理：更换轴承,,
快速处理,"故障：1、分拣机货架固定块破损。2、120243客户描述频繁停车。
原因：1、货架脚轮经常撞击破损。2、未知，没看见具体现象。
处理：1、更换固定块。2、常规检查后加入观察半小时未见异常。",,
换货,故障：小车在充电的时候发生BMSP板烧坏及电源板，原因：（已反馈研发，具体是什么原因导致的调查中），处理更换BMSP板及电源板    （BMSP板条码：307345、电源板条码：406904）,,
换货,"故障：13号分拣机y轴异响
原因：Y轴滑块轴承破损
处理结果：更换轴承，同时留Y轴轴承3个备用，X轴留4个轴承备用",,
换货,"故障：11号分拣机断网
原因：5口交换机板故障
处理：更换现场所有分拣机交换机板，留2块备用。",,
快速处理,现场设备巡检内容：1.平台地毯检查 2.挡板位置螺丝紧固  3.翻板紧固螺丝  4.分拣机翻板电机T字架螺丝紧固   5.小车AP天线，线路检查   6.车服配置检查，同时小车版本检查  6.分拣机之间联结电源线精益管脱落固定。,,
报废替换,"故障现象：MINI机器人66239无法充电
故障原因：充电电源模块M3\M4 MOS管烧焦
改进措施：升级最新的电池包升级程序",,
快速处理,1.小车维修，部分小车万向轮，主动缠绕绳子，导致小车跑偏，清理绳子，校轮径，校霍尔，总计维修25台，剩余15台无配件，待定。2.地毯检查，地毯有翘起现象，确定数量，后期更换。3.检查充电桩是否移位，充电头是否有灰尘。4.检查集包电脑，个别格口未开通，统计未开通数量。,,
报废替换,电阻损坏,,
换货,故障：小车底盘破损运行不了   原因：多方面因素怀疑是（质量问题、使用方处理故障小车都是拿着翻板位置抱起小车拿下来的受力点都在翻板电机处底部时间久了容易开裂）处理：更换新底盘,,
换货,故障：小车底盘破损   原因：小车在上层跌落至平台下摔破了  处理：更换新底盘,,
换货,故障：小车底盘破损运行不了 原因：具体原因不明，多方面因素怀疑是（质量问题、使用方处理故障小车都是拿着翻板位置抱起小车拿下来的受力点都在翻板电机处底部时间久了容易开裂）处理：更换新底盘,,
换货,"故障：分拣机1号电机解锁，无法锁定。
原因：电机电路板故障。
处理：更换1号总成电机。
",,
快速处理,"故障：1043货架信息无法读取
原因：货架RFID损坏
处理结果：更换新的RFID，货架重新注册",,
快速处理,现场设备巡检内容：1.平台地毯检查 2.挡板位置螺丝紧固   3.翻板紧固螺丝  4.分拣机翻板电机T字架螺丝紧固   5.小车AP天线，线路检查   6.分拣机地脚螺丝，电机底座螺丝紧固检查。7.小车随机跑检查。8.货架j检查，货架螺丝紧固。,,
换货,故障：小车运行不了  原因：霍尔板离线   处理：更换新霍尔板,,
换货,"故障：卸货时减速器打滑
原因：未知
维修：更换翻板总成",,
换货,"故障：货架拉走后还在继续投货
原因：未知
维修：更换读卡器后正常",,
换货,"故障：集包格口离线
原因：按钮盒故障
处理：更换按钮盒，同时对所有按钮盒按钮做检查。",,
换货,"故障：129203  小车跑偏 
129165    小车跑偏
130185    无法开机 
30108    一直启动 
130100    无法充电
129130   无法充电
原因：129203   轮径误差。
129165    主动轮固定件打滑
130185    电源板故障
30108    电源板无24V 
130100    电源板充电模块故障
129130   电源板故障充电模块
处理：129203  校轮径，校霍尔 
129165    更换主动轮固定件
130185    更换电源板 
30108    更换电源板
130100    更换电源板
129130   更换电源板",,
换货,"故障：128523小车霍尔离线
原因：霍尔板故障
处理结果：更换霍尔板",,
换货,"故障：128231小车灯板不亮
原因:灯板故障
处理结果：更换灯板",,
快速处理,"故障：3号台发货口小车出发急停。
原因：发货口称重台固定螺丝松掉，同时下个路径木板磨损出现凹坑。
处理：紧固称重台螺丝，修补木板磨损处。同时112186小车碰撞，上盖螺丝松掉做重新紧固。",,
换货,"故障：车号115210  运行不了    原因：BMSP板5V模块损坏，输出电压低   处理：更换新BMSP版                     故障：车号113190  运行不了    原因：BMSP板5V模块损坏，输出电压低   处理：更换新BMSP版                  故障：车号114140  运行不了    原因：BMSP板5V模块损坏，输出电压低   处理：更换新BMSP版                   故障：车号115117  运行不了    原因：BMSP板5V模块烧坏   处理：更换新BMSP版
故障：车号113082  运行不了    原因：BMSP板5V模块损坏，灯都不亮了   处理：更换新BMSP版",,
换货,"故障：车号115210 充不进电   原因;电池连接线口损坏  处理：更换新电源板                                           
故障：车号115117 充不进电   原因;输出电压低于24V   处理：更换新电源板
",,
换货,故障：小车底盘破损运行不了 原因：多方面因素怀疑是（质量问题、使用方处理故障小车都是拿着翻板位置抱起小车拿下来的受力点都在翻板电机处底部时间久了容易开裂）处理：更换新底盘,,
换货,故障：小车运行不了   原因：BMSP板故障（5V模块输出电压低于5V及 5V模块烧坏）更换新BMSP板,,
换货,故障：小车底盘破损运行不了 原因：多方面因素怀疑是（质量问题、使用方处理故障小车都是拿着翻板位置抱起小车拿下来的受力点都在翻板电机处底部时间久了容易开裂）处理：更换新底盘,,
换货,故障：小车底盘破损运行不了 原因：多方面因素怀疑是（质量问题、使用方处理故障小车都是拿着翻板位置抱起小车拿下来的受力点都在翻板电机处底部时间久了容易开裂）处理：更换新底盘,,
换货,故障：5-1-1设备24号分拣机控制盒黑屏分拣机运行不了   原因：LCD控制盒故障损坏    处理：更换新LCD控制盒,,
换货,故障：车号125008运行不了  原因：霍尔板损坏离线    处理：更换新霍尔板,,
换货,"车号：105159、101088、115152                                                                                                                  
故障：小车底盘破损运行不了 原因：多方面因素怀疑是（质量问题、使用方处理故障小车都是拿着翻板位置抱起小车拿下来的受力点都在翻板电机处底部时间久了容易开裂）处理：更换新底盘",,
换货,故障：6-2-2 23号分拣机X下轴移动时有异响、卡顿的现象    原因：轴承损坏   处理：更换新轴承,,
换货,故障：车号114241不会执行卸货动作  原因：小车翻板电机损坏   处理：更换新翻板电机,,
换货,故障：车号114060小车运行不了    原因：小车车轮电机损坏    处理：更换新车轮电机,,
换货,故障：车号：100051、107125、101033、110149小车底盘破损运行不了   原因：多方面因素怀疑是（质量问题、使用方处理故障小车都是拿着翻板位置抱起小车拿下来的受力点都在翻板电机处底部时间久了容易开裂）处理：更换新底盘,,
换货,故障：小车运行不了  原因：BMSP板损坏故障   处理：更换新BMSP板,,
换货,"故障现象：87087小车无法开机
故障原因：BMSP保险丝烧，换了之后又烧了，需要整个模块检测
结果：更换ACC000470电源模块总成",,
换货,"故障现象：利达尼小车隔一个晚上开机无反应
故障原因;BMSP板保险丝烧坏，更换后过了一晚开机保险丝又烧了
结果：更换电源板总成，检测实际故障原因",,
换货,6-2-3设备30号分拣机：(故障:LCD控制盒损坏分拣机使用不了  原因：操作员拉货架时撞到了LCD控制盒  处理：更换新LCD控制盒,,
换货,6-2-2设备1号分拣机（故障：分拣机X上轴移动时有异响、卡顿的现象，原因：轴承损坏所致  处理：更换 新轴承）,,
换货,小车号：114047   114097   112098   113083   113171   故障：小车底盘破损运行不了 原因：多方面因素怀疑是（质量问题、使用方处理故障小车都是拿着翻板位置抱起小车拿下来的受力点都在翻板电机处底部时间久了容易开裂）处理：更换新底盘,,
换货,小车号：126078 126075 125008  129116  126058  128175  126089   故障：运行多次急停  原因：霍尔板故障  处理：更换新霍尔板,,
换货,故障：小车开不了机    原因：电池包电源板烧坏   处理：更换新电池包,,
换货,小车号：112200 116088  105146  100025       故障：小车底盘破损运行不了  原因：多方面因素怀疑是（质量问题、使用方处理故障小车都是拿着翻板位置抱起小车拿下来的受力点都在翻板电机处底部时间久了容易开裂）处理：更换新底盘,,
换货,（现场环境水雾好多，拆开小车内部好多水珠！）  故障：小车号128042运行不了   原因：BMSP板损坏，电机注册不了   处理更换新BMSP板  。故障：小车号128037运行不了   原因：BMSP板烧坏   处理更换新BMSP板   。  故障：小车号126078运行不了   原因：BMSP板烧坏   处理更换新BMSP板 。                               故障：小车号126075运行不了   原因：BMSP5v模块输出电压低于5伏   处理更换新BMSP板 。故障：小车号128127运行不了   原因：BMSP5v模块输出   处理：更换新BMSP板。故障：小车号131001运行不了   原因：BMSP板损坏，电机注册不了   处理更换新BMSP板  。  故障：小车号128155运行中多次提示24伏输出过电流   原因：BMSP板损坏，   处理更换新BMSP板,,
换货,"故障：小车128037开不了机    原因：电源板损坏  处理：更换新电源板                                                    故障：小车126078开不了机    原因：电源板损坏  处理：更换新电源板                                                   
故障：小车128127开不了机    原因：电源板损坏  处理：更换新电源板                                                 
故障：小车128155电源输出电压低于24伏    原因：电源板损坏  处理：更换新电源板",,
换货,"故障：小车128037添加小车失败    原因：无线模块损坏    处理：更换新无线模块                                   故障：小车128127添加小车失败    原因：无线模块损坏    处理：更换新无线模块                                   
故障：小车128042添加小车失败    原因：无线模块损坏    处理：更换新无线模块",,
换货,4仓车号：114038 114211 114127  114054  114132  114051  故障：小车运行不了  原因：BMSP板损坏   处理：更换新BMSP板,,
换货,4仓车号：114051  114054  114127  故障：小车充不进电   原因：电源板损坏  处理：更换新电源板,,
快速处理,"故障：1：14号机电控箱掉落。2：地毯翘起、破损较多，频繁停车。
原因：1：电箱固定处破损。    2：使用时间较长，车速较快。
处理：1：更换电控箱。           2：客户自己提供地毯，更换地毯60张。",,
换货,"故障：1.服务器电脑出现蓝屏 2.89232小车按键无法操作 3.平台地毯翘起
原因：1.服务器电脑硬盘故障  2.89232小车bmsp板故障  3.平台地毯移动，又轻微变形挤压。
处理：1更换服务器电脑  2.89233更换bmsp板  3.电脑翘起位置用双面加粘贴，用自攻螺丝钢平台直接固定",,
