故障类别,软/硬件,部件,标题,描述,原因分析,解决方案,Unnamed: 7,Unnamed: 8,Unnamed: 9
飞箱异常,TOF异常,,104021拉箱异常,"拉箱<-货架
飞箱: 104021 箱位: (A002)11-001
尝试1次后，导致不具备拉箱条件",未知,"1、提供弹窗信息和读取TOF日志。

2、检查TOF是否在线。
-是：进入步骤3
-否：1、查看TOF线束有无松动。
     2、检查TOF指示灯是否快闪。
     3、更换TOF。（更换TOF需要写号）

3、检查飞箱倾角是否正常。
-是：进入步骤4 
-否：通过飞箱操控界面调整倾角。（保证Z轴垂直）

4、检查该货位偏移量是否正常。
-是：进入步骤5
-否：重新校准偏移量。

5、检查TOF表面是否脏污。
-是：用干净的毛巾或者布擦干净
-否：进入步骤6

6、检查TOF安装螺丝是否松动
-是：紧固螺丝
-否：联系售后进行解决",1.0,,
飞箱异常,TOF异常,,飞箱: 106001 箱位: (A002)16-012......两侧都没找到边,拉箱<-货架  飞箱: 106001 箱位: (A002)16-012......两侧都没找到边,怀意是tof测量数据不准，没有准确测量出料箱位置,"1、提供弹窗信息和读取TOF日志。

2、检查TOF是否在线。
-是：进入步骤3
-否：1、查看TOF线束有无松动。
     2、检查TOF指示灯是否快闪。
     3、更换TOF。（更换TOF需要写号）

3、检查飞箱倾角是否正常。
-是：进入步骤4 
-否：通过飞箱操控界面调整倾角。（保证Z轴垂直）

4、检查该货位偏移量是否正常。
-是：进入步骤5
-否：重新校准偏移量。

5、检查TOF表面是否脏污。
-是：用干净的毛巾或者布擦干净
-否：进入步骤6

6、检查TOF安装螺丝是否松动
-是：紧固螺丝
-否：联系售后进行解决",1.0,,
飞箱异常,其它,,101021飞箱掉电,"项目名称：日本SIG 
报警消息：等待地面车: 226072 到达接驳位超时。
请检查地面车状态，点击已解决继续等待，异常时中止当前工单",101021飞箱24v掉电没有弹出报警，飞箱下架过程中碰撞地面车导致急停，在某一个位置充电有问题,"1、检查触点模块线束是否有松动。
-是：重新插拔线束。
-否：进入步骤2

2、检查充电触点与铜线的接触面是否脱落或磨损异常。
-是：更换触点。
-否：进入步骤3

3、用万用表量电源板红色和黑色5芯接插件是否有电。
-是：如果有电则需检查铜线是否脏污或异常磨损。
-否：联系售后人员",1.0,,
飞箱异常,飞箱定位失效,,到达接驳位超时,等待地面车: 219193 到达接驳位超时。请检查地面车状态  点击已解决继续等待，异常时中止当前工单,1.实际是因为101021掉电后失去定位导致的小车在原地长时间等待；,"1、检查触点模块线束是否有松动。
-是：重新插拔线束。
-否：进入步骤2

2、检查充电触点与铜线的接触面是否脱落或磨损异常。
-是：更换触点。
-否：进入步骤3

3、用万用表量电源板红色和黑色5芯接插件是否有电。
-是：如果有电则需检查铜线是否脏污或异常磨损。
-否：联系售后人员",1.0,,
客户操作,,,发生了区域锁定,"地面车 219254 区域急停 机器人: 219254 发生了区域锁定,坐标: 9,30,错误码: 21C,描述激光雷达避障急停,检查并复位",客户误碰导致的,"1、提供弹窗信息和读取地面车日志

2、查看雷达图检查有无异物遮挡。
-有：清理异物。
-无：进入步骤3

3、检查雷达是否在线。
-是：进入步骤4
-否：1、检查雷达线是否松动或线束是否固定
     2、检查雷达灯是否旋转闪烁。

4、开机状态下用手转动小车主动轮，是否能转动。
-是：拆掉轮胎，紧固轮胎安装底座的螺丝。
-否：进入步骤5

5、观察是否打滑，或地面不平导致。
-是：自行解决不了的话可以联系售后人员协助解决。
-否：联系售后人员",1.0,,
客户操作,,,发生了区域锁定,"地面车 219213 区域急停 机器人: 219213 发生了区域锁定,坐标: 12,30,错误码: 242,描述执行动作时,没有到达目标点附近",地面车位置偏移  在地毯上校准一下定位 重定位,"1、提供弹窗信息和读取地面车日志

2、查看雷达图检查有无异物遮挡。
-有：清理异物。
-无：进入步骤3

3、检查雷达是否在线。
-是：进入步骤4
-否：1、检查雷达线是否松动或线束是否固定
     2、检查雷达灯是否旋转闪烁。

4、开机状态下用手转动小车主动轮，是否能转动。
-是：拆掉轮胎，紧固轮胎安装底座的螺丝。
-否：进入步骤5

5、观察是否打滑，或地面不平导致。
-是：自行解决不了的话可以联系售后人员协助解决。
-否：联系售后人员",1.0,,
客户操作,,,发生了区域锁定,"地面车 226090 区域急停 机器人: 226090 发生了区域锁定,坐标: 28,30,错误码: 21C,描述激光雷达避障急停,检查并复位",现场客户碰到了地面车,"1、提供弹窗信息和读取地面车日志

2、查看雷达图检查有无异物遮挡。
-有：清理异物。
-无：进入步骤3

3、检查雷达是否在线。
-是：进入步骤4
-否：1、检查雷达线是否松动或线束是否固定
     2、检查雷达灯是否旋转闪烁。

4、开机状态下用手转动小车主动轮，是否能转动。
-是：拆掉轮胎，紧固轮胎安装底座的螺丝。
-否：进入步骤5

5、观察是否打滑，或地面不平导致。
-是：自行解决不了的话可以联系售后人员协助解决。
-否：联系售后人员",1.0,,
地面车异常,直行偏航角度过大,,发生了区域锁定,"地面车 170100 区域急停 机器人: 170100 发生了区域锁定,坐标: 4,22,错误码: 21B,描述定位偏差较大或直行5秒/超2米无定位,检查并复位",1.根据日志雷达图分析， 170100小车有有段路程雷达离线，导致报错。,"1、提供弹窗信息和读取地面车日志

2、查看雷达图检查有无异物遮挡。
-有：清理异物。
-无：进入步骤3

3、检查雷达是否在线。
-是：进入步骤4
-否：1、检查雷达线是否松动或线束是否固定
     2、检查雷达灯是否旋转闪烁。

4、开机状态下用手转动小车主动轮，是否能转动。
-是：拆掉轮胎，紧固轮胎安装底座的螺丝。
-否：进入步骤5

5、观察是否打滑，或地面不平导致。
-是：自行解决不了的话可以联系售后人员协助解决。
-否：联系售后人员",1.0,,
地面车异常,区域急停,,205110 区域急停,"项目名称：青浦山姆 
报警消息：地面车 205110 区域急停 机器人: 205110 发生了区域锁定,坐标: 16,18,错误码: 21F,描述Scan radar offli",根据车服操作界面显示该地面车雷达频繁掉线怀疑雷达线接触问题,"1、提供弹窗信息和读取地面车日志

2、检查雷达是否在线。
-是：进入步骤3
-否：1、检查雷达线是否松动或线束是否固定
     2、检查雷达灯是否旋转闪烁。

3、开机状态下用手转动小车主动轮，是否能转动。
-是：拆掉轮胎，紧固轮胎安装底座的螺丝。
-否：联系售后人员解决。
",1.0,,
飞箱异常,其它,,车服报警料箱找不到,"Warning
2025-08-04 04:32:10.961箱:05870没有找到
",查到到料箱位置,"1.记录料箱号并在rcs日志中查询料箱的具体位置
2.手动控制查询位置的飞箱进行手动扫描",1.0,,
飞箱异常,TOF异常,,飞箱异常,"请解决:推箱->地面车飞箱:104021地面车:205110推箱失败,箱子重新拉回拉箱机,请人工检查箱内物品是否超高",查看监控没有出现箱内超高的情况，可能是tof异常,"1、提供弹窗信息和读取飞箱日志

2、检查TOF是否脏污。
-是：用干净的布擦TOF
-否：进入步骤3

3、检查箱子是否在正确箱位。
-是：进入步骤4.
-否：箱子摆放到正确位置。

4、检查物品是否超出箱子。
-是：整理箱子里面的物品
-否：进入步骤5

5、检查拉箱机是否有故障
-是：解决相应的故障
-否：进入步骤6

6、检查飞箱是否垂直。
-是：联系售后人员解决
-否：调整飞箱倾角。",1.0,,
飞箱异常,TOF异常,,检测不到在飞箱上的料箱,料箱在飞箱上，但飞箱检测不到料箱，手动小车无法过去接驳位接箱,,"1、提供弹窗信息和读取TOF日志。

2、检查TOF是否在线。
-是：进入步骤3
-否：1、查看TOF线束有无松动。
     2、检查TOF指示灯是否快闪。
     3、更换TOF。（更换TOF需要写号）

3、检查飞箱倾角是否正常。
-是：进入步骤4 
-否：通过飞箱操控界面调整倾角。（保证Z轴垂直）

4、检查该货位偏移量是否正常。
-是：进入步骤5
-否：重新校准偏移量。

5、检查TOF表面是否脏污。
-是：用干净的毛巾或者布擦干净
-否：进入步骤6

6、检查TOF安装螺丝是否松动
-是：紧固螺丝
-否：联系售后进行解决",1.0,,
地面车异常,区域急停,,小车区域急停,Please Resolve:FloorBot 219165 emergencystop in area Robot:219165 has experienced,,"1、提供弹窗信息和读取地面车日志

2、查看雷达图检查有无异物遮挡。
-有：清理异物。
-无：进入步骤3

3、检查雷达是否在线。
-是：进入步骤4
-否：1、检查雷达线是否松动或线束是否固定
     2、检查雷达灯是否旋转闪烁。

4、开机状态下用手转动小车主动轮，是否能转动。
-是：拆掉轮胎，紧固轮胎安装底座的螺丝。
-否：进入步骤5

5、观察是否打滑，或地面不平导致。
-是：自行解决不了的话可以联系售后人员协助解决。
-否：联系售后人员",1.0,,
飞箱异常,料箱位置不正,,飞箱补推3次后失败,飞箱106022推箱在小车上205111，推箱位置不正，小车微动开关检测不到料箱,推箱时箱子在小车上歪了,"1、提供弹窗信息和读取飞箱日志。

2、检查TOF是否脏污或螺丝松动。
-是：擦干净TOF/紧固螺丝
-否：进入步骤3

3、查看地面车停的位置是否准确。
-是：进入步骤4
-否：通过操控界面调整地面车位置

4、检查拉箱机是否倾斜。
-是：找到倾斜原因并解决，如未发现明显原因，可以电机回零继续观察
-否：进入步骤5

5、检查接驳位偏移量是否正常，可以和相邻接驳位对比下
-是：联系售后人员解决。
-否：调整偏移量。",1.0,,       
飞箱异常,其它,,飞箱推箱失败,飞箱推箱失败,查看监控：物品超高,"1、取出超高货物。
2、“终止任务”“启动任务”，飞箱会重新拉箱。",1.0,,
飞箱异常,TOF异常,,飞箱异常,"StockRackPlease Resolve:Push bin ->AirRob:106009 binPosition:(A018)06-017推箱失败,箱子重新拉回拉箱机,请人工检查箱内物品是否超高",可能tor检测异常，但是看监控里，货物没有超过限高,"1、提供弹窗信息和读取TOF日志。

2、检查TOF是否在线。
-是：进入步骤3
-否：1、查看TOF线束有无松动。
     2、检查TOF指示灯是否快闪。
     3、更换TOF。（更换TOF需要写号）

3、检查飞箱倾角是否正常。
-是：进入步骤4 
-否：通过飞箱操控界面调整倾角。（保证Z轴垂直）

4、检查该货位偏移量是否正常。
-是：进入步骤5
-否：重新校准偏移量。

5、检查TOF表面是否脏污。
-是：用干净的毛巾或者布擦干净
-否：进入步骤6

6、检查TOF安装螺丝是否松动
-是：紧固螺丝
-否：联系售后进行解决
",1.0,,
客户操作,,,"飞箱: 104063 箱位: (A006)06-030.........推箱失败,箱子重新拉回拉箱机,请人工检查箱内物品是否超高","推箱->货架  飞箱: 104063 箱位: (A006)06-030.........推箱失败,箱子重新拉回拉箱机,请人工检查箱内物品是否超高",物品超高，无法推箱,"1、取出超高货物。
2、“终止任务”“启动任务”，飞箱会重新推箱。",1.0,,
客户操作,,,飞箱内物品超高,"推箱->货架  飞箱: 106002 箱位: (A003)05-029.........推箱失败,箱子重新拉回拉箱机,请人工检查箱内物品是否超高",1、飞箱内物品超高，导致推箱失败,"1、取出超高货物。
2、“终止任务”“启动任务”，飞箱会重新推箱。",1.0,,
客户操作,,,工作站物品超高（小车走偏）,"报警消息：地面车 226091 区域急停 机器人: 226091 发生了区域锁定,坐标: 25,31,错误码: 242,描述执行动作时,没有到达目标点附近","1、工作站人员摆放物品时超高，小车经过工作站时撞到防护栏，导致走偏
",1、加强操作人员培训。,1.0,,
客户操作,,,发生了区域锁定,"地面车 249021 区域急停 ロボット: 249021 エリアロックが発生しました、座標: 43,63、エラーコード: 234、説明 目的地マップ情報取得失敗",1.人员误触小车触发区域急停,1、加强操作人员培训。,1.0,,
客户操作,,,"推箱->货架  飞箱: 106005 箱位: (A010)06-027.........推箱失败,箱子重新拉回拉箱机,请人工检查箱内物品是否超高","推箱->货架  飞箱: 106005 箱位: (A010)06-027.........推箱失败,箱子重新拉回拉箱机,请人工检查箱内物品是否超高",物品超高,"1、取出超高货物。
2、“终止任务”“启动任务”，飞箱会重新推箱。",1.0,,
客户操作,,,地面车 219166 区域急停 Robot: 219166 has experienced,地面车 219166 区域急停 Robot: 219166 has experienced,1.工作人员，按压地面车导致转弯后角度偏移,1、加强操作人员培训。,1.0,,
客户操作,,,"推箱->货架  飞箱: 106001 箱位: (A001)03-025.........推箱失败,箱子重新拉回拉箱机,请人工检查箱内物品是否超高","推箱->货架  飞箱: 106001 箱位: (A001)03-025.........推箱失败,箱子重新拉回拉箱机,请人工检查箱内物品是否超高",物品超高,"1、取出超高货物。
2、“终止任务”“启动任务”，飞箱会重新推箱。",1.0,,
客户操作,,,"推箱->货架  飞箱: 106002 箱位: (A003)16-011.........推箱失败,箱子重新拉回拉箱机,请人工检查箱内物品是否超高","推箱->货架  飞箱: 106002 箱位: (A003)16-011.........推箱失败,箱子重新拉回拉箱机,请人工检查箱内物品是否超高",物品超高,"1、取出超高货物。
2、“终止任务”“启动任务”，飞箱会重新推箱。",1.0,,
客户操作,,,No running position,拉箱<-货架   飞箱: 106001 箱位: (A001)04-015..........No running position:9 目标:2.0实际:153.8,飞箱超高导致没有拉出,"1、提供弹窗信息和读取飞箱日志

2、检查TOF是否脏污。
-是：用干净的布擦TOF
-否：进入步骤3

3、检查箱子是否在正确箱位。
-是：进入步骤4.
-否：箱子摆放到正确位置。

4、检查物品是否超出箱子。
-是：整理箱子里面的物品
-否：进入步骤5

5、检查拉箱机是否有故障
-是：解决相应的故障
-否：进入步骤6

6、检查飞箱是否垂直。
-是：联系售后人员解决
-否：调整飞箱倾角。",1.0,,
客户操作,,,工作站区域急停（前方有障碍物）,"地面车 219211 区域急停 机器人: 219211 发生了区域锁定,坐标: 18,3,错误码: 21D,描述直行偏航角度太大(>15°),检查并复位",1、小车前方有障碍物，导致急停,"1、清理干净障碍物。
2、小车没偏的话可以直接点“已解决”
3、小车偏了需要放地毯上或通过操控界面调整。",1.0,,
客户操作,,,发生了区域锁定,"地面车 219240 区域急停 机器人: 219240 发生了区域锁定,坐标: 25,31,错误码: 242,描述执行动作时,没有到达目标点附近",1.料箱内物料超高导致撞击上工作站上挡边，小车偏航,1、加强操作人员培训。,1.0,,
客户操作,,,发生了区域锁定,"地面车 80076 区域急停 机器人: 80076 发生了区域锁定,坐标: 9,20,错误码: 234,描述Destination no navigation positioning",1.操作台有杂物导致小车撞到。,"1、清理干净障碍物。
2、小车没偏的话可以直接点“已解决”
3、小车偏了需要放地毯上或通过操控界面调整。",1.0,,
客户操作,,,发生了区域锁定,"地面车 80076 区域急停 机器人: 80076 发生了区域锁定,坐标: 8,20,错误码: 234,描述Destination no navigation positioning",查看视频发现是客户的包装纸箱堆积到电梯上，导致小车剐蹭纸箱,"1、清理干净障碍物。
2、小车没偏的话可以直接点“已解决”
3、小车偏了需要放地毯上或通过操控界面调整。",,,
客户操作,,,发生了区域锁定,"地面车 219193 区域急停 机器人: 219193 发生了区域锁定,坐标: 24,2,错误码: 21C,描述激光雷达避障急停,检查并复位",1.工作人员触发激光导致触发急停,1、加强操作人员培训。,,,
客户操作,,,飞箱货物过高,"Please Resolve:Push bin ->StockRackAirRob:106008 binPosition:(A015)12-009推箱失败,箱子重新拉回拉箱机,请人工检查箱内物品是否超高",推箱时料箱内货物超过料箱高度，推箱失败,"1、取出超高货物。
2、“终止任务”“启动任务”，飞箱会重新推箱。",,,
客户操作,,,RS-PDD2507240029 1波次取消,RS-PDD2507240029 1波次取消,客户说波次不做了 需要结束掉,,,,
客户操作,,,扫码台断电,有一个扫码台位置工控机和相机都突然黑屏不亮，无法开机。,失去供电，需要现场排查。,"1、检查工控机电源接口是否紧固。                                                                  
-是：插紧接口
-否：进入步骤2
2、更换适配器供电的方式查看问题是否还存在。
-是：建议联系专业的售后技术支持人员获得帮助。
-否：问题解决",,,
客户操作,,,发生了区域锁定,"地面车 219249 区域急停 机器人: 219249 发生了区域锁定,坐标: 6,30,错误码: 242,描述执行动作时,没有到达目标点附近",1.小车料箱内物品超高导致撞到工作站上挡边后定位偏离,"1、取出超高物品。
2、小车没偏的话可以直接点“已解决”
3、小车偏了需要放地毯上或通过操控界面调整。",,,
客户操作,,,地面车 219214 区域急停,"项目名称：日本SIG 
报警消息：地面车 219214 区域急停 机器人: 219214 发生了区域锁定,坐标: 7,31,错误码: 242,描述执行动作时,没有到达目标点附近",1.原因为小车超高超高导致与工作站碰撞。,"1、取出超高物品。
2、小车没偏的话可以直接点“已解决”
3、小车偏了需要放地毯上或通过操控界面调整。",,,
客户操作,,,beltin没到位,拉箱<-货架   飞箱: 106004 箱位: (A007)17-005..........拉箱失败:beltin没到位(192.5).(10),原因为料箱超高卡住导致拉箱机拉不出来,"1、取出超高货物。
2、“终止任务”“启动任务”，飞箱会重新拉箱。",,,
客户操作,,,工作站区域急停（物品超高）,"地面车 219231 区域急停 机器人: 219231 发生了区域锁定,坐标: 25,31,错误码: 242,描述执行动作时,没有到达目标点附近",1、工作站人员摆放物品时超高，小车经过工作站时撞到防护栏，导致走偏,"1、取出超高物品。
2、小车没偏的话可以直接点“已解决”
3、小车偏了需要放地毯上或通过操控界面调整。",,,
客户操作,,,区域急停（检测到人员）,"地面车 219225 区域急停 机器人: 219225 发生了区域锁定,坐标: 9,3,错误码: 21C,描述激光雷达避障急停,检查并复位",1、根据日志判断，小车在工作站区域检测到人员走动，导致区域急停,"1、小车没偏的话可以直接点“已解决”
2、小车偏了需要放地毯上或通过操控界面调整。",,,
客户操作,,,工作站区域急停（物品超高）,"地面车 219198 区域急停 机器人: 219198 发生了区域锁定,坐标: 25,30,错误码: 242,描述执行动作时,没有到达目标点附近",1、由于现场工作人员放入的物品超高，小车通过坐姿工作站下面时，超高的物品撞到护栏，导致走偏发生急停,"1、取出超高物品。
2、小车没偏的话可以直接点“已解决”
3、小车偏了需要放地毯上或通过操控界面调整。",,,
客户操作,,,飞箱异常报警,"Please Resolve:Push bin ->StockRackAirRob: 106002 binPosition:(A004)09-039推箱失败,箱子重新拉回拉箱机,请人工检查箱内物品是否超高",货物超过料箱高度,"1、取出超高货物。
2、“终止任务”“启动任务”，飞箱会重新推箱。",,,
客户操作,,,客户要魔毯的RFID编号,客户要魔毯的RFID编号,在地图路径里发给客户Map上层.locate,,,,
客户操作,,,物品超高（工作站区域）,"地面车 219233 区域急停 机器人: 219233 发生了区域锁定,坐标: 24,30,错误码: 242,描述执行动作时,没有到达目标点附近",1、由于现场工作人员放入的物品超高，小车通过坐姿工作站下面时，超高的物品撞到护栏，导致走偏发生急停,"1、取出超高物品。
2、小车没偏的话可以直接点“已解决”
3、小车偏了需要放地毯上或通过操控界面调整。",,,
客户操作,,,发生了区域锁定,"地面车 219234 区域急停 机器人: 219234 发生了区域锁定,坐标: 25,30,错误码: 242,描述执行动作时,没有到达目标点附近",1.小车料箱内物品超高导致与工作站上档边碰撞,"1、取出超高物品。
2、小车没偏的话可以直接点“已解决”
3、小车偏了需要放地毯上或通过操控界面调整。",,,
客户操作,,,更换地毯,客户更换地毯,,,,,
客户操作,,,物品超高（工作站区域）,"地面车 226062 区域急停 机器人: 226062 发生了区域锁定,坐标: 16,30,错误码: 21C,描述激光雷达避障急停,检查并复位",1、由于现场工作人员放入的物品超高，小车通过坐姿工作站下面时，超高的物品撞到护栏，导致走偏发生急停,"1、取出超高物品。
2、小车没偏的话可以直接点“已解决”
3、小车偏了需要放地毯上或通过操控界面调整。",,,
客户操作,,,地面车 219245 区域急停,"地面车 219245 区域急停 机器人: 219245 发生了区域锁定,坐标: 24,2,错误码: 21C,描述激光雷达避障急停,检查并复位",1、小车经过工作站区域时检测到现场人员，导致小车急停,"1、小车没偏的话可以直接点“已解决”
2、小车偏了需要放地毯上或通过操控界面调整。",,,
客户操作,,,地面车 219240 区域急停,"报警消息：地面车 219240 区域急停 机器人: 219240 发生了区域锁定,坐标: 24,2,错误码: 21C,描述激光雷达避障急停,检查并复位",1、小车经过工作站区域时检测到现场人员，导致小车急停,"1、小车没偏的话可以直接点“已解决”
2、小车偏了需要放地毯上或通过操控界面调整。",,,
客户操作,,,物品超高（工作站区域）,"报警消息：地面车 219177 区域急停 机器人: 219177 发生了区域锁定,坐标: 4,1,错误码: 242,描述执行动作时,没有到达目标点附近",1、由于现场工作人员放入的物品超高，小车通过坐姿工作站下面时，超高的物品撞到护栏，导致走偏发生急停,"1、取出超高物品。
2、小车没偏的话可以直接点“已解决”
3、小车偏了需要放地毯上或通过操控界面调整。",,,
客户操作,,,小车撞到掉在平台上的衣服走歪,客户描述有机器人跑歪了，需要magview远程重新找回定位,,1、通过小车操控界面调整位置解决。,,,
客户操作,,,RCS重新启动后，机器人没有重新卸货，带着货物返回了发货口,RCS重新启动后，机器人没有重新卸货，带着货物返回了发货口,分析日志：现场工人切换了随机跑模式，导致任务被清空。,1、加强操作人员培训。,,,
客户操作,,,219209 区域急停,"地面车 219209 区域急停 机器人: 219209 发生了区域锁定,坐标: 4,2,错误码: 21C,描述激光雷达避障急停,检查并复位",人工拣货时干预,1、加强操作人员培训。,,,
客户操作,,,101039物品超高,"项目名称：流山UA 
报警消息：トート押込む->棚
AirRob: 101039 ロケーション: (A039)09-021
推箱失败,箱子重新拉回拉箱机,请人工检查箱内物品是否超高",人工摆放物品超高导致飞箱推不进去,"1、取出超高货物。
2、“终止任务”“启动任务”，飞箱会重新推箱。",,,
客户操作,,,小车不发车,客户扫描后小车不发车,"1.不发车原因WCS和RCS没有连通
2.不互通原因WCS服务器的防火墙被打开","1、检查两台电脑防火墙是否打开。
-是：关闭防火墙
-否：进入步骤2
2、RCS是否打开。
-是：进入步骤3
-否：打开RCS 
3、检查电脑网线是否正常。
-是：联系售后人员解决
-否：重新插拔网线或更换。",,,
客户操作,,,急停频繁,小车在特点区域急停频繁，,1，客户整理地毯的时候，把部分地毯放错位置，没有放回原位,"1、检查RFID位置是否变动。
2、检查地毯是否翘起或磨损严重。
3、检查磁条图是否正常。
4、检查地毯方向是否正确。",,,
