序号,现象,排查指引,备注
11,机器人跑偏,"1. 检查地毯上是否有异物，如有请清理异物
- 观察是否继续报错?
- 否：问题解决
- 是：进入步骤2

2. 检查轮子是否有松动或损坏，尝试重新安装或更换
- 观察是否继续报错?
- 否：问题解决
- 是：进入步骤3

3. 按照视频指引校准霍尔
- 观察是否继续报错?
- 否：问题解决
- 是：进入步骤4

4. 按照视频指引更换霍尔板
- 观察是否继续报错?
- 否：问题解决
- 是：进入步骤5

5. 按照视频指引校准轮径
- 观察是否继续报错?
- 否：问题解决
- 是：建议联系专业的售后技术支持人员获得帮助

",
12,机器人转向不灵活,"1. 检查万向轮是否有异物缠绕，尝试清理异物
- 观察是否继续报错?
- 否：问题解决
- 是：进入步骤2

2. 检查驱动轮是否有松动或损坏，尝试重新安装或更换
- 观察是否继续报错?
- 否：问题解决
- 是：进入步骤3

3. 检查底盘是否有异常，尝试重新安装或更换
- 观察是否继续报错?
- 否：问题解决
- 是：进入步骤4

4. 检查霍尔板是否有损坏，尝试重新安装或更换
- 观察是否继续报错?
- 否：问题解决
- 是：建议联系专业的售后技术支持人员获得帮助

",
13,机器人堵塞,"机器人堵塞的原因比较复杂，可能需要对地图进行重新规划，建议直接联系专业的售后技术支持人员获得帮助。

",
14,无法正常注册电机,"1. 多尝试几次注册电机
- 确认是否能注册成功?
- 是：问题解决
- 否：进入步骤2

2. 在RCS界面查看机器人的硬件信息，确认电机是否在线
- 是：进入步骤4
- 否：进入步骤3

3. 拆机检查电机是否有异常，尝试重新插拔电机连接线或更换电机并注册
- 确认是否能注册成功?
- 是：问题解决
- 否：进入步骤4

4. 拆机检查BMSP板是否损坏，尝试更换BMSP板并重新注册
- 确认是否能注册成功?
- 是：问题解决
- 否：建议联系专业的售后技术支持人员获得帮助

",
15,机器人主动轮晃动,"1. 检查驱动轮是否有松动或损坏，尝试重新安装或更换
- 观察是否有问题?
- 否：问题解决
- 是：进入步骤2

2. 检查底盘是否有异常，尝试重新安装或更换
- 观察是否有问题?
- 否：问题解决
- 是：建议联系专业的售后技术支持人员获得帮助

",
16,机器人刹车时会抖动,"拆机检查万向轮是否存在异常（如：支架断裂、轮子移位、异物缠绕等），如有请清理或更换后再观察。

",
17,机器人按键指示灯不亮,"拆机检查按键板指示灯是否损坏，如有请更换后再观察。

",
18,机器人按键无反应,"拆机检查按键板和BMSP板是否损坏，尝试更换按键板和BMSP板再观察。

",
19,机器人向格口反方向卸货,"检查RCS配置文件中皮带机的卸货方向是否正常，如果不正确请修改后再观察。

",
20,轮子电机锁不紧,"1. 检查轮子螺丝是否松动
- 未松动：进入步骤2
- 松动：拧紧螺丝

2. 打开轮子手动转动抱箍是否可以转动
- 是：进入步骤3
- 否：重新拆装抱箍

3. 拔插电机线是否恢复
- 是：问题解决
- 否：进入步骤4

4. 更换电机并重新注册
- 是否解决问题
- 是：问题解决
- 否：建议联系专业的售后技术支持人员获得帮助
",
21,机器人更换BMSP板之后无法添加到RCS中,更换BMSP板后需要修改机器人ID，建议联系专业的售后技术支持人员获取帮助,
22,机器人移动无力,"1. 检查轮子是否有松动或损坏，尝试重新安装或更换
   - 观察是否还有问题?
     - 否：问题解决
     - 是：进入步骤2

2. 检查电机是否正常，尝试重新安装或更换
   - 观察是否还有问题?
     - 否：问题解决
     - 是：进入步骤3

3. 按照视频指引校准霍尔
   - 观察是否还有问题?
     - 否：问题解决
     - 是：进入步骤4

4. 检查霍尔板是否有损坏，尝试重新安装或更换
   - 观察是否还有问题?
     - 否：问题解决
     - 是：进入步骤5

5. 确认是否可以读取到地毯的RFID值
   - 否：进入步骤6
   - 是：建议联系专业的售后技术支持人员获得帮助

6. 更换地毯，并重新修改码文件中此坐标位置的RFID值
   - 观察是否还有问题?
     - 是：建议联系专业的售后技术支持人员获得帮助
     - 否：问题解决",
23,机器人原地转动,"1.机器人在开机的状态下检查左右主动轮是否能转动
   -是：（1）检查轮子是否松动，松动则紧固一下，没有进入第二小步（2）打开轮子转动抱箍是否能转动，能则重新安装一下抱箍，不能则进行第三小步。（3）重新注册电机。以上三小步若未解决则进入步骤3
   -否：进入步骤2
2.检查万向轮是否有异物缠绕
  -是：清理异物
  -否：进入步骤3
3.建议联系专业的售后技术支持人员获得帮助",
24,机器人卸货动作无力,"1.检查在手动模式下翻板电机状态是否正常
2.进行重新注册（不成功联系专业售后技术支持人员获得帮助 ）",
25,小车翻板电机声音过大,更换翻板电机并重新注册,
26,电池传感器板子接头连接片断掉,更换传感器板子,
27,皮带小车的转动量不对,"确认json文件中""DefaultTrayCrossbeltValue"":的值？",
28,翻板没有完整合上,"1.关机一分钟后再开启
2.重新注册",
29,机器人撞车导致急停,现场RCS电脑打开了时间同步，机器人的行走调度严重依赖系统时间，如果时间变化太大，会打乱RCS的调度，关闭时间同步后恢复,
30,机器人频繁急停,新加入的机器人需要先校准轮径,
31,,,
32,,,
33,,,
34,,,
