序号,现象,排查指引,备注
11,电源欠压,"1. 检查电源输出是否正常，确保电源能正常输出或尝试更换电源板，观察是否恢复正常
- 是：问题解决
- 否：建议联系专业的售后技术支持人员获取帮助",
12,电源故障,"1. 检查电源输出是否正常，确保电源能正常输出或尝试更换电源板，观察是否恢复正常
- 是：问题解决
- 否：建议联系专业的售后技术支持人员获取帮助",
13,电机过载,"1. 查看是否有异物阻挡分拣机的运动，清理异物并点击继续按钮，观察是否恢复正常
- 是：问题解决
- 否：进入步骤2

2. 重启分拣机，观察是否恢复正常
- 是：问题解决
- 否：进入步骤3

3. 检查轴承是否损坏，尝试更换轴承，观察是否恢复正常
- 是：问题解决
- 否：建议联系专业的售后技术支持人员获取帮助","重启？
轴承损坏？"
14,电机无绝对0位,"1. 重启分拣机，观察是否恢复正常
- 是：问题解决
- 否：进入步骤2

2. 尝试重新插拔或更换无绝对0位的电机连接线，观察是否恢复正常
- 是：问题解决
- 否：进入步骤3

3. 尝试更换无绝对0位的电机并重新注册，观察是否恢复正常
- 是：问题解决
- 否：建议联系专业的售后技术支持人员获取帮助",
15,电机力矩过大,"建议联系专业的售后技术支持人员获取帮助

",
16,电机过温,"1. 触摸过温电机是否温度较高
- 是：电机可能损坏，尝试更换电机
- 否：进入步骤2

2. 尝试重新拔插电机，观察是否恢复正常
- 是：问题解决
- 否：建议联系专业的售后技术支持人员获取帮助

",电机故障？
17,突然断电、频繁断电、频繁重启,"1. 查看电梯板是否故障，尝试更换电梯板，观察是否恢复正常
- 是：问题解决
- 否：建议联系专业的售后技术支持人员获取帮助",电梯板故障？
18,LCD触屏无反应,"1. 尝试重新插拔LED显示屏，观察是否恢复正常
- 是：问题解决
- 否：进入步骤2

2. 重启分拣机，观察是否恢复正常
- 是：问题解决
- 否：进入步骤3

3. 尝试更换LED显示屏，观察是否恢复正常
- 是：问题解决
- 否：建议联系专业的售后技术支持人员获取帮助",重启？
19,彩虹灯不会亮,"1. 检查输出板的指示灯是否正常闪烁
- 否：更换输出板，观察是否恢复正常
- 是：问题解决
- 否：进入步骤2
- 是：进入步骤2

2. 更换彩虹灯，观察是否恢复正常
- 是：问题解决
- 否：建议联系专业的售后技术支持人员获取帮助",输出板故障？
20,分拣机重启不了,断开电控箱的开关后重新接通电源，如果还有问题建议联系专业的售后技术支持人员获取帮助,电控箱开关断电再开机
21,4号电机旋转不到位,"1. 检查电机是否有异物阻挡旋转、轧带或连接线等，尝试调整位置，观察是否恢复正常
- 是：问题解决
- 否：进入步骤2

2. 尝试更换减速器，观察是否恢复正常
- 是：问题解决
- 否：建议联系专业的售后技术支持人员获取帮助",减速器故障？
22,X下轴移动卡顿、异响,"1. 检查皮带是否有问题，尝试检修或更换皮带，观察是否恢复正常
- 是：问题解决
- 否：进入步骤2

2. 检查轴承是否有问题，尝试检修或更换轴承，观察是否恢复正常
- 是：问题解决
- 否：建议联系专业的售后技术支持人员获取帮助",轴承损坏？
23,分拣机不动了,"1.检查LED屏幕是否有报错
  -有：电机报错，检查电机和连接线，网络报错：检查网络和交换机，电机过载：检查是否有东西阻止分拣机运动、皮带是否松动等
  -无：进入步骤2
2.检查是否有电源输入
  -有：进入步骤3
  -无：检查电源和电梯板
3.重启分拣机回零是否解决问题
  -是：问题解决
  -否：建议联系专业的售后技术支持人员获取帮助","检查分拣机LCD显示什么报错
检查分拣机是否有电源输入
检查分拣机网络是否断开
如果都正常可以尝试重启操作"
24,分拣机卡顿,"1.分拣机是停止不动过一会动还是运动的时候抖动
  -卡住不动有延迟：进入步骤2
  -抖动：进入步骤3
2.检查分拣机网络是否正常
  -否：检查网络和小交换机接口
  -是进入步骤5
3.移动Y轴查看是否有卡顿
  -有：打开滑块检查或更换、滑轨是否有异常
  -否：进入步骤4
4.检查皮带是否松动
  -是：紧固皮带
  -否进入步骤5
5.重启分拣机尝试
  是否解决问题
  -是：问题解决
  -否：建议联系专业的售后技术支持人员获取帮助","检查滑块是否润滑
或检查线轨的皮带是否松"
25,投错框,具体问题具体分析，可能是软件可能是硬件,调整投货角度参数
26,分拣机X轴皮带异常,更换皮带,更换皮带？
27,每次卸完货后都会停止并报警,重新拔插翻板传感器的连接线后恢复正常,
28,急停按钮拍下无法锁住,更换急停按钮并进行绑定,
29,待机模式（交换机板上端口灯都不亮）,"1.检查网络是否正常，交换机板上的网口灯是否正常亮起
   否：如果交换机都不亮则更换交换机板，如果就当前网口不正常尝试更换网口
   是：建议联系专业的售后技术支持人员获取帮助",交换机故障？
30,分拣机提示：UNB,"1.查看电梯板是否故障，更换电梯板
  更换后是否解决
  -是：问题解决
  -否：建议联系专业的售后技术支持人员获取帮助",电梯板故障  单元电压不平衡？
31,分拣机托盘无法旋转,3D工具手动测试旋转，无法转动，观察重启动作，判断四号电机减速器坏了。更换减速器后恢复正常。,工单：SHD20250521001
32,1号电机过载,插拔连接线后恢复正常,工单：SHD20250524002
33,机器人到达格口不卸货,"3D分拣机工具页面显示：左侧读卡器在线，但RFID值全为0。
1.尝试更换rfid，还是无法识别。
2.尝试更换读卡器，恢复正常。",工单：SHD20250524001
34,,,
35,,,
