Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
,247,陀螺仪离线,"1. 根据操作指引重新注册陀螺仪
- 观察是否继续报错?
- 否：问题解决
- 是：进入步骤2

2. 根据操作指引更换BMSP板，并联系客服人员修改机器人ID
- 观察是否继续报错?
- 否：问题解决
- 是：建议联系专业的售后技术支持人员获得帮助

"
,2F1,行走时箱子不见了,"1. 检查传感器是否存在灰层等脏东西
- 是：进入步骤2
- 否：进入步骤3

2. 对传感器进行清理
- 观察是否继续报错?
- 是：进入步骤3
- 否：问题解决

3. 手动遮挡传感器，观察状态是否发生变化
- 无：进入步骤4
- 有：建议联系专业的售后技术支持人员获得帮助

4. 重新拔插传感器CAN线
- 观察是否继续报错?
- 是：建议联系专业的售后技术支持人员获得帮助
- 否：问题解决

"
,301,翻板不能到预定位置,"1. 首先确认是否全部小车都出现这类问题
- 是：进入步骤2
- 否：进入步骤3
2. 确保车服设置界面开启翻板选项，并在json配置文件中正确设置翻板角度值。
- 设置完成后，观察是否继续报错?
- 是：进入步骤3
- 否：问题解决
3. 进行手动翻板测试，查看是否能正常翻起和收回?
- 是：查询日志，确认小车动作是否和设置的数值一致?
- 不一致： 进入步骤5
- 一致：建议联系专业的售后技术支持人员获得帮助
- 否：进入步骤4
4. 根据视频指引重新注册电机
- 观察是否继续报错?
- 是：进入步骤5
- 否：问题解决
5. 根据操作指引进行电机对零位操作
- 观察是否继续报错?
- 是：建议联系专业的售后技术支持人员获得帮助
- 否：问题解决

"
,302,翻板电机离线,"1. 按照视频指引重新注册电机[视频](https://chatbot.libiaorobot.com/wiki/videos/agv_register.mp4 ':include :type=video')
- 将机器人放回平台，打开电源，观察是否继续报错?
- 否：问题解决
- 是：进入步骤2

2. 检查翻板电机的连接线是否松动，尝试重新插拔连接线
- 打开电源，观察电机上的状态指示灯
- 不亮：进入步骤3
- 亮：进入步骤4

3. 电机可能损坏，尝试按照操作视频更换翻板电机
- 将机器人放回平台，打开电源，观察是否继续报错?
- 是：建议联系专业的售后技术支持人员获得帮助
- 否：问题解决

4. 将机器人放回平台，打开电源，观察是否继续报错?
- 是：建议联系专业的售后技术支持人员获得帮助
- 否：问题解决

"
,303,前皮带机电机离线,"1. 按照视频指引重新注册电机  [视频](https://chatbot.libiaorobot.com/wiki/videos/agv_register.mp4 ':include :type=video')
- 将机器人放回平台，打开电源，观察是否继续报错?
- 否：问题解决
- 是：进入步骤2

2. 检查前皮带机电机的连接线是否松动，尝试重新插拔连接线
- 打开电源，观察电机上的状态指示灯
- 不亮：进入步骤3
- 亮：进入步骤4

3. 电机可能损坏，尝试按照操作视频更换前皮带机电机
- 将机器人放回平台，打开电源，观察是否继续报错?
- 是：建议联系专业的售后技术支持人员获得帮助
- 否：问题解决

4. 将机器人放回平台，打开电源，观察是否继续报错?
- 是：建议联系专业的售后技术支持人员获得帮助
- 否：问题解决

"
,304,后皮带机电机离线,"1. 按照视频指引重新注册电机 [视频](https://chatbot.libiaorobot.com/wiki/videos/agv_register.mp4 ':include :type=video')
- 将机器人放回平台，打开电源，观察是否继续报错?
- 否：问题解决
- 是：进入步骤2

2. 检查后皮带机电机的连接线是否松动，尝试重新插拔连接线
- 打开电源，观察电机上的状态指示灯
- 不亮：进入步骤3
- 亮：进入步骤4

3. 电机可能损坏，尝试按照操作视频更换后皮带机电机
- 将机器人放回平台，打开电源，观察是否继续报错?
- 是：建议联系专业的售后技术支持人员获得帮助
- 否：问题解决

4. 将机器人放回平台，打开电源，观察是否继续报错?
- 是：建议联系专业的售后技术支持人员获得帮助
- 否：问题解决

"
,402,在地毯上探测不到RFID,"1. 打开磁条图界面，查看霍尔是否正常
- 否：进入步骤2
- 是：进入步骤4

2. 按照视频指引校准霍尔
- 观察是否继续报错?
- 是：进入步骤3
- 否：问题解决

3. 按照视频指引更换霍尔板
- 观察是否继续报错?
- 是：进入步骤4
- 否：问题解决

4. 观察机器人是否有偏移
- 是：进入步骤5
- 否：建议联系专业的售后技术支持人员获得帮助

5. 确认是否可以读取到地毯的RFID值
- 否：进入步骤6
- 是：建议联系专业的售后技术支持人员获得帮助

6. 更换地毯，并重新修改码文件中此坐标位置的RFID值
- 观察是否继续报错?
- 是：建议联系专业的售后技术支持人员获得帮助
- 否：问题解决

"
,40D,CAN总线故障警告,"1. 把所有的CAN线更换插口
- 机器人放回平台随机跑，观察是否继续报错?
- 否：问题解决
- 是：进入步骤2

2. 更换所有电机的连接线
- 机器人放回平台随机跑，观察是否继续报错?
- 否：问题解决
- 是：进入步骤3

3. 按照视频指引更换左电机并重新注册
- 机器人放回平台随机跑，观察是否继续报错?
- 否：问题解决
- 是：进入步骤4

4. 按照视频指引更换右电机并重新注册
- 机器人放回平台随机跑，观察是否继续报错?
- 否：问题解决
- 是：进入步骤5

5. 按照视频指引更换电源板
- 机器人放回平台随机跑，观察是否继续报错?
- 否：问题解决
- 是：建议联系专业的售后技术支持人员获得帮助

"
,410,电池欠压警告,"1. 确认是否只有一台机器人电压过低
- 是：进入步骤2
- 否：进入步骤6

2. 检查该机器人是否可手动充电
- 否：进入步骤3
- 是：建议联系专业的售后技术支持人员获得帮助

3. 使用砂纸打磨机器人极板，去除氧化层，确认是否可以充电
- 否：进入步骤4
- 是：问题解决

4. 查看机器人电压差是否超过100
- 是：进入步骤5
- 否：问题解决

5. 根据操作指引平衡电池电压，确认是否可以充电
- 否：建议联系专业的售后技术支持人员获得帮助
- 是：问题解决

6. 查看RCS右下角充电波形图，确定是否存在异常的充电桩
- 否：建议联系专业的售后技术支持人员获得帮助
- 是：进入步骤7

7. 查看问题充电桩是否能通电，以及位置是否正确
- 否：建议联系专业的售后技术支持人员获得帮助
- 是：调整充电桩位置，重新插拔电源线
- 观察是否继续报错?
- 是：建议联系专业的售后技术支持人员获得帮助
- 否：问题解决

"
,413,无地毯定位,"同“错误码21B”

"
,415,行驶过程中发现地毯方向错误,"同“错误码235”

"
,431,陀螺仪长时间未定位,"1. 将机器人放在地毯的正中间
- 稍候观察是否继续报错?
- 是：建议联系专业的售后技术支持人员获得帮助
- 否：问题解决

"
,433,车身意外旋转（陀螺仪角和左右轮角偏差过大）,"1. 按照视频指引校准霍尔 [视频](https://chatbot.libiaorobot.com/wiki/videos/agv_calibration_hall.mp4 ':include :type=video')
- 观察是否继续报错?
- 是：建议联系专业的售后技术支持人员获得帮助
- 否：问题解决

"
,434,行走打滑,"1. 机器人摆正
- 观察是否继续报错?
- 是：进入步骤2
- 否：问题解决

2. 地毯周边是否有异物
- 是：清理异物，观察是否继续报错?
- 是：进入步骤3
- 否：问题解决
- 否：进入步骤3

3. 按照视频指引校准轮径
- 观察是否继续报错?
- 是：进入步骤4
- 否：问题解决

4. 检查左右两侧轮子在开机的状态下是否能锁紧
- 能：建议联系专业的售后技术支持人员获得帮助
- 不能：进入步骤5

5. 按照视频指引重新注册电机
- 观察是否继续报错?
- 是：进入步骤6
- 否：问题解决

6. 按照视频指引更换左电机并重新注册
- 观察是否继续报错?
- 是：进入步骤7
- 否：问题解决

7. 按照视频指引更换右电机并重新注册
- 观察是否继续报错?
- 是：建议联系专业的售后技术支持人员获得帮助
- 否：问题解决

"
,4102,1号电机编码器故障,"1. 重新开关机，看电机是否可以正常运行
- 观察是否继续报错?
- 是：进入步骤2
- 否：问题解决

2. 检查电机连接线是否完好，尝试更换或重新插拔连接线
- 观察是否继续报错?
- 是：进入步骤3
- 否：问题解决

3. 更换电机电路板或电机总成
- 观察是否继续报错?
- 是：建议联系专业的售后技术支持人员获得帮助
- 否：问题解决

"
,410A,1号电机过电流,"1. 机器人是否发生碰撞，或平台是否有杂物干扰机器人运行
- 是：进入步骤2
- 否：进入步骤3

2. 清理杂物，然后把机器人放到地毯中间，重新启动
- 观察是否继续报错?
- 是：进入步骤3
- 否：问题解决

3. 机器人关机一分钟后再开机
- 观察是否继续报错?
- 是：进入步骤4
- 否：问题解决

4. 根据操作视频更换电机
- 观察是否继续报错?
- 是：建议联系专业的售后技术支持人员获得帮助
- 否：问题解决

"
,4202,2号电机编码器故障,"同“错误码4102”

"
,420A,1号电机过电流,"同“错误码410A”

"
,4302,3号电机编码器故障,"同“错误码4102”

"
,430A,1号电机过电流,"同“错误码410A”

"
,601,（AC）AP超过30ms无应答,"1. 在RCS界面查看报错AP的状态（通过按下Ctrl＋K快速查看）
- AP是否处于离线状态
- 是： 进入步骤4
- 否： 进入步骤2

2. 查看AP的通信成功率
- 是否低于98%
- 是： 进入步骤3
- 否： 建议联系专业的售后技术支持人员获得帮助

3. 检查AP的两根天线柱子是否拧紧，尝试重新拧紧，并且避免天线底座跟金属有接触
- 观察是否继续报错?
- 是： 进入步骤4
- 否： 问题解决

4. 检查AP的网线和电源是否正常，尝试重新插拔网线和电源线
- 观察是否继续报错?
- 是： 建议联系专业的售后技术支持人员获得帮助
- 否： 问题解决

"
,602,（AC）AP与机器人通讯失败超过30次,"1. 确认是否只有少数几台机器人出现这个报错
- 是：进入步骤2
- 否：信道可能有冲突，建议联系专业的售后技术支持人员获得帮助

2. 检查无线模块是否松动
- 是：进入步骤3
- 否：进入步骤4

3. 重新安装无线模块，加入RCS进行随机跑测试
- 观察是否继续报错?
- 是：进入步骤4
- 否：问题解决

4. 更换新的无线模块或者和正常机器人进行交换，加入RCS进行随机跑测试
- 观察是否继续报错?
- 是：建议联系专业的售后技术支持人员获得帮助
- 否：问题解决

"
,702,手动被按暂停,"1. 将机器人摆放到地毯正中间，按下机器人上的A按钮
- 观察是否继续报错?
- 是：建议联系专业的售后技术支持人员获得帮助
- 否：问题解决

"
,704,手动被按暂停,"1. 尝试按下机器人上的A按钮
- 观察是否继续报错?
- 是：进入步骤2
- 否：问题解决

2. 检查机器人的按键板是否发生错位
- 是：进入步骤3
- 否：建议联系专业的售后技术支持人员获得帮助

3. 调整按键板位置
- 观察是否继续报错?
- 是：建议联系专业的售后技术支持人员获得帮助
- 否：问题解决"
