Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,,,机器人耗电过快,"1. 拆机检查电池是否损坏，尝试更换电池
   - 观察是否有改善?
     - 是：问题解决
     - 否：进入步骤2

2. 尝试更换电源板
   - 观察是否有改善?
     - 是：问题解决
     - 否：建议联系专业的售后技术支持人员获得帮助","电池故障
电源板故障"
,,,机器人跑偏,"1. 检查地毯上是否有异物，如有请清理异物
   - 观察是否还有问题?
     - 否：问题解决
     - 是：进入步骤2

2. 检查轮子是否有松动或损坏，尝试重新安装或更换
   - 观察是否还有问题?
     - 否：问题解决
     - 是：进入步骤3

3. 按照视频指引校准霍尔
   - 观察是否还有问题?
     - 否：问题解决
     - 是：进入步骤4

4. 按照视频指引更换霍尔板
   - 观察是否还有问题?
     - 否：问题解决
     - 是：进入步骤5

5. 按照视频指引校准轮径
   - 观察是否还有问题?
     - 否：问题解决
     - 是：建议联系专业的售后技术支持人员获得帮助","检查场地是否有异物
检查轮子是否松掉
检查霍尔板
校验轮径"
,,,机器人移动无力,"1. 检查轮子是否有松动或损坏，尝试重新安装或更换
   - 观察是否还有问题?
     - 否：问题解决
     - 是：进入步骤2

2. 检查电机是否正常，尝试重新安装或更换
   - 观察是否还有问题?
     - 否：问题解决
     - 是：进入步骤3

3. 按照视频指引校准霍尔
   - 观察是否还有问题?
     - 否：问题解决
     - 是：进入步骤4

4. 检查霍尔板是否有损坏，尝试重新安装或更换
   - 观察是否还有问题?
     - 否：问题解决
     - 是：进入步骤5

5. 确认是否可以读取到地毯的RFID值
   - 否：进入步骤6
   - 是：建议联系专业的售后技术支持人员获得帮助

6. 更换地毯，并重新修改码文件中此坐标位置的RFID值
   - 观察是否还有问题?
     - 是：建议联系专业的售后技术支持人员获得帮助
     - 否：问题解决","检查轮子是否松掉
电机是否正常
检查霍尔板
检查地毯rfid是否有错误"
,,,机器人转向不灵活,"1. 检查万向轮是否有异物缠绕，尝试清理异物
   - 观察是否继续报错?
     - 否：问题解决
     - 是：进入步骤2

2. 检查驱动轮是否有松动或损坏，尝试重新安装或更换
   - 观察是否继续报错?
     - 否：问题解决
     - 是：进入步骤3

3. 检查底盘是否有异常，尝试重新安装或更换
   - 观察是否继续报错?
     - 否：问题解决
     - 是：进入步骤4

4. 检查霍尔板是否有损坏，尝试重新安装或更换
   - 观察是否继续报错?
     - 否：问题解决
     - 是：建议联系专业的售后技术支持人员获得帮助","检查轮子是否松掉
检查万向轮是否缠绕异物
检查驱动轮是否松动，导致底盘托底
检查霍尔板"
,,,机器人原地转动,"1.机器人在开机的状态下检查左右主动轮是否能转动
   -是：（1）检查轮子是否松动，松动则紧固一下，没有进入第二小步（2）打开轮子转动抱箍是否能转动，能则重新安装一下抱箍，不能则进行第三小步。（3）重新注册电机。以上三小步若未解决则进入步骤3
   -否：进入步骤2
2.检查万向轮是否有异物缠绕
  -是：清理异物
  -否：进入步骤3
3.建议联系专业的售后技术支持人员获得帮助","检查驱动轮是否在线
重新注册一次
检查轮子是否松掉
检查万向轮是否缠绕异物"
,,,机器人堵塞,建议联系专业的售后技术支持人员获得帮助,"地图路径？
无法识别RFID或识别到的RFID与车服配置文件里的不一致？"
,,,机器人卸货动作无力,"1.检查在手动模式下翻板电机状态是否正常
  -否：进行重新注册（不成功联系专业售后技术支持人员获得帮助 ）
  -是：建议联系专业的售后技术支持人员获得帮助
 ","检查翻版电机状态
检查翻版电机参数是否设置正确"
,,,无法正常注册电机,"1.尝试多次注册电机
是否解决问题
   -是：问题解决
   -否：进入步骤2
2.在rcs界面电机机器人列表，找到这个机器人右键查看硬件信息检查电机是否在线
   -是:进入步骤4
   -否：进入步骤3
3.更换电机或者连接线再次尝试注册
  是否解决问题
   -是：问题解决
   -否:  进入步骤4
4.更换bmsp尝试重新注册
  -更换或注册完毕后联系专业的售后技术支持人员修改机器人id或获得帮助
 
","检查电机是否都正常在线
小车配置是否正确，尝试重新打配置
BMSP板故障"
,,,小车翻板电机声音过大,"1.更换翻板电机并重新注册
    -是否解决
      -是：问题解决
      -否：建议联系专业的售后技术支持人员获得帮助",更换翻板电机？
,,,机器人主动轮晃动,"1.检查轮子有没有松动
  -有：紧固轮子
  -没有：进入步骤2
2.打开盖子查看机器人底盘有无破损（固定轮子电机位置）
  -有：更换底盘
  -没有：联系专业的售后技术支持人员获得帮助
 ","底盘破损导致
驱动轮子松掉"
,,,电池传感器板子接头连接片断掉,-更换传感器板子,可能由于小车运行震动，导致金属疲劳断裂 --> 更换传感器板
,,,小车刹车时会抖动,"1.检查机器人万向轮是否存在异常（支架断裂、轮子移位、异物缠绕等异常）
   -是：更换清理后运行观察
   -否：建议联系专业的售后技术支持人员获得帮助",拆机检查万向轮是否损坏，如有请更换后再观察
,,,皮带小车的转动量不对,"确认json文件中""DefaultTrayCrossbeltValue"":的值",根据“XX操作指引”进行设置
,,,按键指示灯不亮,"1.检查按键板是否有损坏，可以和正常的机器人交换进行排查
  -是：更换按键板
  -否：建议联系专业的售后技术人员获得帮助",拆机检查按键板指示灯是否损坏，如有请更换后再观察
,,,按键无反应,"1.检查按键板是否有损坏，可以和正常的机器人交换进行排查
  -是：更换按键板
  -否进入步骤2
2.检查bmsp是否损坏，如无法判断可换新测试
  -是：更换bmsp并重新注册以及修改机器人id
  -否：联系专业的售后技术支持人员获得帮助
 ",拆机检查按键板和BMSP板是否损坏，尝试更换按键板和BMSP板再观察。
,,,机器人向格口反方向卸货,"1.检查rcs配置文件中皮带机的卸货方向是否正常，json文件中lsBeltAlwaysUnloadToRight
  -否：修改配置文件朝向正确的方向
  -是：联系专业的售后技术支持人员获得帮助
 ",
,,,,,
,,,,,
,,分拣机,分拣机无法启动,"1.打开分拣机上的小电控箱，检查是否有电源输入
  -是：进入步骤2
  -否：检查电源或电梯板子是否存在问题更换尝试
2.检查黄色的LED屏幕连接线是否有断开或者故障不亮等情况
  -是：尝试修复或更换LED屏幕
  -否：建议联系专业的售后技术支持人员获取帮助","分拣机电源是否有输入（电梯板故障？）
检查can线到LCD是否有断开
LCD故障"
,,,分拣机发出异响,"1.检查异响发出的来源
  -电机异响：打开电机拿出红白色联轴器（下侧螺丝拧开后整个拿出），重新再安装上去拧紧
  -滑块异响：拆开滑块检查是否有损坏，有责需要更换
  -皮带异响：滑动皮带是否有卡顿，或者皮带相对于其他的太紧或者太松，进行调节
2.是否解决问题
  -是：问题解决
  -否：建议联系专业的售后技术支持人员获取帮助","检查异响来源
如果是滑块需要拆开检查或更换
如果是皮带需要拆开看是否有卡顿，是否过松或过紧
轴承损坏？"
,,,分拣机不卸货,"1.检查LED屏幕是否有报错或者4、5号电机是否有离线
  -是：检查电机连接线是否正常或拔插尝试，电机是否正常电机上的灯是否闪烁正常
  -否：进入步骤2
2.查看分拣机是否在线（在分拣机LED显示屏右上角或MCS软件上可查看）
  -在线：进入步骤3
  -离线：检查网络是否正常（网线、分拣机里的小交换机网口，大交换机等）
3.尝试重启分拣机重新进行电机回零是否恢复正常
  -是：问题解决
  -否：建议联系专业的售后技术支持人员获取帮助","检查分拣机是否在线
检查LCD是否显示异常
检查4、5号电机是否在线
如果都正常可以尝试重启"
,,,分拣机接不到货,"1.检查接货位置是否离平台挡边太远
  -是：重启分拣机若无效则调整接货位置
  -否：进入步骤2
2.检查分拣机是否有异物卡住导致行动受限
  -是：清理异物
  -否：进入步骤3
3.检查分拣机X轴移动是否有卡顿或者异常现场
  -是：检查异常点并尝试修复
  -否：建议联系专业的售后技术支持人员获取帮助","检查分拣机是否有异物卡住导致移动受限
检查分拣机接货位置是否需要调整
检查分拣机X轴移动是否异常"
,,,分拣机不动了,"1.检查LED屏幕是否有报错
  -有：电机报错，检查电机和连接线，网络报错：检查网络和交换机，电机过载：检查是否有东西阻止分拣机运动、皮带是否松动等
  -无：进入步骤2
2.检查是否有电源输入
  -有：进入步骤3
  -无：检查电源和电梯板
3.重启分拣机回零是否解决问题
  -是：问题解决
  -否：建议联系专业的售后技术支持人员获取帮助","检查分拣机LCD显示什么报错
检查分拣机是否有电源输入
检查分拣机网络是否断开
如果都正常可以尝试重启操作"
,,,分拣机LCD黑屏,"1.检查LED屏的连接线是否正常可拔插尝试
  -是：进入步骤2
  -否：更换LED屏或连接线
2.检查电控箱的电源是否正常
  -否：检查电源输入和电梯板
  -是：建议联系专业的售后技术人员获取帮助","重新插拔LCD屏幕线
检查分拣机控制箱内是否有电"
,,,分拣机卡顿,"1.分拣机是停止不动过一会动还是运动的时候抖动
  -卡住不动有延迟：进入步骤2
  -抖动：进入步骤3
2.检查分拣机网络是否正常
  -否：检查网络和小交换机接口
  -是进入步骤5
3.移动Y轴查看是否有卡顿
  -有：打开滑块检查或更换、滑轨是否有异常
  -否：进入步骤4
4.检查皮带是否松动
  -是：紧固皮带
  -否进入步骤5
5.重启分拣机尝试
  是否解决问题
  -是：问题解决
  -否：建议联系专业的售后技术支持人员获取帮助","检查滑块是否润滑
或检查线轨的皮带是否松"
,,,"电机离线:n（n: 1-5, X轴下、X轴上、Y轴、旋转、翻板）","1. 尝试重启分拣机，然后确认是否离线？
   - 是：进入步骤2
   - 否：问题解决
2. 检查电机的连接线是否松动，尝试重新插拔连接线
   - 打开电源，观察电机上的状态指示灯
     - 不亮：进入步骤3
     - 亮：建议联系专业的售后技术支持人员获得帮助
3. 电机可能损坏，尝试按照操作视频更换电机
   - 打开电源，确认是否离线
     - 离线：建议联系专业的售后技术支持人员获得帮助
     - 在线：问题解决","重启
连接线是否松动
更换电机"
,,,读卡器离线（左、右）,"1. 尝试重启分拣机，然后确认是否离线？
   - 是：进入步骤2
   - 否：问题解决
2. 检查读卡器的连接线是否松动，尝试重新插拔连接线
   - 观察是否离线
     - 是：进入步骤3
     - 否：问题解决
3. 读卡器可能损坏，尝试按照操作视频更换读卡器
   - 打开电源，确认是否离线
     - 是：建议联系专业的售后技术支持人员获得帮助
     - 否：问题解决","重启
连接线是否松动
更换读卡器"
,,,输出板离线,"1.检查输出板子的等是不是正常闪烁或者是否亮着
   -是：重启分拣机
   -否：更换输出板",输出板故障？
,,,货架离线,"1.检查分拣机LED屏幕是否识别到货架rfid
   -是：拔插读卡器
   -否：进入步骤2
2.检查货架是否正常靠近读卡器
  -否：正常插入货架让rfid能够被读取
  -是：进入步骤3
3.检查货架rfid是否正常，可插到其他分拣机进行确认
  -否：更换rfid并进行注册
  -是：建议联系专业的售后技术支持人员获得帮助",分拣机没有读到RFID？
,,,回零失败,"1.检查回零过程中是否存在遮挡Y轴路径
   -是：清理异物
   -否：进入步骤2
2.查看LED屏幕报错，哪个电机回零失败检查那个电机和连接线是否有问题
   -是：拔插或者更换电机以及电机连接线（具体情况具体判断）
   -否：建议联系专业的售后技术支持人员获取帮助",更换电机连接线？
,,,电源欠压,"1.检查电源输出是否正常
  -否：检查电源或更换电梯板
  -是：建议联系专业的售后技术支持人员获取帮助",
,,,电源故障,同上,
,,,电机过载:n（n: 1-5）,"1.查看是否有异物阻挡分拣机的运动
  -是：清理异物并电机继续按钮
  -否：进入第二部
2.直接电机继续按钮是否还会发生
  -否：问题解决
  -是：进入步骤3
3.重启分拣机是否恢复正常
  -是：问题解决
  -否：进入步骤4
4.检查轴承是否损坏
  -是：检查更换
  -否：建议联系专业的售后技术支持人员获取帮助","重启？
轴承损坏？"
,,,[电机n]无绝对0位,"1.进行重启分拣机重新回零是否解决
  -是：问题解决
  -否：进入步骤2
2.检查无绝对0位的电机和连接线是否正常
  -否：拔插电机或更换电机和线
  -是：建议联系专业的售后技术支持人员获取帮助",
,,,[电机n]力矩过大,建议联系专业的售后技术支持人员获取帮助,
,,,[电机n]过温,"1.触摸过温电机是否温度较高
  -是：更换电机
  -否：进入步骤2
2.拔插电机是否恢复
  -是：问题解决
  -否：建议联系专业的售后技术支持人员获取帮助",电机故障？
,,,突然断电、重复断电、重启 ,"1.查看电梯板是否故障，更换电梯板
  更换后是否解决
  -是：问题解决
  -否：建议联系专业的售后技术支持人员获取帮助",电梯板故障？
,,,分拣机提示：UNB,同上,电梯板故障  单元电压不平衡？
,,,LCD触屏无反应,"1.拔插LED屏幕是否恢复
  -是：问题解决
  -否：进入步骤2
2.重启分拣机问题是否解决
  -是：问题解决
  -否：进入步骤3
3.更换LED显示屏是否解决
  -是：问题解决
  -否：建议联系专业的售后技术支持人员获取帮助",重启？
,,,彩虹灯不会亮,"1.检查输出板的灯是否闪烁
  -否：更换输出板
  -是：进入步骤2
2.检查彩虹灯能否正常亮起
  -否：更换彩虹灯
  -是：建议联系专业的售后技术支持人员获取帮助",输出板故障？
,,,急停按钮拍下无法锁住,更换急停按钮并进行绑定,
,,,待机模式（交换机板上端口灯都不亮）,"1.检查网络是否正常，交换机板上的网口灯是否正常亮起
   否：如果交换机都不亮则更换交换机板，如果就当前网口不正常尝试更换网口
   是：建议联系专业的售后技术支持人员获取帮助",交换机故障？
,,,分拣机重启不了,"1.电控箱开关断电再开机
  是否解决
  -是：问题解决
  -否：建议联系专业的售后技术支持人员获取帮助",电控箱开关断电再开机
,,,4号电机旋转不到位,"1.检查电机是否有异物阻挡旋转，轧带或连接线等
  -是：调整位置
  -否：进入步骤2
2.检查减速器是否正常，旋转时是否到那个位置卡顿一下
  -是：更换减速器
  -否：建议联系专业的售后技术支持人员获取帮助",减速器故障？
,,,X下轴移动卡顿、异响,"1.检查是否皮带有问题
  -是：检修或更换皮带
  -否：进入步骤2
2.检查轴承是否有问题
  -是：检修或更换轴承
  -否：建议联系专业的售后技术支持人员获取帮助",轴承损坏？
,,,投错框,具体问题具体分析，可能是软件可能是硬件,调整投货角度参数
,,,分拣机X轴皮带异常,更换皮带,更换皮带？
,,,,,
,,,,,
,,扫码台,相机识别率低,"1. 适当调整补光灯的亮度
   -  观察是否有改善?
     -  无：进入步骤2
     -  有：问题解决

2. 适当调整相机的曝光度
   -  观察是否有改善?
     -  无：进入步骤3
     -  有：问题解决

3. 适当调整相机的焦距
   -  观察是否有改善?
     -  无：进入步骤4
     -  有：问题解决

4. 相机断电后重新上电
   -  观察是否有改善?
     -  无：进入步骤5
     -  有：问题解决

5. 请重启扫码台软件
   -  观察是否有改善?
     -  无：建议联系专业的售后技术支持人员获得帮助
     -  有：问题解决",
,,,曝光反光严重，无法识别条码,"同上1、2两点
以上无法解决建议联系专业的售后技术支持人员获得帮助",
,,,相机响应慢，有迟钝,同上,
,,,相机画面模糊,同上,
,,,相机指示灯/补光灯不亮,"1. 确认开关是否打开
   -  是：进入步骤2
   -  否：打开开关，观察灯光是否亮?
      -  是：问题解决
      -  否：进入步骤2

2. 相机断电后重新上电
   - 观察灯光是否亮?
     - 是：问题解决
     - 否：建议联系专业的售后技术支持人员获得帮助",
,,,相机无法识别二维码或条码,"1. 根据操作指引在相机设置界面，查看识别二维码或条码的开关是否已经打开，没有的话请打开
   -  观察是否能识别?
     -  不能：进入步骤2
     -  能：问题解决

2. 相机断电后重新上电
   -  观察是否能识别?
     -  不能：进入步骤3
     -  能：问题解决

3. 请重启扫码台软件
   - 观察是否能识别?
     -  不能：进入步骤4
     -  能：问题解决

4.在软件目录下的execonfig文件中拉到最下面查看是否有添加对应白名单
  -添加白名单后是否解决
     -是：问题解决
     -否：建议联系专业的售后技术支持人员获得帮助
",
,,,扫码台显示无法连接相机,"1.点击开始图标输入cmd打开命令对话框，输入ping ""相机ip""，查看是否能ping通网络
   -能通：进入步骤3
   -不通：进入步骤2

2.打开电脑防火墙设置界面，检查防火墙是否打开
  -是：关闭防火墙，关闭后如为解决则进入步骤3
  -否：直接进入步骤3

3. 相机断电后重新上电
   - 观察是否能连接?
     - 是：进入步骤2
     - 否：问题解决

4. 重启扫码台软件
   - 观察是否能连接?
     - 是：进入步骤3
     - 否：问题解决

5. 更换新的相机
   - 观察是否能连接?.
     - 是：建议联系专业的售后技术支持人员获得帮助
     - 否：问题解决",
,,,相机花屏,"
1. 相机断电后重新上电
   - 观察是否还有花屏现象?
     - 是：进入步骤2
     - 否：问题解决

2. 请重启扫码台软件
   - 观察是否还有花屏现象?
     -  不能：进入步骤3
     -  能：问题解决

3. 升级相机固件
   - 观察是否还有花屏现象?
     - 是：进入步骤4
     - 否：问题解决

4. 更换新的相机
   - 观察是否还有花屏现象?
     - 是：建议联系专业的售后技术支持人员获得帮助
     - 否：问题解决",
,,,左/右侧相机不显示画面,同上,
,,,相机显示变叉叉、相机显示两个红叉,"1.检查磁盘是否满了
   -是：清理磁盘后重启软件
   -否：进入步骤2
2.检查内存是否满了
   -是：清理内存后重启软件
   -否：建议联系专业的售后技术支持人员获得帮助",
,,,相机无法识别到大的条码,"1. 根据操作指引修改相机参数
   - 勾选码种，SizeMaxWidth的值改成4000，SizeMaxHeight的值改成300
     - 观察是否能识别
       -  能：问题解决
       -  不能：建议联系专业的售后技术支持人员获得帮助",
,,,扫码台软件关闭后无法打开,"1. 扫码台软件进程可能没有完全退出，在任务管理器中手动结束进程，然后再打开扫码台软件
   - 确认是否可以打开?
     - 是：问题解决
     - 否：进入步骤2
2. 尝试重启电脑
   - 确认是否可以打开?
     - 是：问题解决
     - 否：建议联系专业的售后技术支持人员获得帮助",
,,,称重没反应,"1.是一侧称重没反应还是两侧称重都没有反应
   - 一侧没反应：进入步骤2
   - 两侧没反应：进入步骤3
2.打开扫码台白色电控箱子交换称重盒子上的传感器先，检查是否没反应的换到了另一侧
   -是：更换传感器
   -否：进入步骤4
3.打开扫码台白色电控箱，检查称重盒子ip能不能ping通
   -能：进入步骤4
   -不能：检查网络和电源使其正常通讯
4.和其他正常的称重盒子进行交换，在软件目录下的exe的config文件中修改ip后重启软件是否解决
   -是：问题解决
   -否：建议联系专业的售后技术支持人员获得帮助
",
,,,扫码台软件上显示的重量不正确,"1.按照Ctrl按钮后点击称重置零（机器人需要在称重平台上）
   - 确认值是否正常?
     - 是：问题解决
     - 否：进入步骤2
2.如果称重台上有机器人则搬走机器人，找到10KG砝码放到称重台上，按住Ctrl点击10KG校准
   - 确认值是否正常?
     - 是：问题解决
     - 否：进入步骤3
3..在软件目录下找到exe的config文件，确认Left Weight scale Pactor和Right Weight scale Pactor这两个配置的值是否和其他正常的值一样
   -否：配置成正常值
   -是：建议联系专业的售后技术支持人员获得帮助",
,,,扫码后无法发车,"1.检查相机等是否在线
  -否：检查网络和防火墙
  -是：进入步骤2
2.检查称重数值是否正常（数值太大或者是负数）
  -是：机器人在称重平台上时，按住Ctrl进行称重置零
  -否：进入步骤3
3.查看扫码时是否有目的地显示
  -是：进入步骤4
  -否：联系专业的售后技术支持人员获得帮助
4.检查提示框是否有报错，例如无sku登登
  -是：如无sku则这件货不在此波次中，其他问题具体分析
  -否：联系专业的售后技术支持人员获得帮助",
,,,,,
,,,,,
,,魔毯,,,
,,,,,
,,,,,
,,充电桩,不充电,"1. 检查充电桩开关是否打开
   - 是：进入步骤2
   - 否：打开充电桩开关，确认是否能充电？
     - 是：问题解决
     - 否：进入步骤2

2. 检查充电桩电源线是否有电量输入
   - 是：进入步骤4
   - 否：进入步骤3
   
3. 尝试重新插拔或更换充电桩电源线，确认是否能充电？
   - 是：问题解决
   - 否：进入步骤4

4. 检查充电桩夹嘴是否有杂物或损坏，尝试重新插拔或更换，确认是否能充电?
   - 是：问题解决
   - 否：建议联系专业的售后技术支持人员获得帮助","检查是否开关没开
检查电源线是否有输入
充电嘴是否有变形
充电嘴是否有异物或灰尘
确认是否是单独小车的故障还是普遍的故障"
