故障类别,软/硬件,部件,标题,描述,原因分析,解决方案
硬件,其它,,飞箱: 101042 箱位: (A005)13-019..........拉箱机拉箱失败，抓钩总成后拉100mm拉不出来,拉箱<-货架   飞箱: 101042 箱位: (A005)13-019..........拉箱机拉箱失败，抓钩总成后拉100mm拉不出来,拉箱时卡主，感觉是横梁卡柱了料箱，联系肖哥分析了一下，判断是层板和横梁高度不一致，卡住了料箱，下次再出现这个问题，肖哥连上来具体分析一下，看看怎么处理这种拉箱逻辑。,料箱推回去，终止任务，启动任务，故障恢复。
硬件,机器人,电源板,小车充不上电,小车在所有充电桩上充都不上电，用砂纸打磨过后还是一样,王豪南判断可能是电源板坏了，建议下次有人去韩国，去现场检查维修,
数据补推和货架释放,,,波兰希音bigp3货架释放,"PBW62173
PBW61349
PBW62174
PBW61748
PBW62140
PBW60830
PBW60453
PBW60816
PBW60633
PBW61737
PBW60838
PBW60813
PBW60710
PBW60524
PBW60237
需要释放货架",需要手动释放货架,已释放
飞箱异常,TOF异常,,拉箱<-货架   飞箱: 101043 箱位: (A005)13-048..........拉箱机拉箱失败，抓钩总成后拉100mm拉不出来,拉箱<-货架   飞箱: 101043 箱位: (A005)13-048..........拉箱机拉箱失败，抓钩总成后拉100mm拉不出来,看视频发现是飞箱没有判断好箱子中心位置，可能是TOF把立柱也误判成箱子一部分，导致拉箱时拉外,飞箱操控界面手动将箱子重新推回货架，然后重新终止启动，让飞箱再次尝试后恢复
飞箱异常,接驳位偏移量异常,,"飞箱: 106001 地面车: 219181.......推箱到地面车,车上有箱","推箱->地面车  飞箱: 106001 地面车: 219181.......推箱到地面车,车上有箱",接驳位小车没有箱子，但是飞箱认为地面车有箱，怀意是偏移量问题,重置校准标记，然后终止任务，启动任务，这时候飞箱推箱的时候，会自动重新校准偏移量，解决，故障恢复。
硬件,机器人,雷达,170100 区域急停,"地面车 170100 区域急停 机器人: 170100 发生了区域锁定,坐标: 6,8,错误码: 21F,描述激光雷达离线",雷达线接触不良,需要用到轧带进行固定点击已解决恢复
波次问题（移除、迁移、关闭）,,,迁移波次,波兰希音pnt仓将波次PO2508040111波迁移到第二套,,操作数据库修改波次信息完成修改波次
飞箱异常,TOF异常,,飞箱异常,"飞箱106001报错，推箱到地面车，车上有箱，Please Resolve:Push bin -> FloorbotAirRob: 106001 Floorbot:219175Pushed box to FloorBot,box present onvehicle",,tof日志工具无法打开，直接点击已解决恢复正常
飞箱异常,料箱传感器异常,,飞箱异常报警,2025-08-05 05:38:10.986 料箱:05646所在箱位:(A002)13-040提示错误:不具备拉箱条件:两侧都没找到边,,"检查05646具体位置在所，并检查报错的货架坐标料箱框为白色，无报错，点Fix,再点Ignore后恢复正常"
飞箱异常,料箱传感器异常,,飞箱异常报警,飞箱106001报错：Please Resolve:Pull bin<-StockRackAirRob: 106001 binPosition:(A002)13-040两侧都没找到边,,读取日志，tof日志工具无法打开，终止启动，已解决恢复正常
飞箱异常,料箱传感器异常,,车服提示报警,车服提出报警信息，显示2025-08-05 04:28:49.514料箱:06771所在箱位:(A004)05-024提示错误:不具备拉箱条件:两侧都没找到边,可能是飞箱检测两侧料箱问题,检查06771料箱在指定位置，并手动飞箱在货架上的位置检查是白色的框，电机fix，并点ignore恢复正常
数据补推和货架释放,,,释放货架,"Kateryna Bezrukova要求释放以下货架：PBW61748, PBW62174, PBW61620等共23个货架。",现场要求,"1、先联系对方确定以上货架在希音WMS中均为空闲状态；
2、查询wall_wave _bind_info表中货架信息是否存在，存在即可进行下一步释放操作；
3、通过swagger-ui页面接口调用释放操作；
4、再次执行第2步操作查询货架信息，如果仍然有货架信息，则执行以下第5步操作；
5、查询wall表中以上所有货架信息的wall_status字段，将该字段全部改成1；
6、再执行第3步操作释放后，查询wall_wave_bind_info后即正常。"
飞箱异常,TOF异常,,104021拉箱异常,"拉箱<-货架
飞箱: 104021 箱位: (A002)11-001
尝试1次后，导致不具备拉箱条件",未知,读取日志，终止并启动任务后恢复。
硬件,机器人,霍尔板,164115霍尔异常,B4第3套上层小车164115，RCS中显示红色，报错无地毯定位。,霍尔异常,查看磁条图，霍尔图像有异常，校准霍尔后恢复正常。
飞箱异常,TOF异常,,飞箱: 106001 箱位: (A002)16-012......两侧都没找到边,拉箱<-货架  飞箱: 106001 箱位: (A002)16-012......两侧都没找到边,怀意是tof测量数据不准，没有准确测量出料箱位置,看视频是正常的，直接终止任务，启动任务后恢复正常。
飞箱异常,TOF异常,,飞箱: 101010 箱位: (A011)00-015..........拉箱机拉箱失败，抓钩总成后拉100mm拉不出来,拉箱<-货架   飞箱: 101010 箱位: (A011)00-015..........拉箱机拉箱失败，抓钩总成后拉100mm拉不出来,怀意是tof数据测量不准，导致飞箱认为无法拉出料箱,终止任务，启动任务，恢复。
飞箱异常,其它,,101021飞箱掉电,"项目名称：日本SIG 
报警消息：等待地面车: 226072 到达接驳位超时。
请检查地面车状态，点击已解决继续等待，异常时中止当前工单",101021飞箱24v掉电没有弹出报警，飞箱下架过程中碰撞地面车导致急停，在某一个位置充电有问题,操作主板复位，一键校准z轴等待充电点击已解决完成恢复
飞箱异常,飞箱定位失效,,到达接驳位超时,等待地面车: 219193 到达接驳位超时。请检查地面车状态  点击已解决继续等待，异常时中止当前工单,1.实际是因为101021掉电后失去定位导致的小车在原地长时间等待；,"1.联系工作人员帮忙左右移动飞箱，让现场飞箱上电；
2.上电后重定位，复位；
3.任务点击已解决后恢复。"
硬件,飞箱,其它,电压持续掉电,飞箱101021电压持续掉电！！！,飞箱没电了 让客户检查一下是不是飞箱没有接触到触点,让客户左右移动一下 飞箱慢慢上电 然后处理掉飞箱的任务
客户操作,,,发生了区域锁定,"地面车 219254 区域急停 机器人: 219254 发生了区域锁定,坐标: 9,30,错误码: 21C,描述激光雷达避障急停,检查并复位",客户误碰导致的,对准桩点 重新定位
客户操作,,,发生了区域锁定,"地面车 219213 区域急停 机器人: 219213 发生了区域锁定,坐标: 12,30,错误码: 242,描述执行动作时,没有到达目标点附近",地面车位置偏移  在地毯上校准一下定位 重定位,在地毯上校准一下定位 重定位
客户操作,,,发生了区域锁定,"地面车 226090 区域急停 机器人: 226090 发生了区域锁定,坐标: 28,30,错误码: 21C,描述激光雷达避障急停,检查并复位",现场客户碰到了地面车,对准桩点重新定位
硬件,飞箱,其它,"拉箱<-货架  飞箱: 101014 箱位: (A011)13-060......两侧边沿值差值太大,L=27086,R=27135","拉箱<-货架  飞箱: 101014 箱位: (A011)13-060......两侧边沿值差值太大,L=27086,R=27135",飞箱不在箱子前面，需要挪动飞箱到箱子面前,挪动飞箱到箱子前 终止启动 重新做推拉箱任务
硬件,飞箱,其它,拉箱<-地面车 飞箱: 101063 地面车: 219205............两侧都没找到边,拉箱<-地面车 飞箱: 101063 地面车: 219205............两侧都没找到边,飞箱没有识别到箱子，左右移动一下飞箱让它重新调整,往左移动飞箱 终止启动 重新调整
地面车异常,直行偏航角度过大,,发生了区域锁定,"地面车 170100 区域急停 机器人: 170100 发生了区域锁定,坐标: 4,22,错误码: 21B,描述定位偏差较大或直行5秒/超2米无定位,检查并复位",1.根据日志雷达图分析， 170100小车有有段路程雷达离线，导致报错。,"1.调整小车，和雷达图一致；
2.重定位恢复；
3.此台小车持续观察中；"
地面车异常,区域急停,,205110 区域急停,"项目名称：青浦山姆 
报警消息：地面车 205110 区域急停 机器人: 205110 发生了区域锁定,坐标: 16,18,错误码: 21F,描述Scan radar offli",根据车服操作界面显示该地面车雷达频繁掉线怀疑雷达线接触问题,需要现场将地面车拆解用捆扎带将雷达线两端固定
地面车异常,区域急停,,雷达离线,"请解决:地面车 205110区域急停 机器人:205110 发生了区域锁定,坐标:12,5,错误码:21F,描述Scan radar offline",小车多次出现雷达离线,点击已解决能走一段，然后有报区域急停，现暂时搬下场地
飞箱异常,料箱脱钩,,拉箱失败,g_debug_str:拉箱机拉箱失败，抓钩总成后拉100mm拉不出来,,读取日志，手动推箱子回小车上，终止启动恢复正常
飞箱异常,其它,,车服报警料箱找不到,"Warning
2025-08-04 04:32:10.961箱:05870没有找到
",,在18货架上04-16标记黄色的未知料箱，重新读取料箱后恢复
飞箱异常,TOF异常,,飞箱异常,"请解决:推箱->地面车飞箱:104021地面车:205110推箱失败,箱子重新拉回拉箱机,请人工检查箱内物品是否超高",查看监控没有出现箱内超高的情况，可能是tof异常,读取tof日志和飞箱日志，终止启动，已解决恢复正常
校准或注册,轮径校准,,轮径校准,uniuni chicago项目上层小车233251频繁走偏,轮径不对,校准霍尔，注册电机，再校准轮径后恢复正常
波次问题（移除、迁移、关闭）,,,关闭波次,波兰希音大P3关闭待启动波次PO2508030066。,,操作数据库来关闭波次
飞箱异常,TOF异常,,检测不到在飞箱上的料箱,料箱在飞箱上，但飞箱检测不到料箱，手动小车无法过去接驳位接箱,,读取日志，tor日志工具无法打开，无法读取tof日志，手动无法成功推箱子到小车上，让客户帮忙把箱子放小车上，终止启动后恢复正常
地面车异常,区域急停,,小车区域急停,Please Resolve:FloorBot 219165 emergencystop in area Robot:219165 has experienced,,读取日志，调整准确的位置点击恢复
飞箱异常,料箱位置不正,,飞箱补推3次后失败,飞箱106022推箱在小车上205111，推箱位置不正，小车微动开关检测不到料箱,推箱时箱子在小车上歪了,读取日志，不动推小车上的料箱到位，点已解决恢复
飞箱异常,其它,,飞箱推箱失败,飞箱推箱失败,查看监控：物品超高,联系现场人员，调整超高物品
软件,MCS,,波次无法关闭,波次无法关闭，显示机器人上还有一个任务，实际没有,MCS订单状态未更新,MCS界面，订单手动完成
客户操作,,,电脑蓝屏,电脑蓝屏无法使用,,指导现场客户，强制重启
波次问题（移除、迁移、关闭）,,,取消未启动波次,取消未启动波次,,
硬件,机器人,霍尔板,100154频繁急停,100154频繁急停,需要校准霍尔,校准霍尔恢复正常
硬件,机器人,霍尔板,214030机器人频繁急停,214030机器人频繁急停,查看机器人磁条图需要校准霍尔,磁条图界面点高级 输入密码 点6
软件,RCS,,RCS地图堵车,RCS地图堵车,查看地图 看具体在哪里堵车,修改地图路线 随机跑
软件,RCS,,现场重新扫描地图,现场重新扫描地图,现场新增魔毯 变动较大需要重新扫描,把之前地图文件删掉 重新扫描
硬件,机器人,其它,230224显示关机,RCS界面显示230224关机,原因未知,RCS重新发送开机正常
硬件,飞箱,其它,流山8.3日现场多次故障,今天测试新版本固件，中间为客户使用中出现的，大部分都是研发直接处理，18:30之后的是现场随机跑测试,,
软件,RCS,,101008飞箱反复上下,101008飞箱在货架最上层反复上下，这里有配置劈开现场立柱功能,初步判断RCS程序问题，临时先处理，待研发分析,终止任务，将箱子手动推到货架上，并扫箱
飞箱异常,TOF异常,,101094拉箱失败,"トート引出す<-棚
AirRob: 101094 ロケーション: (A095)06-033
两侧边沿值差值太大,L=0,R=16326","两侧边沿值差值太大,L=0,R=16326",读取日志，终止并启动任务后恢复。
软件,MCS,,WCS格口被锁定,PNT仓3D第3套：上下层机器人停在3D29位置不动，WCS界面3D29分拣机状态显示正常。,3D29格口状态异常,通过WCS界面-高级-选项-重置3D29状态后恢复正常。
飞箱异常,其它,,104021推箱失败,"推箱->地面车
飞箱: 104021 地面车: 80079",未知，已读取日志,终止启动任务后推箱到小车上歪掉，现场人员帮忙摆正料箱后恢复正常。
飞箱异常,TOF异常,,飞箱异常,"StockRackPlease Resolve:Push bin ->AirRob:106009 binPosition:(A018)06-017推箱失败,箱子重新拉回拉箱机,请人工检查箱内物品是否超高",可能tor检测异常，但是看监控里，货物没有超过限高,读取日志，终止启动后恢复正常
飞箱异常,其它,,飞箱异常,1.远程过去没有发现报错弹框，g_debug_str:waiting for power:27785,,读取日志，终止启动后后恢复
软件,扫码台软件,,相机断连,A仓3D上层一个扫码软件显示两个相机均失去连接,"1、检查dahua配置文件异常；
2、相机连接资源异常导致失去连接；
3、扫码台部分内网故障。",检查dahua.cfg，发现其内容已损坏导致无法正常显示内容。更新dahua.cfg文件后恢复正常。
客户操作,,,"飞箱: 104063 箱位: (A006)06-030.........推箱失败,箱子重新拉回拉箱机,请人工检查箱内物品是否超高","推箱->货架  飞箱: 104063 箱位: (A006)06-030.........推箱失败,箱子重新拉回拉箱机,请人工检查箱内物品是否超高",物品超高，无法推箱,现场整理料箱，然后终止任务，启动任务，恢复。
参数配置,,,新加坡扫码台问题,扫码台相机画面显示与实际相反,"扫码台相机编码配反（SS001,SS002）,车服发货口坐标与实际相反",更改配置
飞箱异常,TOF异常,,beltin没到位,飞箱: 101014 地面车: 219243............拉箱失败:beltin没到位(149.7).(20),怀疑是tof测量数值不准，导致拉箱时，料箱和飞箱没对准，在拉箱的时候拉歪了,手动把料箱回正，然后终止任务，启动任务，恢复。
地面车异常,区域急停,,地面车 219187 区域急停,地面车 219187 区域急停 Robot: 219187 has experienced,1、根据日志分析，地面车在工作站斜坡地毯上位置修正，修正后报错,"1、读取地面车日志
2、手动定位小车位置，恢复小车定位
3、点击已解决"
客户操作,,,飞箱内物品超高,"推箱->货架  飞箱: 106002 箱位: (A003)05-029.........推箱失败,箱子重新拉回拉箱机,请人工检查箱内物品是否超高",1、飞箱内物品超高，导致推箱失败,"1、联系客户人员
2、停止RSC运行，现场人员重新摆放物品
3、终止任务—启动任务—点击已解决"
地面车异常,区域急停,,地面车 219183 区域急停,地面车 219183 区域急停 Robot: 219183 has experienced,1、日志反馈给徐工分析，说是箱子可能被卡住了，导致小车走偏后急停,"1、读取地面车日志
2、手动定位小车位置，恢复小车定位
3、点击已解决"
飞箱异常,料箱脱钩,,"推箱->货架  飞箱: 101062 箱位: (A002)10-017.........推箱失败,箱子重新拉回拉箱机,请人工检查箱内物品是否超高","推箱->货架  飞箱: 101062 箱位: (A002)10-017.........推箱失败,箱子重新拉回拉箱机,请人工检查箱内物品是否超高",1.实际物品超高导致推箱失败；,"1.飞箱降到最低，联系客户调整物料高度；
2.终止启动任务后恢复。"
飞箱异常,TOF异常,,拉箱<-货架   飞箱: 104023 箱位: (A002)15-025..........尝试1次后，导致不具备拉箱条件,拉箱<-货架   飞箱: 104023 箱位: (A002)15-025..........尝试1次后，导致不具备拉箱条件,1.tof识别失败。,1.重试任务后恢复。
飞箱异常,料箱脱钩,,beltin没到位,拉箱<-货架   飞箱: 101043 箱位: (A005)05-042..........拉箱失败:beltin没到位(218.4).(10),1.拉箱机拉到一半脱钩,"1.操作钩爪将料箱推回料架；
2.点击终止启动后恢复。"
软件,RCS,,巴德RCS报错：队列里面第一条数据发送异常，超过120s没有发送.,巴德RCS页面报错：队列里面第一条数据发送异常，超过120s没有发送.,与RCS有关系,寻找到RCS研发人员进行排查：排查到rcs多了一个盘点接口配置，以前没有触发了这个接口。现在删除了随后重启车服恢复。
硬件,电梯,,电梯无法运行,电梯无法运行，连接上电梯工具，四个电机的状态未知,"1、检查电机灯
2、检查电机连接线
3、更换板子","更换板子之后恢复正常，修改IP,重新配置层高，测试随机跑正常"
飞箱异常,料箱脱钩,,101033 飞箱拉箱失败,"报警消息：拉箱<-货架
飞箱: 101033 箱位: (A007)05-043
No running position:9 目标:565.0实际:408.0",1、飞箱把箱子拉歪后，料箱卡住抓钩，导致11号电机温度过高,"1、读取飞箱日志
2、手动推箱到货架中，飞箱高度往下降一点，使抓钩松开箱子
3、加锁11号电机，控制抓钩下放
4、终止任务—启动任务—点击已解决"
飞箱异常,TOF异常,,104023拉箱异常,"拉箱<-货架
飞箱: 104023 箱位: (A002)16-029
No running position:9 目标:2.0实际:448.5",TOF异常,读取飞箱及TOF日志后，手动放下抓钩并收回，终止启动任务后恢复。
硬件,分拣机,LCD控制器,LCD显示异常,LCD屏首页不显示文字,LCD连接线异常。,拔插LCD屏下方连接线后恢复正常。
硬件,机器人,前/后皮带机电机,3D分拣器中间的皮带会碰到弯曲框架会响,3D分拣器中间的皮带会碰到弯曲框架会响,找机械同事看下,"1、同步皮带出厂下料时不均匀，可能出现多一齿或少一齿情况；
2、本身同步皮带传动精度不高，对于张紧来说，首先不宜过紧，过紧影响其寿命，其次也不宜太松，太松可能出现跳齿情况，所以张紧范围会比较大
3、声音出现应是小概率事件，影响因数可能较多，皮带振动频率、电机运行速度，整体机架的刚性，可能导致共振，进而产生声音出来。
对于声音问题，处理方案：通过视频及经验来看，可以暂停3d分拣机，在张紧皮带端调整一下张紧螺丝（4-5mm）"
飞箱异常,料箱传感器异常,,"推箱->地面车  飞箱: 104042 地面车: 80079.......推箱失败,箱子重新拉回拉箱机,请人工检查箱内物品是否超高","推箱->地面车  飞箱: 104042 地面车: 80079.......推箱失败,箱子重新拉回拉箱机,请人工检查箱内物品是否超高",观察飞箱发现箱内并无超高现象。,1.任务终止启动后恢复
飞箱异常,接驳位偏移量异常,,106006 飞箱拉箱失败（偏移量较低）,"推箱->地面车  飞箱: 106006 地面车: 219161.......推箱到地面车,车上有箱",1、飞箱到达接驳位后，报错地面车上有箱，实际是没有箱子的，接驳位偏移量为-0.005，修改为0.000,"1、修改接驳位偏移量
2、终止任务—启动任务—已解决（恢复正常）"
客户操作,,,工作站物品超高（小车走偏）,"报警消息：地面车 226091 区域急停 机器人: 226091 发生了区域锁定,坐标: 25,31,错误码: 242,描述执行动作时,没有到达目标点附近","1、工作站人员摆放物品时超高，小车经过工作站时撞到防护栏，导致走偏
","1、读取小车日志
2、手动操作校准小车重定位
3、点击已解决（恢复正常）"
飞箱异常,TOF异常,,拉箱<-地面车 飞箱: 104106 地面车: 21126............在地面车拉箱失败，箱子脱钩,拉箱<-地面车 飞箱: 104106 地面车: 21126............在地面车拉箱失败，箱子脱钩,"飞箱在拉去小车料想时，抓钩跟不到箱子
可能是接驳位魔毯位置没有和货架外边缘对其","临时对策：手动操控界面将小车往飞箱一侧靠近
终止启动飞箱后点击已解决后恢复"
地面车异常,定位丢失,,地面车 205108 雷达频繁离线,地面车 205108 雷达频繁离线,,"1.恢复后，小车开到异常点，让工作人员搬开小车，暂时移除；
2.删除小车。
3.指导现场工人紧固线束后再测试。"
飞箱异常,料箱脱钩,,beltin没到位,拉箱<-货架   飞箱: 101044 箱位: (A005)08-063..........拉箱失败:beltin没到位(293.5).(10),1.箱内物料较多，拉箱未到位。,"1.手动将料箱推回货架；
2.终止启动任务重试后恢复；"
飞箱异常,TOF异常,,拉箱<-货架  飞箱: 101013 箱位: (A011)13-047......两侧都没找到边,拉箱<-货架  飞箱: 101013 箱位: (A011)13-047......两侧都没找到边,1.tof识别异常导致报错；,"1.拷贝tof日志，飞箱日志；
2.终止启动任务后恢复。"
地面车异常,定位丢失,,区域急停,"项目名称：青浦山姆 
报警消息：地面车 205108 区域急停 机器人: 205108 发生了区域锁定,坐标: 15,7,错误码: 21B,描述Lost location information within 1 meter go-straight distance",雷达定位失效,读取日志，重新定位，点击已解决，发现小车刚才没多远再次急停，并且电量过低关机无法开机，让客户搬下小车，手动充电，再放箱子到其他小车上，恢复正常
地面车异常,区域急停,,地面车 219179 区域急停 Robot: 219179 has experienced,地面车 219179 区域急停 Robot: 219179 has experienced,1.地面车直行偏航导致定位丢失,"1.调整小车位置触发rfid，重定位；
2.点击已解决恢复"
飞箱异常,TOF异常,,拉箱<-地面车 飞箱: 104021 地面车: 205112............接驳位多次修正失败,拉箱<-地面车 飞箱: 104021 地面车: 205112............接驳位多次修正失败,飞箱调整修正次数过多导致修正失败,"1.拷贝tof日志与飞箱日志；
2.终止启动，重试任务后恢复；"
